v_lab_kms,f_s,eta_ratio_600,eta_ratio_700,eta_ratio_750,eta_ratio_780,eta_ratio_800,eta_ratio_805
700,0.001,1.017,1.063,1.003,0.9991,0.999,0.999
700,0.01,1.174,1.627,1.027,0.9909,0.9901,0.9901
700,0.05,1.872,4.135,1.133,0.9545,0.9504,0.9505
750,0.001,1.016,1.117,1.274,1.176,1.167,1.332
750,0.01,1.162,2.172,3.744,2.763,2.667,4.32
750,0.05,1.811,6.858,14.72,9.817,9.336,17.6
780,0.001,1.016,1.113,1.493,2.275,5.119,12.35
780,0.01,1.156,2.133,5.932,13.75,42.19,114.5
780,0.05,1.778,6.666,25.66,64.76,207,568.6
800,0.001,1.015,1.11,1.512,3.093,13.66,43.04
800,0.01,1.151,2.105,6.121,21.93,127.6,421.4
800,0.05,1.757,6.524,26.61,105.6,634,2103
810,0.001,1.015,1.109,1.508,3.293,18.29,62.95
810,0.01,1.149,2.091,6.083,23.93,173.9,620.5
810,0.05,1.747,6.455,26.41,115.6,865.6,3099
