structure,dm_type,dim,m_chi_GeV,q_label,q_GeV,c1p,c1n,c3p,c3n,c4p,c4n,c5p,c5n,c6p,c6n,c7p,c7n,c8p,c8n,c9p,c9n,c10p,c10n,c11p,c11n,c12p,c12n,c14p,c14n
MDM,D,5,200,q_event,0.246382,-5.80705e-06,0,-0,-0,-0.0138194,0.00946526,0.071855,0,0.200691,-0.137459,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
MDM,D,5,200,q_50MeV,0.05,-5.80705e-06,0,-0,-0,-0.0138194,0.00946526,1.74475,0,4.87309,-3.33771,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
MDM,D,5,1000,q_event,0.246382,-1.16141e-06,0,-0,-0,-0.0138194,0.00946526,0.071855,0,0.200691,-0.137459,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
MDM,D,5,1000,q_50MeV,0.05,-1.16141e-06,0,-0,-0,-0.0138194,0.00946526,1.74475,0,4.87309,-3.33771,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
MDM,D,5,4000,q_event,0.246382,-2.90352e-07,0,-0,-0,-0.0138194,0.00946526,0.071855,0,0.200691,-0.137459,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
MDM,D,5,4000,q_50MeV,0.05,-2.90352e-07,0,-0,-0,-0.0138194,0.00946526,1.74475,0,4.87309,-3.33771,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
EDM,D,5,200,q_event,0.246382,0,0,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0.071855,0,-0,-0,0,0
EDM,D,5,200,q_50MeV,0.05,0,0,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,1.74475,0,-0,-0,0,0
EDM,D,5,1000,q_event,0.246382,0,0,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0.071855,0,-0,-0,0,0
EDM,D,5,1000,q_50MeV,0.05,0,0,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,1.74475,0,-0,-0,0,0
EDM,D,5,4000,q_event,0.246382,0,0,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0.071855,0,-0,-0,0,0
EDM,D,5,4000,q_50MeV,0.05,0,0,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,1.74475,0,-0,-0,0,0
VV_univ,D,6,200,q_event,0.246382,2.99947,2.99947,-0.036,-0.036,1.16375e-05,1.16375e-05,0,0,-0.000169005,-0.000169005,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
VV_univ,D,6,200,q_50MeV,0.05,2.99998,2.99998,-0.036,-0.036,4.79275e-07,4.79275e-07,0,0,-0.000169005,-0.000169005,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
VV_univ,D,6,1000,q_event,0.246382,2.99947,2.99947,-0.036,-0.036,2.32751e-06,2.32751e-06,0,0,-3.38011e-05,-3.38011e-05,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
VV_univ,D,6,1000,q_50MeV,0.05,2.99998,2.99998,-0.036,-0.036,9.58549e-08,9.58549e-08,0,0,-3.38011e-05,-3.38011e-05,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
VV_univ,D,6,4000,q_event,0.246382,2.99947,2.99947,-0.036,-0.036,5.81876e-07,5.81876e-07,0,0,-8.45027e-06,-8.45027e-06,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
VV_univ,D,6,4000,q_50MeV,0.05,2.99998,2.99998,-0.036,-0.036,2.39637e-08,2.39637e-08,0,0,-8.45027e-06,-8.45027e-06,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
VV_isov,D,6,200,q_event,0.246382,1,-1,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
VV_isov,D,6,200,q_50MeV,0.05,1,-1,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
VV_isov,D,6,1000,q_event,0.246382,1,-1,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
VV_isov,D,6,1000,q_50MeV,0.05,1,-1,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
VV_isov,D,6,4000,q_event,0.246382,1,-1,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0
