structure,m_chi_GeV,piece,c0_factor,c1_factor,kind,diag_rate_20keV,diag_rate_248keV,frac_248,frac_20
MDM,200,1_c,-5.807e-06,-5.807e-06,const,1.6239e+06,70.479,0.00057446,0.017691
MDM,200,4_c,-0.0043541,-0.023285,const,1.762e+07,72287,0.5892,0.19196
MDM,200,5_bq2,0.0043619,0.0043619,bq2,6.1416e+07,220.57,0.0017979,0.66908
MDM,200,6_bq2,0.0038385,0.020527,bq2,1.1132e+07,50109,0.40843,0.12128
MDM,1000,1_c,-1.1614e-06,-1.1614e-06,const,14112,2.176,2.3064e-05,0.0007125
MDM,1000,4_c,-0.0043541,-0.023285,const,3.8265e+06,55612,0.58945,0.19319
MDM,1000,5_bq2,0.0043619,0.0043619,bq2,1.3548e+07,188.27,0.0019956,0.68402
MDM,1000,6_bq2,0.0038385,0.020527,bq2,2.4179e+06,38543,0.40853,0.12207
MDM,4000,1_c,-2.9035e-07,-2.9035e-07,const,223.12,0.04084,1.4386e-06,4.4482e-05
MDM,4000,4_c,-0.0043541,-0.023285,const,9.6803e+05,16731,0.58936,0.19299
MDM,4000,5_bq2,0.0043619,0.0043619,bq2,3.436e+06,57.421,0.0020227,0.68502
MDM,4000,6_bq2,0.0038385,0.020527,bq2,6.1166e+05,11600,0.40862,0.12195
EDM,200,11_bq2,0.0043619,0.0043619,bq2,5.4023e+13,1.8973e+08,1,1
EDM,1000,11_bq2,0.0043619,0.0043619,bq2,1.1737e+13,1.4644e+08,1,1
EDM,4000,11_bq2,0.0043619,0.0043619,bq2,2.969e+12,4.3975e+07,1,1
VV_univ,200,1_c,6,0,const,2.389e+18,2.0271e+13,1,1
VV_univ,200,3_c,-0.072,0,const,1.2073e+08,1.9056e+06,9.4007e-08,5.0535e-11
VV_univ,200,6_c,-0.00033801,0,const,0.11768,0.083005,4.0949e-15,4.9261e-20
VV_univ,200,1_q2,-0.017582,0,q2,4.9159e+08,6.286e+05,3.101e-08,2.0578e-10
VV_univ,200,4_q2,0.00038342,0,q2,0.19275,0.12727,6.2785e-15,8.0683e-20
VV_univ,1000,1_c,6,0,const,5.1903e+17,1.5624e+13,1,1
VV_univ,1000,3_c,-0.072,0,const,2.6231e+07,1.4744e+06,9.4365e-08,5.0539e-11
VV_univ,1000,6_c,-6.7602e-05,0,const,0.0010224,0.0025541,1.6347e-16,1.9699e-21
VV_univ,1000,1_q2,-0.017582,0,q2,1.0681e+08,4.8454e+05,3.1012e-08,2.0578e-10
VV_univ,1000,4_q2,7.6684e-05,0,q2,0.0016744,0.0039166,2.5067e-16,3.2259e-21
VV_univ,4000,1_c,6,0,const,1.313e+17,4.6938e+12,1,1
VV_univ,4000,3_c,-0.072,0,const,6.6354e+06,4.4238e+05,9.4247e-08,5.0538e-11
VV_univ,4000,6_c,-1.6901e-05,0,const,1.6166e-05,4.8033e-05,1.0233e-17,1.2312e-22
VV_univ,4000,1_q2,-0.017582,0,q2,2.7018e+07,1.4556e+05,3.1012e-08,2.0578e-10
VV_univ,4000,4_q2,1.9171e-05,0,q2,2.6473e-05,7.3635e-05,1.5688e-17,2.0163e-22
VV_isov,200,1_c,0,2,const,5.8548e+15,2.2195e+12,1,1
VV_isov,1000,1_c,0,2,const,1.2721e+15,1.7161e+12,1,1
VV_isov,4000,1_c,0,2,const,3.2179e+14,5.1507e+11,1,1
AV_univ,200,8_c,12,0,const,2.8149e+12,2.2908e+09,0.78361,0.99533
AV_univ,200,9_c,10.128,0,const,1.3213e+10,6.3261e+08,0.21639,0.0046721
AV_univ,1000,8_c,12,0,const,6.2067e+11,1.764e+09,0.78371,0.9954
AV_univ,1000,9_c,10.128,0,const,2.8689e+09,4.8684e+08,0.21629,0.004601
AV_univ,4000,8_c,12,0,const,1.5739e+11,5.3099e+08,0.78392,0.99541
AV_univ,4000,9_c,10.128,0,const,7.2578e+08,1.4637e+08,0.21608,0.0045901
AV_anapole,200,8_c,0.60564,0.60564,const,5.0182e+09,2.2223e+05,0.0089296,0.8979
AV_anapole,200,9_c,0.53297,2.8502,const,5.706e+08,2.4665e+07,0.99107,0.1021
AV_anapole,1000,8_c,0.60564,0.60564,const,1.107e+09,1.8974e+05,0.0098974,0.89935
AV_anapole,1000,9_c,0.53297,2.8502,const,1.2389e+08,1.8981e+07,0.9901,0.10065
AV_anapole,4000,8_c,0.60564,0.60564,const,2.8075e+08,57871,0.010039,0.89957
AV_anapole,4000,9_c,0.53297,2.8502,const,3.1342e+07,5.7065e+06,0.98996,0.10043
VA_univ,200,7_c,-1.62,0,const,1.3403e+05,399.36,0.52821,0.94734
VA_univ,200,9_c,0.0076052,0,const,7450.6,356.71,0.47179,0.052662
VA_univ,1000,7_c,-1.62,0,const,29569,352.14,0.96976,0.99782
VA_univ,1000,9_c,0.001521,0,const,64.708,10.981,0.030239,0.0021836
VA_univ,4000,7_c,-1.62,0,const,7499.4,107.89,0.99809,0.99986
VA_univ,4000,9_c,0.00038026,0,const,1.0231,0.20633,0.0019088,0.00013641
AA_univ,200,4_c,-3.24,0,const,5.9099e+11,2.5232e+09,1,1
AA_univ,1000,4_c,-3.24,0,const,1.2834e+11,1.9413e+09,1,1
AA_univ,4000,4_c,-3.24,0,const,3.2468e+10,5.8394e+08,1,1
AA_Zlike,200,4_c,-0.14,-5.1024,const,1.2386e+12,5.1141e+09,0.70009,0.97157
AA_Zlike,200,6_pi,0,4.4981,pi,3.6241e+10,2.1888e+09,0.29964,0.028427
AA_Zlike,200,6_eta,0.59947,0,eta,3.9794e+06,2.0115e+06,0.00027536,3.1214e-06
AA_Zlike,1000,4_c,-0.14,-5.1024,const,2.6899e+11,3.9344e+09,0.70013,0.97157
AA_Zlike,1000,6_pi,0,4.4981,pi,7.8715e+09,1.6836e+09,0.2996,0.028431
AA_Zlike,1000,6_eta,0.59947,0,eta,8.6432e+05,1.5473e+06,0.00027534,3.1218e-06
AA_Zlike,4000,4_c,-0.14,-5.1024,const,6.8049e+10,1.1836e+09,0.70005,0.97157
AA_Zlike,4000,6_pi,0,4.4981,pi,1.9913e+09,5.0668e+08,0.29967,0.02843
AA_Zlike,4000,6_eta,0.59947,0,eta,2.1865e+05,4.6559e+05,0.00027537,3.1218e-06
SGG,200,1_c,-0.12385,0,const,1.0179e+15,8.6371e+09,1,1
SGG,1000,1_c,-0.12385,0,const,2.2116e+14,6.6574e+09,1,1
SGG,4000,1_c,-0.12385,0,const,5.5944e+13,2e+09,1,1
PGG,200,11_c,0.00058143,0,const,3.1672e+07,3299.3,1,1
