m_chi_GeV,r,percentile_248_inROI,percentile_248_true,node2_keV,peak_keV,f248_over_fpeak,R_ROI_per_cp2,dRdE_248,E_onset_keV
400.0,1.0,0.9952499189118946,0.9833601351012249,264.49369816031015,175.0,0.03700000803288208,3995364325363.906,2412561603.0167623,114.0
400.0,0.0,0.9771000148113514,0.9729485913269879,289.8460785102298,183.0,0.15595169603574266,1102151866052.2388,2511942482.9742265,114.0
400.0,-0.6977859989367169,0.8134274926583299,0.7163514690788332,,222.0,0.8157983698362695,254481068401.45663,2851043439.372979,114.0
400.0,-0.7,0.8122041846399072,0.7144543399199337,,222.0,0.8189337116558789,253323614142.5092,2852472260.629206,114.0
400.0,-1.0,0.6686472220574613,0.5000794053612051,180.1598922077302,251.95000000000002,0.9970105272789258,186116666586.6877,3066723634.670775,114.0
400.0,-12.764705882352946,0.9800125970782474,0.9238642854009614,242.80014488530503,170.0,0.017629645316877215,137868562550593.58,43787975581.05966,114.0
400.0,inf,0.9847408440238786,0.9365848124330035,245.04944287446608,170.0,0.012899206504500079,988588629923.0587,227700135.86954188,114.0
1000.0,1.0,0.9951569621443255,0.9822716892125953,265.6201729725597,168.0,0.04154710951240764,16254748594583.3,9753589270.801579,92.0
1000.0,0.0,0.9755475025810294,0.9705234114683111,291.0858520251408,179.0,0.17531243276344377,4161771381357.8335,9536860232.706558,92.0
1000.0,-0.6977859989367169,0.7932571696484133,0.6740654818994379,,231.0,0.9034962113664016,883349123060.2292,10277181120.67395,92.0
1000.0,-0.7,0.7920109145165521,0.6720820561573077,,231.0,0.9056889351974061,879697147813.2366,10280696398.603395,92.0
1000.0,-1.0,0.6996765964059225,0.5133685950541486,180.86669130626876,252.0,0.9879873200366711,779735034877.2898,10825251350.180197,92.0
1000.0,-12.764705882352946,0.9837356507006627,0.9273647492371879,243.43744963004082,160.0,0.014391875564322426,615065178738443.1,138997006281.84204,92.0
1000.0,inf,0.9874452557875296,0.9386142784218674,245.99377694640123,160.0,0.011114005627494948,4355470433372.46,752560077.7843289,92.0
4000.0,1.0,0.9950785961752473,0.9817562961762846,265.8048686957023,166.0,0.04290744567357159,8285146247763.973,5006426040.894939,84.0
4000.0,0.0,0.9749406407631863,0.9696771187755743,291.17034721677925,177.0,0.18020303559858505,2098537499626.6406,4848410121.94703,84.0
4000.0,-0.6977859989367169,0.7907849289443554,0.6678576894216437,,229.0,0.9136883546845316,448645341987.93134,5183487712.947404,84.0
4000.0,-0.7,0.7895778289085676,0.6659164163959505,,229.0,0.9161872754265071,446899398538.91754,5185133466.31679,84.0
4000.0,-1.0,0.7100439835800673,0.5217612697945481,180.99844095930922,253.0,0.9751704007129881,414429629822.7779,5442216871.290375,84.0
4000.0,-12.764705882352946,0.9839888838392763,0.9265971748107807,243.40652332883946,161.0,0.01417237255906051,318678451437793.2,68879915313.11594,84.0
4000.0,inf,0.9876146820758218,0.937787455503486,246.29720829185118,161.0,0.011018808389408564,2251250439166.745,375911334.145627,84.0
