m_chi_GeV,r,N_lo,N_L2,N_M,Z,s_hat,lo_events_hat,Z_LZ_O1v,Z_LZ_L1v,Z_LZ_L5v
400.0,-2.0,12379.26398956515,205.5227377104953,33.00211833024962,0.0,0.0,0.0,,,
400.0,-1.9,11845.026701410858,191.68896089417805,31.545604814125035,0.0,0.0,0.0,,,
400.0,-1.8,11070.629025838138,173.85160844493373,29.456394429367055,0.0,0.0,0.0,,,
400.0,-1.7,10025.1211097622,151.90422480693528,26.657028803625053,0.0,0.0,0.0,,,
400.0,-1.6,8710.481054767273,126.42568240217774,23.158155993198932,0.0,0.0,0.0,,,
400.0,-1.5,7180.688328466903,98.90673384058769,19.107868550892036,0.0,0.0,0.0,,,
400.0,-1.4,5547.631395748174,71.67678465763282,14.805556915258641,0.0,0.0,0.0,,,
400.0,-1.3,3961.5969956180825,47.39262600142974,10.64865627363105,0.17930487222305813,0.00010982254472480172,0.435072663232907,,,
400.0,-1.2,2569.2531153355135,28.253374989893366,7.021110956811481,0.5487581141956988,0.0004502522747711585,1.1568120596427007,,,
400.0,-1.1,1471.192699498723,15.377045688191012,4.18236427179612,0.9660705037975521,0.0011750590226030217,1.7287382555336703,,,
400.0,-1.0,702.7217930372365,8.679506560397847,2.2187294991561677,1.4352841374051144,0.003018478507621217,2.1211506291199433,0.8,0.3,0.7
400.0,-0.9,242.76532039661262,7.213702527027359,1.068751799557658,1.9817170747497272,0.009474036076815115,2.2999674036370883,,,
400.0,-0.8,37.62999321714434,9.665873129845055,0.5868077720348267,2.653951119532885,0.04939487169783115,1.8587286869511008,,,
400.0,-0.7,23.984080166086702,14.747009028453734,0.6037285145319088,2.7207405616775495,0.05939407857296482,1.4245123418848407,,,
400.0,-0.6,143.4695666847995,21.39497956151569,0.9648820642465604,2.1687700775769736,0.014510094417759543,2.0817569586714897,,,
400.0,-0.5,348.93464097273136,28.82627990972255,1.546073342653054,1.779444912553235,0.00611475442887324,2.1336496412753028,,,
400.0,-0.4,605.2887435373618,36.50745170339514,2.2553701687361585,1.4941562115597518,0.0033978121944942775,2.0566574739813674,,,
400.0,-0.3,887.8584026557224,44.09901152894244,3.028486284766423,1.2723974084644163,0.002181001532435083,1.9364205367774958,,,
400.0,-0.2,1180.0374664763722,51.399636832996606,3.8224251995390834,1.093594789485487,0.0015249457668151795,1.799493139186453,,,
400.0,-0.1,1471.0814252235807,58.300953999794814,4.609585301831979,0.9458732816450693,0.001126780631360861,1.6575860570966614,,,
400.0,0.0,1754.3340559344645,64.75445456504296,5.373052928854324,0.8216567759917182,0.0008645747661207713,1.5167529561072437,,,
400.0,0.1,2025.9099028164499,70.74868410322372,6.103122951278671,0.7157660985214881,0.0006813354207819842,1.3803241761018346,,,
400.0,0.2,2283.7591391879782,76.29411244963572,6.794839749157436,0.6244860832515896,0.0005473334928317452,1.249977866438176,,,
400.0,0.3,2527.0224275660653,81.41337947086092,7.446307570690721,0.5450577353766902,0.0004458179534449656,1.1265919669670321,,,
400.0,0.4,2755.5941680978217,86.13515715157853,8.05755130332292,0.47537823314444766,0.00036666761407810894,1.0103871389839798,,,
400.0,0.5,2969.8308639976576,90.49038310072702,8.629759076675052,0.4138121040648968,0.0003035058605187194,0.901361071972661,,,
400.0,0.6,3170.3586279031338,94.51002101179067,9.164784797323014,0.35906639164320947,0.00025210469363425665,0.7992622905982418,,,
400.0,0.7,3357.9476030223223,98.22378969839718,9.664825505754294,0.3101049034304465,0.00020956534668841614,0.7037094535889089,,,
400.0,0.8,3533.4311808443026,101.65949750034942,10.13221534048267,0.2660874940275032,0.0001738636970711014,0.6143354084478979,,,
400.0,0.9,3697.655022970354,104.84274848880199,10.569296775011841,0.2263260138081522,0.00014352873753105527,0.5307197572723,,,
400.0,1.0,3851.445799842488,107.796871618286,10.978342745372213,0.19025170411694314,0.00011747264525523138,0.4524395261646475,0.0,0.0,0.0
400.0,1.1,3995.592889664147,110.54297878068527,11.36151205301792,0.15739065729091753,9.487741001757483e-05,0.37909150485597193,,,
400.0,1.2,4130.838524649903,113.10009293444095,11.720826317432644,0.12734508080127913,7.512076423955085e-05,0.3103117469218794,,,
400.0,1.3,4257.87337725468,115.48530999771208,12.058160693316848,0.0997788145535913,5.771396959303081e-05,0.24573877462585203,,,
400.0,1.4,4377.335587226696,117.71397252057804,12.375243198585574,0.07440601213179086,4.2274776391003546e-05,0.18505088313839077,,,
400.0,1.5,4489.811905019379,119.79984221706863,12.673659255135547,0.05098220809886029,2.8495855034149356e-05,0.12794102917603017,,,
