bkg,delta,k,E_tyr,s,b,N_median,q_median,p_time,Z_time,p_count,Z_count
panel,300,0.25,0.71,0.25,0.00265,0,-0.5,1.0,-inf,1.0,-inf
panel,300,0.5,1.42,0.5,0.0053,0,-1.0,0.9999999999999999,-8.209536151601387,1.0,-inf
panel,300,0.75,2.13,0.75,0.00795,1,6.700349927885376,0.006790218777725955,2.4681737712549685,0.007918482327136956,2.4126512584666475
panel,300,1.0,2.84,1.0,0.0106,1,7.017488767127661,0.005497318397437402,2.5428692329976927,0.010544017977747818,2.3064045864986884
panel,300,1.25,3.55,1.25,0.01325,1,7.062950079379456,0.003917505831950453,2.659098225819485,0.013162605169658639,2.221380356795811
panel,300,1.5,4.26,1.5,0.0159,1,6.8003031023364535,0.0020531045896057384,2.8698851472873868,0.015774262291908724,2.150084586595422
panel,300,1.75,4.97,1.75,0.01855,2,13.707569255845998,0.00013784918582537053,3.637124797735985,0.0001699382774253223,3.5828417278220597
panel,300,2.0,5.68,2.0,0.0212,2,14.080898943293993,0.00010415067136432229,3.708730068236309,0.0002215690647566404,3.512963630853407
panel,300,2.25,6.39,2.25,0.02385,2,14.278691227664243,6.591023127657754e-05,3.8230323771360886,0.00027992930004803025,3.4503507691561532
panel,300,2.5,7.1,2.5,0.0265,2,14.398660570017082,2.7336301665857784e-05,4.034697859361166,0.0003449830028232772,3.393535557325165
panel,300,2.75,7.81,2.75,0.02915,3,20.693743514363536,3.1451370729070693e-06,4.516390091864125,4.03902549303793e-06,4.463104821758393
panel,300,3.0,8.52,3.0,0.0318,3,21.363589001942454,2.1549518501320717e-06,4.595849180665931,5.233357886698902e-06,4.407300029231674
panel,300,3.25,9.23,3.25,0.03445,3,21.494257850680746,1.3638174197164429e-06,4.690330966481714,6.6405649275007455e-06,4.355421184415146
panel,300,3.5,9.94,3.5,0.0371,3,21.86075460899844,4.886478531986493e-07,4.896155846047974,8.27746714733735e-06,4.306912118829916
panel,300,3.75,10.649999999999999,3.75,0.03975,4,27.835105949346264,7.286241137008381e-08,5.257880924029293,1.0077107604631134e-07,5.197909544920447
panel,300,4.0,11.36,4.0,0.0424,4,28.572322628534806,4.706475837809901e-08,5.337706792686495,1.301761284722596e-07,5.150096652947615
panel,300,4.25,12.07,4.25,0.04505,4,28.88250818656036,2.6995414662683523e-08,5.437640311401371,1.6554945247281032e-07,5.104826069114908
panel,300,4.5,12.78,4.5,0.0477,4,29.26407794883731,9.934738256874529e-09,5.613133865094329,2.076360738315444e-07,5.061820393465084
panel,300,4.75,13.489999999999998,4.75,0.05035,5,35.25321291240065,1.55615957376508e-09,5.925561584696176,2.5858588131546756e-09,5.841550563227447
panel,300,5.0,14.2,5.0,0.053,5,35.58871472717121,1.2566739583276092e-09,5.960586126911508,3.3344860169006405e-09,5.799054845638401
panel,300,5.25,14.91,5.25,0.05565,5,36.19841643770124,5.915918357452608e-10,6.082506136106601,4.246367478299279e-09,5.758375341308002
panel,300,5.5,15.62,5.5,0.0583,5,36.605044946655276,2.2831671809339417e-10,6.23332636750061,5.3465883253085075e-09,5.719350889467248
panel,300,5.75,16.33,5.75,0.06095,6,42.18158054680854,4.167600316245063e-11,6.494423435703363,6.758236192439133e-11,6.421244503644341
