m_GeV,delta_keV,sigma_unit_cm2,E_lo_keV,Nunit_LZ_LZlike,Nunit_XENONnT_LZlike,Nunit_PandaX-4T_LZlike,Nunit_LZ_hiedge,Nunit_XENONnT_hiedge,Nunit_PandaX-4T_hiedge
400.0,100.0,2.956081113492885e-38,6.913809101044791,206157132.41299546,225030672.70432603,111789430.95634261,182600934.32791606,199317921.2734295,99015999.60034885
400.0,110.0,2.956081113492885e-38,8.536189511225464,133135638.2480335,145324112.17214924,72193268.62745479,117895864.73534021,128689148.12660375,63929447.779022515
400.0,120.0,2.956081113492885e-38,10.3728276237158,84632298.37336826,92380325.68924002,45892161.79400956,74941822.01646976,81802693.04614657,40637466.86808572
400.0,130.0,2.956081113492885e-38,12.439287673234514,52971537.18008701,57821044.105024554,28724002.555399295,46907284.29537087,51201613.13931328,25435640.075658854
400.0,140.0,2.956081113492885e-38,14.753114814509786,32623287.78396161,35609926.80643697,17690092.67158482,28889746.832041603,31534582.809622876,15665566.944135236
400.0,150.0,2.956081113492885e-38,17.33420715621832,19760095.2358487,21569118.03913062,10714981.219439084,17499718.81335695,19101805.74697414,9489284.145271024
400.0,160.0,2.956081113492885e-38,20.20528276120727,11745529.534667764,12820824.492066925,6369054.747671956,10402848.44051935,11355221.88929929,5640981.196619648
400.0,170.0,2.956081113492885e-38,23.392473037162315,6865141.320752259,7493640.174060565,3722647.054210732,6081118.350122749,6637840.452598776,3297507.837742618
400.0,180.0,2.956081113492885e-38,26.926087023989055,3933998.9686026876,4294153.803756455,2133224.792833852,3485361.5202444666,3804443.912942904,1889949.5567522813
400.0,190.0,2.956081113492885e-38,30.841610884236708,2218973.7721610107,2422119.2583447653,1203246.3412422384,1966444.6072296877,2146471.22620142,1066311.512371028
400.0,200.0,2.956081113492885e-38,35.18103762089926,1235923.297129608,1349071.2046133047,670183.7597111255,1095693.039665539,1196002.9658321026,594143.4088327219
400.0,210.0,2.956081113492885e-38,39.994671053015765,686766.9516889284,749639.9824773516,372401.79774681333,609172.2940168625,664941.5885395331,330325.82140351
400.0,220.0,2.956081113492885e-38,45.34362878950484,386042.8280288691,421384.77707376564,209333.0828043868,342665.9580925421,374036.7852418593,185811.8223459559
400.0,230.0,2.956081113492885e-38,51.30340682311333,222346.43579624663,242702.095411396,120568.13772049994,197527.35027312252,215610.84008685913,107109.9012044397
400.0,240.0,2.956081113492885e-38,57.969114171323085,133035.99238707547,145215.34380279365,72139.2353084846,118287.5581641878,129116.7008130219,64141.844920017335
400.0,250.0,2.956081113492885e-38,65.46344679086587,82020.80731558081,89529.75446419032,44476.071572533256,72986.28921045127,79668.13258887288,39577.0723183433
400.0,260.0,2.956081113492885e-38,73.94938755422199,50866.88521245152,55523.71273190131,27582.74761520259,45297.14562301821,49444.06740540721,24562.536711073255
400.0,270.0,2.956081113492885e-38,83.6515863354476,30529.078614040543,33323.99426180482,16554.50037521917,27207.65277764974,29698.494229124717,14753.44552027486
400.0,280.0,2.956081113492885e-38,94.89500340874766,16899.328207120154,18446.44980354665,9163.72022498769,15077.11152051119,16457.41046252982,8175.61681041804
