experiment,exposure_tyr,bkg_model,b,n_obs,poisson_UL90,FC90_lo,FC90_hi
XENONnT,3.1,nrband_2sig,0.0002183098591549296,0,2.3023667831349206,0.0,2.43
XENONnT,3.1,nrband_2sig,0.0002183098591549296,1,3.8895018600082745,0.11,4.3500000000000005
XENONnT,3.1,band_200_270,0.0006221830985915493,0,2.301962909895484,0.0,2.43
XENONnT,3.1,band_200_270,0.0006221830985915493,1,3.889097986768838,0.11,4.3500000000000005
XENONnT,3.1,round_1e-3,0.001091549295774648,0,2.3014935436983013,0.0,2.43
XENONnT,3.1,round_1e-3,0.001091549295774648,1,3.8886286205716547,0.11,4.3500000000000005
XENONnT,3.1,whole_panel,0.011570422535211268,0,2.2910146704588685,0.0,2.42
XENONnT,3.1,whole_panel,0.011570422535211268,1,3.8781497473322184,0.1,4.34
PandaX-4T,1.54,nrband_2sig,0.00010845070422535213,0,2.30247664228985,0.0,2.43
PandaX-4T,1.54,nrband_2sig,0.00010845070422535213,1,3.889611719163204,0.11,4.3500000000000005
PandaX-4T,1.54,band_200_270,0.0003090845070422535,0,2.3022760084870337,0.0,2.43
PandaX-4T,1.54,band_200_270,0.0003090845070422535,1,3.889411085360387,0.11,4.3500000000000005
PandaX-4T,1.54,round_1e-3,0.0005422535211267606,0,2.3020428394729495,0.0,2.43
PandaX-4T,1.54,round_1e-3,0.0005422535211267606,1,3.889177916346303,0.11,4.3500000000000005
PandaX-4T,1.54,whole_panel,0.005747887323943663,0,2.2968372056701343,0.0,2.43
PandaX-4T,1.54,whole_panel,0.005747887323943663,1,3.883972282543486,0.1,4.3500000000000005
XENONnT+PandaX-4T,4.640000000000001,nrband_2sig,0.00032676056338028177,0,2.302258332430696,0.0,2.43
XENONnT+PandaX-4T,4.640000000000001,nrband_2sig,0.00032676056338028177,1,3.8893934093040494,0.11,4.3500000000000005
XENONnT+PandaX-4T,4.640000000000001,band_200_270,0.0009312676056338029,0,2.301653825388442,0.0,2.43
XENONnT+PandaX-4T,4.640000000000001,band_200_270,0.0009312676056338029,1,3.888788902261796,0.11,4.3500000000000005
XENONnT+PandaX-4T,4.640000000000001,round_1e-3,0.0016338028169014089,0,2.3009512901771747,0.0,2.43
XENONnT+PandaX-4T,4.640000000000001,round_1e-3,0.0016338028169014089,1,3.888086367050528,0.11,4.3500000000000005
XENONnT+PandaX-4T,4.640000000000001,whole_panel,0.01731830985915493,0,2.285266783134927,0.0,2.41
XENONnT+PandaX-4T,4.640000000000001,whole_panel,0.01731830985915493,1,3.8724018600082744,0.09,4.34
