isotope,E_star_keV,E_NR_keV,S1c,log10S2c,in_ROI,offset_from_NR_median_dex
129,39.58,10.0,256.3798747221683,4.415933168467969,False,0.48375930113001475
129,39.58,12.0,258.9586417454212,4.420454814711876,False,0.48698743124612776
129,39.58,14.0,261.6570309787702,4.42461532838645,False,0.4898077273700139
129,39.58,16.0,264.45734692972667,4.4284758679877045,False,0.49228777977432836
129,39.58,18.0,267.3461123928109,4.432082884821314,False,0.49449419297505326
129,39.58,20.0,270.31275748882507,4.435472555611727,False,0.49645807608517156
129,39.58,22.0,273.3487981524108,4.43867363664708,False,0.49821357479294237
129,39.58,24.0,276.4472942531822,4.441709381261326,False,0.4997960241829822
129,39.58,26.0,279.6024777876037,4.444598871201346,False,0.5012221101033787
129,39.58,28.0,282.80948956607676,4.447357966215281,False,0.5025088941738836
129,39.58,30.0,286.0641877951484,4.449999996846225,False,0.5036729873299683
129,39.58,32.0,289.36300581235486,4.452536279825134,False,0.5047343968848472
129,39.58,34.0,292.702844319718,4.454976508084609,False,0.5056972664110537
129,39.58,36.0,296.0809883822218,4.457329050384869,False,0.5065717092485733
129,39.58,38.0,299.4950425557404,4.459601184627181,False,0.5073665005721564
129,39.58,40.0,302.9428795178646,4.461799281752052,False,0.5080938096506693
129,39.58,42.0,306.42259891132113,4.463928952293123,False,0.5087569441537116
129,39.58,44.0,309.93249401850335,4.465995164347863,False,0.5093603066830759
129,39.58,46.0,313.4710245160883,4.468002339415815,False,0.5099091873967545
129,39.58,48.0,317.0367940038529,4.469954430916534,False,0.5104082937492458
129,39.58,50.0,320.6285313211433,4.4718549890202315,False,0.5108654800718315
129,39.58,52.0,324.2450748968758,4.47370721456424,False,0.5112816603340105
129,39.58,54.0,327.88535955035945,4.475514004193671,False,0.5116591122132434
129,39.58,56.0,331.54840528817954,4.477277988390798,False,0.5120009163058628
129,39.58,58.0,335.23330773895367,4.479001563700215,False,0.5123098591799486
129,39.58,60.0,338.93922994142713,4.480686920184517,False,0.512588656894494
129,39.58,62.0,342.6653952580733,4.482336064935982,False,0.5128428989483718
129,39.58,64.0,346.4110812304155,4.483950842307444,False,0.513070955131373
129,39.58,66.0,350.1756142267856,4.485532951398829,False,0.5132747530022614
129,39.58,68.0,353.95836476046964,4.4870839612359825,False,0.513456056085468
129,39.58,70.0,357.7587433778408,4.488605323999341,False,0.5136164808114114
129,39.58,72.0,361.57619703342255,4.4900983865968636,False,0.5137575113601605
129,39.58,74.0,365.41020588278604,4.491564400824942,False,0.5138819758294577
129,39.58,76.0,369.34356712967013,4.492639808471131,False,0.5135974810117698
129,39.58,78.0,373.335166859834,4.493506122233457,False,0.5130991123151554
129,39.58,80.0,377.339542845216,4.494361901529842,False,0.5126011799606243
129,39.58,82.0,381.3565599294441,4.495206738103433,False,0.5121031661552276
