delta_keV,Y,coupling_ratio_to_upper,N_model_annual,N_at_LZ_upper_edge,event_ratio
100.0,0.5,1002710.0271002711,7201735.335155222,,
100.0,1.0,4010840.1084010843,28806941.340620887,,
100.0,1.5,9024390.24390244,64815618.01639699,,
100.0,2.0,16043360.433604337,115227765.36248355,,
150.0,0.5,103146.15690959779,781484.227346271,,
150.0,1.0,412584.62763839116,3125936.909385084,,
150.0,1.5,928315.41218638,7033358.04611644,,
150.0,2.0,1650338.5105535646,12503747.637540337,,
200.0,0.5,12741.88258445392,64264.787139562424,,
200.0,1.0,50967.53033781568,257059.1485582497,,
200.0,1.5,114676.94326008527,578383.0842560618,,
200.0,2.0,203870.12135126273,1028236.5942329988,,
250.0,0.5,2005.678884873516,6579.8842374143405,4.02896,1633.1470745339593
250.0,1.0,8022.715539494064,26319.536949657362,4.02896,6532.588298135837
250.0,1.5,18051.109963861643,59218.95813672907,4.02896,14698.323670805636
250.0,2.0,32090.862157976255,105278.14779862945,4.02896,26130.35319254335
300.0,0.5,299.42196531791905,790.4667887665875,3.5032500000000004,225.63813280998713
300.0,1.0,1197.6878612716762,3161.86715506635,3.5032500000000004,902.5525312399485
300.0,1.5,2694.7976878612717,7114.201098899287,3.5032500000000004,2030.743195289884
300.0,2.0,4790.751445086705,12647.4686202654,3.5032500000000004,3610.210124959794
350.0,0.5,3.457943925233645,11.124193774548116,5.81973,1.9114621768618332
350.0,1.0,13.83177570093458,44.496775098192465,5.81973,7.645848707447333
350.0,1.5,31.121495327102803,100.11774397093305,5.81973,17.2031595917565
350.0,2.0,55.32710280373832,177.98710039276986,5.81973,30.58339482978933
