Y,operator_dimension,delta_keV,Lambda_TeV,Lambda_TeV_vev_over_sqrt2,Lambda_over_1TeV,delta_if_Lambda_is_MPl_keV,delta_if_Lambda_1TeV_keV,delta_if_Lambda_10TeV_keV
0.5,5,100.0,606144.4,303072.2,606144.4,4.968396721311475e-09,60614439.99999999,6061444.0
0.5,5,200.0,303072.2,151536.1,303072.2,4.968396721311475e-09,60614439.99999999,6061444.0
0.5,5,300.0,202048.13333333333,101024.06666666667,202048.13333333333,4.968396721311475e-09,60614439.99999999,6061444.0
0.5,5,366.0,165613.22404371583,82806.61202185792,165613.22404371583,4.968396721311475e-09,60614439.99999999,6061444.0
0.5,5,380.0,159511.68421052632,79755.84210526316,159511.68421052632,4.968396721311475e-09,60614439.99999999,6061444.0
1.0,7,100.0,33.24431571931111,20.942606582055546,33.24431571931111,2.02335786724087e-42,3674110.3365135994,3674.1103365135996
1.0,7,200.0,26.386030872398702,16.622157859655555,26.386030872398702,2.02335786724087e-42,3674110.3365135994,3674.1103365135996
1.0,7,300.0,23.05032111205639,14.520792387958023,23.05032111205639,2.02335786724087e-42,3674110.3365135994,3674.1103365135996
1.0,7,366.0,21.57199791609432,13.589507131387785,21.57199791609432,2.02335786724087e-42,3674110.3365135994,3674.1103365135996
1.0,7,380.0,21.303756977880518,13.420525929138227,21.303756977880518,2.02335786724087e-42,3674110.3365135994,3674.1103365135996
1.5,9,100.0,4.672460711757044,3.082674435969484,4.672460711757044,8.240036552163373e-76,222704.14054598333,2.2270414054598335
1.5,9,200.0,4.067613304599104,2.683623966691796,4.067613304599104,8.240036552163373e-76,222704.14054598333,2.2270414054598335
1.5,9,300.0,3.750778409019169,2.4745908911284817,3.750778409019169,8.240036552163373e-76,222704.14054598333,2.2270414054598335
1.5,9,366.0,3.6045366131411485,2.3781072878551406,3.6045366131411485,8.240036552163373e-76,222704.14054598333,2.2270414054598335
1.5,9,380.0,3.5775765812088944,2.360320300150491,3.5775765812088944,8.240036552163373e-76,222704.14054598333,2.2270414054598335
2.0,11,100.0,2.0152512462404952,1.3561635202588391,2.0152512462404952,3.355718900758625e-109,13499.086764876074,0.0013499086764876076
2.0,11,200.0,1.8252607431573458,1.2283093929098745,1.8252607431573458,3.355718900758625e-109,13499.086764876074,0.0013499086764876076
2.0,11,300.0,1.7225388238886965,1.1591826674442542,1.7225388238886965,3.355718900758625e-109,13499.086764876074,0.0013499086764876076
2.0,11,366.0,1.6742946923167392,1.1267167744562152,1.6742946923167392,3.355718900758625e-109,13499.086764876074,0.0013499086764876076
2.0,11,380.0,1.6653402176464653,1.1206908598643939,1.6653402176464653,3.355718900758625e-109,13499.086764876074,0.0013499086764876076
