body,A,dmax_surface_keV,dmax_centre_keV
NS (neutron),1.0,243214.12683650912,243214.12683650912
WD 1 Msun (C-12),12.0,2046.0057778008593,5073.182740459201
WD 1 Msun (O-16),16.0,2717.99247739921,6739.410354872277
WimPyC WD 0.49 Msun (C-12),12.0,857.171152534017,2121.008802642446
Sun (1H),1.0079,2.4229970272439108,10.27281248694898
Sun (4He),4.0026,9.595529893583675,40.6822947784722
Sun (16O),15.995,37.92314067944532,160.7832402333822
Sun (56Fe),55.935,127.92879711889485,542.3814101737455
Sun (58Ni),57.935,132.26878006373624,560.7816931652708
"Earth lab, Xe (LZ, 16 June)",131.29,386.6151128700423,
