model,sigma,delta,C_Fe,C_Ni,C_total,C_over_geom,Gamma_A_thermal_eq,t_eq_yr,V_thermal_cm3,r_apo_Rsun,V_orbit_cm3,t_eq_orbit_yr,Gamma_A_orbit
Higgsino (Z exchange),7.4e-39,0,4.2178567231512665e+23,2.118171587279221e+22,4.4296738818791885e+23,0.0004326415177050953,2.2148369409395942e+23,3869791.5713633746,,,,,
Higgsino (Z exchange),7.4e-39,300,3.6811893604545076e+23,1.995386105487863e+22,3.880727971003294e+23,0.0003790265567954673,1.940363985501647e+23,4134441.496937789,1.9821756950198652e+26,0.4635048109705281,1.4083654993153132e+32,3485005489.0943966,1.4577736154480313e+23
Higgsino (Z exchange),7.4e-39,350,1.6918439965098566e+23,9.529996059462064e+21,1.787143957104477e+23,0.00017454844184402156,8.935719785522386e+22,6092473.978073321,1.9821756950198652e+26,0.6125312523676036,3.2504043824778756e+32,7801737019.483359,2.506414457394089e+22
Higgsino (Z exchange),7.4e-39,366,1.235451031690601e+23,7.087265134801149e+21,1.3063236830386124e+23,0.00012758723913196398,6.531618415193062e+22,7126036.6422297815,1.9821756950198652e+26,0.6795931509962876,4.439147941987354e+32,10664163312.179104,1.0790334870007006e+22
Higgsino (Z exchange),7.4e-39,380,9.089440554770662e+22,5.317145925178291e+21,9.621155147288491e+22,9.396879490445089e-05,4.810577573644246e+22,8303474.234938427,1.9821756950198652e+26,0.7466550496249716,5.8872524418945936e+32,14310180059.764154,4.6473635866611653e+21
dark photon (proton-only),1.2e-42,250,9.74674537027198e+19,5.716807192493758e+18,1.0318426089521355e+20,1.0077896573741776e-07,5.159213044760674e+19,253551814.33683062,1.9821756950198652e+26,0.35918630199257523,6.554082996011638e+31,145798017138.76776,5.132249362996737e+16
dark photon (proton-only),8.6e-42,300,4.1968720925178017e+20,2.4856530155238793e+19,4.4454373940701895e+20,4.341811231073296e-07,2.2227186970350948e+20,122156393.48169345,1.9821756950198652e+26,0.4635048109705281,1.4083654993153132e+32,102968128132.1762,4.430135049294157e+17
dark photon (proton-only),3e-40,350,6.92263828239523e+21,4.1942443157396586e+20,7.342062713969196e+21,7.170914248680705e-06,3.671031356984598e+21,30058299.435675956,1.9821756950198652e+26,0.6125312523676036,3.2504043824778756e+32,38491251385.564255,5.193478454293698e+19
dark photon (proton-only),2.3e-39,365,4.000017732726401e+22,2.452502112549551e+21,4.245267943981356e+22,4.1463078667310695e-05,2.122633971990678e+22,12500313.306103978,1.9821756950198652e+26,0.6721418289264338,4.2947254808916024e+32,18399987560.295177,1.2732668493262013e+21
isoscalar P021 fit,2.19634703196347e-42,300,4.691524577482263e+20,2.662099766285256e+19,4.957734554110789e+20,4.842166396591596e-07,2.4788672770553944e+20,115672951.28459729,1.9821756950198652e+26,0.4635048109705281,1.4083654993153132e+32,97503101801.08856,5.509192967462947e+17
isoscalar P021 fit,1.1575342465753424e-40,350,1.153022986282749e+22,6.742817820680365e+20,1.2204511644895525e+22,1.1920016194639398e-05,6.102255822447763e+21,23313809.76203659,1.9821756950198652e+26,0.6125312523676036,3.2504043824778756e+32,29854573583.783054,1.4260951736011568e+20
isoscalar P021 fit,6.5e-38,380,3.520263994933497e+24,2.126146768449248e+23,3.7328786717784217e+24,0.0036458627362474603,1.8664393358892109e+24,1333065.5774715045,1.9821756950198652e+26,0.7466550496249716,5.8872524418945936e+32,2297400811.436632,1.7351479346922224e+24
"reference: elastic on H, sigma=1e-40 (IceCube-scale)",1e-40,0,0.0,0.0,2.5345151965678803e+20,2.475433927033416e-07,1.2672575982839402e+20,,,,,,
