model,delta,sigma,sigma_crit,f,rho,Mdot_g_s,L_kin,L_ann,T_kin,T_ann
Higgsino (P007) sigma_n,366,7.4e-39,5.391148113765682e-41,0.9999528212353144,0.4,16578.57860657363,2.7509220933840226e+21,1.4900083378753464e+25,49.55943522971074,425.1615194201461
Higgsino (P007) sigma_n,366,7.4e-39,5.391148113765682e-41,0.9999528212353144,1000.0,41446446.516434066,6.877305233460055e+24,3.7250208446883653e+28,350.4381272270395,3006.345934815613
"dark photon (P011) sigma_p, delta=250",250,1.2e-42,4.610806595684592e-41,0.02564874399714112,0.4,425.23978080404106,7.0561025511304905e+19,3.821864552025411e+23,19.833437720601882,170.14751030820315
"dark photon (P011) sigma_p, delta=250",250,1.2e-42,4.610806595684592e-41,0.02564874399714112,1000.0,1063099.4520101026,1.7640256377826224e+23,9.554661380063527e+26,140.24358306478652,1203.1245834093843
"dark photon (P011) sigma_p, delta=300",300,8.6e-42,5.14947194879253e-41,0.15231409567724097,0.4,2525.2703472097946,4.190239799660785e+20,2.2695998022653245e+24,30.961108060509087,265.6098013410353
"dark photon (P011) sigma_p, delta=300",300,8.6e-42,5.14947194879253e-41,0.15231409567724097,1000.0,6313175.868024486,1.0475599499151962e+24,5.673999505663311e+27,218.92809462635452,1878.1449167785777
"dark photon (P011) sigma_p, delta=350",350,3e-40,4.736068164268209e-41,0.9778639630581928,0.4,16212.35945718769,2.6901544984668914e+21,1.4570942021690257e+25,49.28344764232694,422.7938713335744
"dark photon (P011) sigma_p, delta=350",350,3e-40,4.736068164268209e-41,0.9778639630581928,1000.0,40530898.64296923,6.725386246167229e+24,3.642735505422565e+28,348.48660028141546,2989.604134640831
"dark photon (P011) sigma_p, delta=365",365,2.3e-39,4.610806595684592e-41,0.9996427718972853,0.4,16573.43818673254,2.7500691315683146e+21,1.4895463399800403e+25,49.555593134180356,425.1285587706575
"dark photon (P011) sigma_p, delta=365",365,2.3e-39,4.610806595684592e-41,0.9996427718972853,1000.0,41433595.46683135,6.875172828920786e+24,3.7238658499501007e+28,350.41095950900444,3006.1128678279565
"P021 best-fit sigma_n, delta=300",300,2.19634703196347e-42,1.2873679871981325e-41,0.15529516998892212,0.4,2574.694653795768,4.2722507006940185e+20,2.314020153764944e+24,31.111500547667944,266.89999155513806
"P021 best-fit sigma_n, delta=300",300,2.19634703196347e-42,1.2873679871981325e-41,0.15529516998892212,1000.0,6436736.63448942,1.0680626751735046e+24,5.785050384412361e+27,219.9915301014499,1887.267939272704
"P021 best-fit sigma_n, delta=350",350,1.1575342465753424e-40,1.1840170410670523e-41,0.9906997895665525,0.4,16425.169256040295,2.7254665231732866e+21,1.4762205930494977e+25,49.44438606515412,424.1745332411432
"P021 best-fit sigma_n, delta=350",350,1.1575342465753424e-40,1.1840170410670523e-41,0.9906997895665525,1000.0,41062923.14010073,6.813666307933215e+24,3.690551482623744e+28,349.62460678276113,2999.3668886145097
"P021 best-fit sigma_n, delta=380",380,6.5e-38,1.1259682117322244e-41,0.9999999733269288,0.4,16579.360358112997,2.7510518112345223e+21,1.4900785981997956e+25,49.560019454701155,425.1665313817121
"P021 best-fit sigma_n, delta=380",380,6.5e-38,1.1259682117322244e-41,0.9999999733269288,1000.0,41448400.89528248,6.877629528086303e+24,3.7251964954994877e+28,350.442258321564,3006.3813747357167
