m_chi_GeV,kind,T_label,T_MeV,E_R_max_keV,N_lo_helm,N_lo_shell
0.001,const,1.2xTmin270,153.2132864261849,387.63917997613817,349.93474144588436,1184.4834036485383
0.001,const,10xTmin270,1276.7773868848742,26135.478351731468,349.93474144588436,1184.4834036485383
0.001,vecD,1.2xTmin270,153.2132864261849,387.63917997613817,756.7689146237345,2528.0009333729818
0.001,vecD,10xTmin270,1276.7773868848742,26135.478351731468,352.59843518021734,1193.3962909353634
0.001,scaD,1.2xTmin270,153.2132864261849,387.63917997613817,33.22530474958981,113.5575616305371
0.001,scaD,10xTmin270,1276.7773868848742,26135.478351731468,33.22530474958982,113.5575616305371
0.01,const,1.2xTmin270,142.8746999356717,379.3331318195575,349.93474144588436,1184.4834036485383
0.01,const,10xTmin270,1190.622499463931,23101.482588558825,349.9347414458844,1184.4834036485381
0.01,vecD,1.2xTmin270,142.8746999356717,379.3331318195575,773.472284961649,2582.407289322009
0.01,vecD,10xTmin270,1190.622499463931,23101.482588558825,352.95138977742965,1194.5771826635073
0.01,scaD,1.2xTmin270,142.8746999356717,379.3331318195575,35.558559180880785,121.52930641471747
0.01,scaD,10xTmin270,1190.622499463931,23101.482588558825,35.55855918088078,121.52930641471748
0.1,const,1.2xTmin270,75.58982618299518,339.45114543586817,349.9347414458844,1184.4834036485383
0.1,const,10xTmin270,629.9152181916266,8442.311210332358,349.93474144588436,1184.4834036485386
0.1,vecD,1.2xTmin270,75.58982618299518,339.45114543586817,592.6479416280301,1990.2851331330276
0.1,vecD,10xTmin270,629.9152181916266,8442.311210332358,358.16723627388546,1212.0248301214378
0.1,scaD,1.2xTmin270,75.58982618299518,339.45114543586817,168.91725429614218,575.1235510597476
0.1,scaD,10xTmin270,629.9152181916266,8442.311210332358,168.91725429614218,575.1235510597475
1.0,const,1.2xTmin270,10.035385015634962,324.2611085435057,349.93474144588447,1184.4834036485383
1.0,const,10xTmin270,83.62820846362467,2797.800004320598,349.93474144588447,1184.4834036485383
1.0,vecD,1.2xTmin270,10.035385015634962,324.2611085435057,354.2011109727808,1198.7581963505122
1.0,vecD,10xTmin270,83.62820846362467,2797.800004320598,353.6391903258715,1196.8783010348852
1.0,scaD,1.2xTmin270,10.035385015634962,324.2611085435057,345.76549063482,1170.5297067266288
1.0,scaD,10xTmin270,83.62820846362467,2797.800004320598,345.7654906348201,1170.5297067266288
10.0,const,1.2xTmin270,1.159911008367676,324.0022568448225,349.93474144588436,1184.4834036485381
10.0,const,10xTmin270,9.665925069730633,2700.84621618561,349.9347414458843,1184.4834036485383
10.0,vecD,1.2xTmin270,1.159911008367676,324.0022568448225,349.98416988057687,1184.6488084639118
10.0,vecD,10xTmin270,9.665925069730633,2700.84621618561,349.98409175934125,1184.6485470433802
10.0,scaD,1.2xTmin270,1.159911008367676,324.0022568448225,349.892219294302,1184.3411092454405
10.0,scaD,10xTmin270,9.665925069730633,2700.84621618561,349.89221929430204,1184.3411092454407
