m_chi_GeV,kind,ff,T_GeV,E_R_max_keV,N_lo
0.001,const,helm,0.12451970847350319,256.92229769754175,354.42617251883627
0.001,const,helm,0.12742749857031335,268.95191508634343,350.03101283731263
0.001,const,helm,0.13040319151841315,281.54675468784507,349.93474144588436
0.001,const,helm,0.13344837298838383,294.733405542585,349.9347414458844
0.001,const,helm,0.13656466567946096,308.5397071675441,349.93474144588436
0.001,const,helm,0.1397537301842291,322.9948082827032,349.93474144588447
0.001,const,helm,0.1430172658735088,338.1292282882545,349.9347414458844
0.001,const,helm,0.14635701180190797,353.9749216207504,349.9347414458844
0.001,const,helm,0.14977474763452,370.56534512241035,349.93474144588436
0.001,const,helm,0.15327229459526134,387.9355285640138,349.9347414458844
0.001,const,helm,0.1568515164373548,406.1221484683216,349.93474144588436
0.001,const,helm,0.16051432043647615,425.16360538775484,349.9347414458844
0.001,const,helm,0.16426265840709303,445.1001047971696,349.93474144588436
0.001,const,helm,0.16809852774253636,465.97374176999057,349.93474144588447
0.001,const,helm,0.1720239724793599,487.8285896137501,349.9347414458844
0.001,const,helm,0.17604108438655525,510.7107926491987,349.93474144588436
0.001,const,helm,0.18015200408020238,534.6686633256496,349.93474144588447
0.001,const,helm,0.1843589221641488,559.7527838740943,349.9347414458844
0.001,const,helm,0.18866408039732582,586.0161127089265,349.93474144588436
0.001,const,helm,0.19306977288832497,613.5140957988195,349.9347414458844
0.001,const,helm,0.19757834731786994,642.3047832374423,349.9347414458844
0.001,const,helm,0.20219220618983536,672.4489512553127,349.9347414458844
0.001,const,helm,0.20691380811147903,704.0102299251841,349.9347414458844
0.001,const,helm,0.21174566910357118,737.0552368249539,349.9347414458844
0.001,const,helm,0.2166903639411181,771.6537169342043,349.9347414458844
0.001,const,helm,0.22175052752539318,807.8786890531242,349.9347414458844
0.001,const,helm,0.2269288562880081,845.8065990458398,349.93474144588436
0.001,const,helm,0.23222810962777246,885.5174802239935,349.9347414458844
0.001,const,helm,0.23765111138110728,927.0951212008687,349.9347414458844
0.001,const,helm,0.24320075132679475,970.6272415614596,349.9347414458844
0.001,const,helm,0.24887998672586673,1016.2056757096841,349.9347414458844
0.001,const,helm,0.25469184389745403,1063.9265652704387,349.9347414458844
0.001,const,helm,0.26063941983143474,1113.8905604414072,349.93474144588436
0.001,const,helm,0.2667258838387405,1166.203030707546,349.9347414458844
0.001,const,helm,0.2729544792402007,1220.974285349991,349.93474144588436
0.001,const,helm,0.2793285250948253,1278.3198042007728,349.93474144588436
0.001,const,helm,0.28585141796844715,1338.3604791152668,349.9347414458844
0.001,const,helm,0.2925266337436645,1401.2228666556982,349.9347414458844
0.001,const,helm,0.29935772947204903,1467.0394525014701,349.9347414458844
0.001,const,helm,0.3063483452696084,1535.948928125452,349.9347414458844
0.001,const,helm,0.3135022062565112,1608.0964802997742,349.9347414458843
0.001,const,helm,0.32082312454210776,1683.6340940201696,349.9347414458844
0.001,const,helm,0.3283150012563047,1762.7208694645617,349.93474144588436
0.001,const,helm,0.3359818286283781,1845.5233536294004,349.93474144588436
