m_chi_GeV,gamma,T_lo_label,T_lo_MeV,N_lo_helm,N_lo_shell
0.001,1.5,Tmin270,127.67773868848742,349.934851350539,1184.4837189921957
0.001,1.5,10MeV,10.0,10618.244576815436,35623.55742200999
0.001,2.0,Tmin270,127.67773868848742,349.9348730860955,1184.4837813568843
0.001,2.0,10MeV,10.0,22378.54170318972,74960.26274363285
0.001,2.7,Tmin270,127.67773868848742,349.9349033128574,1184.4838680849386
0.001,2.7,10MeV,10.0,65341.66483570081,218394.44069894636
0.01,1.5,Tmin270,119.06224994639308,349.9348483452473,1184.4837103692705
0.01,1.5,10MeV,10.0,13567.902154506492,45518.105374119885
0.01,2.0,Tmin270,119.06224994639308,349.93487012410037,1184.4837728581874
0.01,2.0,10MeV,10.0,32422.82165597306,108603.48001727539
0.01,2.7,Tmin270,119.06224994639308,349.9349004850925,1184.4838599713821
0.01,2.7,10MeV,10.0,115308.14610441864,385388.0694460271
0.1,1.5,Tmin270,62.991521819162664,349.93483201348124,1184.4836635093932
0.1,1.5,10MeV,10.0,5625.171230115468,18764.08873328115
0.1,2.0,Tmin270,62.991521819162664,349.9348551178679,1184.4837298015948
0.1,2.0,10MeV,10.0,12420.909778288495,41285.92860526815
0.1,2.7,Tmin270,62.991521819162664,349.9348877511746,1184.4838234346228
0.1,2.7,10MeV,10.0,38363.62354951768,126900.0146176721
1.0,1.5,Tmin270,8.362820846362467,349.93483574639424,1184.4836742200443
1.0,1.5,10MeV,10.0,349.9347414458844,1184.4834036485381
1.0,2.0,Tmin270,8.362820846362467,349.93486630799157,1184.483761908827
1.0,2.0,10MeV,10.0,349.9347414458844,1184.4834036485383
1.0,2.7,Tmin270,8.362820846362467,349.93490883476653,1184.483883928661
1.0,2.7,10MeV,10.0,349.93474144588447,1184.4834036485383
10.0,1.5,Tmin270,0.9665925069730633,349.9347414458844,1184.4834036485386
10.0,1.5,10MeV,10.0,349.93474144588436,1184.4834036485383
10.0,2.0,Tmin270,0.9665925069730633,349.9347414458846,1184.4834036485383
10.0,2.0,10MeV,10.0,349.9347414458844,1184.4834036485383
10.0,2.7,Tmin270,0.9665925069730633,349.93474144588436,1184.4834036485383
10.0,2.7,10MeV,10.0,349.9347414458844,1184.4834036485383
