S1c_phd,lowest_grey_log10S2c
3.300000000000000000e+02,4.165642458100559331e+00
3.400000000000000000e+02,4.191713221601490069e+00
3.500000000000000000e+02,4.275139664804469497e+00
3.600000000000000000e+02,4.243854748603352434e+00
3.700000000000000000e+02,4.220391061452514414e+00
3.800000000000000000e+02,4.327281191806331861e+00
3.900000000000000000e+02,4.301210428305401123e+00
4.000000000000000000e+02,4.324674115456239143e+00
4.100000000000000000e+02,4.332495344506518187e+00
4.200000000000000000e+02,4.222998137802607133e+00
4.300000000000000000e+02,4.290782122905028473e+00
4.400000000000000000e+02,4.251675977653631477e+00
4.500000000000000000e+02,4.306424581005586560e+00
4.600000000000000000e+02,4.285567970204842148e+00
4.700000000000000000e+02,4.290782122905028473e+00
4.800000000000000000e+02,4.269925512104283172e+00
4.900000000000000000e+02,4.295996275605214798e+00
5.000000000000000000e+02,4.251675977653631477e+00
5.100000000000000000e+02,4.295996275605214798e+00
5.200000000000000000e+02,4.327281191806331861e+00
5.300000000000000000e+02,4.415921787709497615e+00
5.400000000000000000e+02,4.374208566108007901e+00
5.500000000000000000e+02,4.353351955307262600e+00
5.600000000000000000e+02,4.384636871508380551e+00
5.700000000000000000e+02,4.374208566108007901e+00
5.800000000000000000e+02,4.389851024208566876e+00
5.900000000000000000e+02,4.374208566108007901e+00
6.000000000000000000e+02,4.368994413407821575e+00
6.100000000000000000e+02,4.374208566108007901e+00
6.200000000000000000e+02,4.363780260707635250e+00
6.300000000000000000e+02,4.363780260707635250e+00
6.400000000000000000e+02,4.358566108007448925e+00
6.500000000000000000e+02,4.374208566108007901e+00
6.600000000000000000e+02,4.327281191806331861e+00
6.700000000000000000e+02,4.374208566108007901e+00
6.800000000000000000e+02,4.345530726256983556e+00
6.900000000000000000e+02,4.428957169459962984e+00
7.000000000000000000e+02,4.371601489757914294e+00
7.100000000000000000e+02,4.423743016759776658e+00
7.200000000000000000e+02,4.387243947858473270e+00
7.300000000000000000e+02,4.418528864059590333e+00
7.400000000000000000e+02,4.387243947858473270e+00
7.500000000000000000e+02,4.402886405959032246e+00
7.600000000000000000e+02,4.387243947858473270e+00
7.700000000000000000e+02,4.415921787709497615e+00
7.800000000000000000e+02,4.408100558659218571e+00
7.900000000000000000e+02,4.402886405959032246e+00
8.000000000000000000e+02,4.434171322160149309e+00
