drift_us,survival_tau566us,logS2c_70keV_ER
9.300000000000000000e+01,8.484339858081328956e-01,4.554927622027721057e+00
9.523558897243107424e+01,8.450883902106116619e-01,4.553211700682440188e+00
9.747117794486214848e+01,8.417559871655921899e-01,4.551495779337159320e+00
9.970676691729323693e+01,8.384367246514132788e-01,4.549779857991878451e+00
1.019423558897243112e+02,8.351305508515481923e-01,4.548063936646597583e+00
1.041779448621553854e+02,8.318374141537965283e-01,4.546348015301316714e+00
1.064135338345864739e+02,8.285572631494780849e-01,4.544632093956036734e+00
1.086491228070175481e+02,8.252900466326305029e-01,4.542916172610755865e+00
1.108847117794486223e+02,8.220357135992096831e-01,4.541200251265474996e+00
1.131203007518796966e+02,8.187942132462939782e-01,4.539484329920194128e+00
1.153558897243107708e+02,8.155654949712904944e-01,4.537768408574913259e+00
1.175914786967418593e+02,8.123495083711459452e-01,4.536052487229632391e+00
1.198270676691729335e+02,8.091462032415589478e-01,4.534336565884352410e+00
1.220626566416040077e+02,8.059555295761970939e-01,4.532620644539071542e+00
1.242982456140350962e+02,8.027774375659156858e-01,4.530904723193790673e+00
1.265338345864661704e+02,7.996118775979804694e-01,4.529188801848509804e+00
1.287694235588972447e+02,7.964588002552931423e-01,4.527472880503228936e+00
1.310050125313283047e+02,7.933181563156197491e-01,4.525756959157948067e+00
1.332406015037593932e+02,7.901898967508226290e-01,4.524041037812668087e+00
1.354761904761904816e+02,7.870739727260945839e-01,4.522325116467387218e+00
1.377117794486215416e+02,7.839703355991968214e-01,4.520609195122106350e+00
1.399473684210526301e+02,7.808789369196994512e-01,4.518893273776825481e+00
1.421829573934837185e+02,7.777997284282252011e-01,4.517177352431544612e+00
1.444185463659147786e+02,7.747326620556964638e-01,4.515461431086264632e+00
1.466541353383458670e+02,7.716776899225837871e-01,4.513745509740983763e+00
1.488897243107769555e+02,7.686347643381598038e-01,4.512029588395702895e+00
1.511253132832080155e+02,7.656038377997537170e-01,4.510313667050422026e+00
1.533609022556391039e+02,7.625848629920101152e-01,4.508597745705141158e+00
1.555964912280701924e+02,7.595777927861503409e-01,4.506881824359860289e+00
1.578320802005012524e+02,7.565825802392369681e-01,4.505165903014580309e+00
1.600676691729323409e+02,7.535991785934403886e-01,4.503449981669299440e+00
1.623032581453634293e+02,7.506275412753096177e-01,4.501734060324018571e+00
1.645388471177944893e+02,7.476676218950447650e-01,4.500018138978737703e+00
1.667744360902255494e+02,7.447193742457728360e-01,4.498302217633456834e+00
1.690100250626566378e+02,7.417827523028266423e-01,4.496586296288176854e+00
1.712456140350877263e+02,7.388577102230261540e-01,4.494870374942895985e+00
1.734812030075187863e+02,7.359442023439631830e-01,4.493154453597615117e+00
1.757167919799498748e+02,7.330421831832879542e-01,4.491438532252334248e+00
1.779523809523809632e+02,7.301516074379994503e-01,4.489722610907053379e+00
1.801879699248120232e+02,7.272724299837384221e-01,4.488006689561772511e+00
1.824235588972431117e+02,7.244046058740822858e-01,4.486290768216491642e+00
1.846591478696742001e+02,7.215480903398441281e-01,4.484574846871211662e+00
1.868947368421052602e+02,7.187028387883737102e-01,4.482858925525930793e+00
1.891303258145363486e+02,7.158688068028608020e-01,4.481143004180649925e+00
1.913659147869674371e+02,7.130459501416425150e-01,4.479427082835369056e+00
1.936015037593984971e+02,7.102342247375121875e-01,4.477711161490088188e+00
1.958370927318295855e+02,7.074335866970317133e-01,4.475995240144808207e+00
1.980726817042606740e+02,7.046439922998459782e-01,4.474279318799527339e+00
2.003082706766917340e+02,7.018653979980008506e-01,4.472563397454246470e+00
2.025438596491227941e+02,6.990977604152630587e-01,4.470847476108965601e+00
2.047794486215538825e+02,6.963410363464429542e-01,4.469131554763684733e+00
2.070150375939849710e+02,6.935951827567201633e-01,4.467415633418403864e+00
2.092506265664160310e+02,6.908601567809719013e-01,4.465699712073123884e+00
2.114862155388471194e+02,6.881359157231037305e-01,4.463983790727843015e+00
2.137218045112782079e+02,6.854224170553827600e-01,4.462267869382562147e+00
2.159573934837092679e+02,6.827196184177743987e-01,4.460551948037281278e+00
2.181929824561403564e+02,6.800274776172802182e-01,4.458836026692000409e+00
2.204285714285714448e+02,6.773459526272801456e-01,4.457120105346719541e+00
2.226641604010025048e+02,6.746750015868757666e-01,4.455404184001439560e+00
2.248997493734335933e+02,6.720145828002370703e-01,4.453688262656158692e+00
2.271353383458646817e+02,6.693646547359515253e-01,4.451972341310877823e+00
2.293709273182957418e+02,6.667251760263759319e-01,4.450256419965596955e+00
2.316065162907268302e+02,6.640961054669901609e-01,4.448540498620316086e+00
2.338421052631578902e+02,6.614774020157545564e-01,4.446824577275036106e+00
2.360776942355889787e+02,6.588690247924684495e-01,4.445108655929755237e+00
2.383132832080200671e+02,6.562709330781328898e-01,4.443392734584474368e+00
2.405488721804511272e+02,6.536830863143141546e-01,4.441676813239193500e+00
2.427844611528822156e+02,6.511054441025112549e-01,4.439960891893912631e+00
2.450200501253132757e+02,6.485379662035245518e-01,4.438244970548631763e+00
2.472556390977443641e+02,6.459806125368285912e-01,4.436529049203350894e+00
2.494912280701754526e+02,6.434333431799453829e-01,4.434813127858070914e+00
2.517268170426065126e+02,6.408961183678218987e-01,4.433097206512790045e+00
2.539624060150376010e+02,6.383688984922089027e-01,4.431381285167509176e+00
2.561979949874686895e+02,6.358516441010428899e-01,4.429665363822228308e+00
2.584335839598997495e+02,6.333443158978299126e-01,4.427949442476947439e+00
2.606691729323308664e+02,6.308468747410324040e-01,4.426233521131667459e+00
2.629047619047619264e+02,6.283592816434583339e-01,4.424517599786386590e+00
2.651403508771929864e+02,6.258814977716516958e-01,4.422801678441105722e+00
2.673759398496240465e+02,6.234134844452874358e-01,4.421085757095824853e+00
2.696115288220551065e+02,6.209552031365667135e-01,4.419369835750543984e+00
2.718471177944862234e+02,6.185066154696159391e-01,4.417653914405263116e+00
2.740827067669173402e+02,6.160676832198875852e-01,4.415937993059983135e+00
2.763182957393484003e+02,6.136383683135635536e-01,4.414222071714702267e+00
2.785538847117794603e+02,6.112186328269605395e-01,4.412506150369421398e+00
2.807894736842105203e+02,6.088084389859381718e-01,4.410790229024140530e+00
2.830250626566415804e+02,6.064077491653093732e-01,4.409074307678859661e+00
2.852606516290726972e+02,6.040165258882527199e-01,4.407358386333578792e+00
2.874962406015037573e+02,6.016347318257282417e-01,4.405642464988298812e+00
2.897318295739348741e+02,5.992623297958934447e-01,4.403926543643017943e+00
2.919674185463659342e+02,5.968992827635237752e-01,4.402210622297737075e+00
2.942030075187969942e+02,5.945455538394340822e-01,4.400494700952456206e+00
2.964385964912280542e+02,5.922011062799030778e-01,4.398778779607175338e+00
2.986741854636591711e+02,5.898659034860992412e-01,4.397062858261895357e+00
3.009097744360902311e+02,5.875399090035099414e-01,4.395346936916614489e+00
3.031453634085213480e+02,5.852230865213718936e-01,4.393631015571333620e+00
3.053809523809524080e+02,5.829153998721049446e-01,4.391915094226052751e+00
