tau_s,P_tpc_resolved,P_tpc_merged,P_rfr,P_prompt,P_delayed,P_clean,P_tpc,P_notclean
1e-09,1.80850621097196e-58,1.0,2.9576664596751366e-251,0.0,3.728010610509207e-200,2.7295369771112485e-173,1.0,1.0
1.1220184543019653e-09,2.416535878791527e-52,1.0,2.638881895650248e-224,0.0,9.10156437851451e-179,8.248773539404437e-155,1.0,1.0
1.2589254117941663e-09,7.057087349802576e-47,1.0,2.7609103137411573e-200,0.0,1.0492265809935513e-159,2.45295267586518e-138,1.0,1.0
1.4125375446227555e-09,5.3164933438961155e-42,1.0,7.056220777137167e-179,0.0,1.0225268982375078e-142,1.1875990500485926e-123,1.0,1.0
1.584893192461111e-09,1.1980347734792502e-37,1.0,8.473138793772754e-160,0.0,1.415674933605797e-127,1.4659675708533975e-110,1.0,1.0
1.7782794100389228e-09,9.215809351421022e-34,1.0,8.563312280866097e-143,0.0,4.4223324830117015e-114,6.878997609136155e-99,1.0,1.0
1.9952623149688828e-09,2.7228350001502572e-30,1.0,1.2246309241159648e-127,0.0,4.707654644790015e-102,1.7511979456953655e-88,1.0,1.0
2.2387211385683377e-09,3.4324519084519826e-27,1.0,3.937649949504168e-114,0.0,2.466131146719779e-91,3.319643408058205e-79,1.0,1.0
2.511886431509582e-09,2.0276053263399815e-24,1.0,4.301007413236171e-102,0.0,8.82111560965661e-82,6.212690144065865e-71,1.0,1.0
2.8183829312644493e-09,6.100763370715287e-22,1.0,2.3053975726804005e-91,0.0,2.8846675107966e-73,1.4757625760889803e-63,1.0,1.0
3.1622776601683795e-09,1.0069339854953106e-19,1.0,8.416540069148697e-82,0.0,1.1187052327984148e-65,5.566063168458947e-57,1.0,1.0
3.5481338923357603e-09,9.736319478991021e-18,1.0,2.802981504892021e-73,0.0,6.48751066192328e-59,4.069867737846409e-51,1.0,1.0
3.981071705534969e-09,5.845947655423228e-16,0.9999999999999994,1.1048231886875881e-65,0.0,6.917105505290993e-53,6.8936982545343985e-46,1.0,1.0
4.466835921509635e-09,2.2947330567709178e-14,0.9999999999999771,6.500363654810169e-59,0.0,1.6301597234337393e-47,3.170822889249228e-41,1.0,1.0
5.011872336272715e-09,6.162433416819146e-13,0.9999999999993838,7.020611814161217e-53,0.0,1.000602546631699e-42,4.563825300469166e-37,1.0,1.0
5.623413251903491e-09,1.1784612076563977e-11,0.9999999999882154,1.673576411587241e-47,0.0,1.8514685218207902e-38,2.332933787196369e-33,1.0,1.0
6.309573444801943e-09,1.662582905287316e-10,0.9999999998337417,1.0376897628434415e-42,0.0,1.1764217453075616e-34,4.742197304260275e-30,1.0,1.0
7.0794578438413736e-09,1.7854622170112787e-09,0.9999999982145379,1.9372230244415762e-38,0.0,2.882668023003215e-31,4.240346745836813e-27,1.0,1.0
7.943282347242822e-09,1.500687658475011e-08,0.9999999849931234,1.240478098911125e-34,0.0,3.020694296147986e-28,1.8253482901259925e-24,1.0,1.0
8.912509381337441e-09,1.0119729258218356e-07,0.9999998988027075,3.06014539258842e-31,0.0,1.4842624008391937e-25,4.10072394849934e-22,1.0,1.0
1e-08,5.597931755927681e-07,0.9999994402068244,3.2257496823650203e-28,0.0,3.712656230819208e-23,5.16829924639732e-20,1.0,1.0
1.122018454301963e-08,2.5913734200719644e-06,0.9999974086265799,1.5938491648281455e-25,0.0,5.087060119758911e-21,3.899386719792617e-18,1.0,1.0
1.2589254117941661e-08,1.022071400152219e-05,0.9999897792859983,4.010408123672712e-23,0.0,4.0765108929560566e-19,1.8670474288318245e-16,0.9999999999999998,0.9999999999999998
1.4125375446227554e-08,3.4907947630586465e-05,0.9999650920523634,5.5361518946706276e-21,0.0,2.0255954178879435e-17,5.97902326228247e-15,0.999999999999994,0.999999999999994
1.5848931924611143e-08,0.0001047657130197783,0.9998952342868453,4.484416859367721e-19,0.0,6.575960214299757e-16,1.342425716580203e-13,0.9999999999998651,0.9999999999998658
1.7782794100389228e-08,0.0002799685272469587,0.9997200314705346,2.2653988915551448e-17,0.0,1.461463368422731e-14,2.203849015320529e-12,0.9999999999977816,0.9999999999977961
1.9952623149688786e-08,0.0006741846557378282,0.9993258153165779,7.54333826793763e-16,0.0,2.318190927064637e-13,2.745169904927132e-11,0.9999999999723158,0.9999999999725483
2.2387211385683378e-08,0.00147878336848598,0.9985212163608821,1.7408804716528437e-14,0.0,2.7240386954677286e-12,2.6789048410651717e-10,0.999999999729368,0.9999999997321095
2.511886431509582e-08,0.0029833257237388893,0.9970166721468535,2.9132642396490417e-13,0.0,2.451477813709686e-11,2.1046014532588244e-09,0.9999999978705925,0.9999999978953985
2.818382931264455e-08,0.005584205187280169,0.9944157810162018,3.679176584728868e-12,0.0,1.7407068049639903e-10,1.3618768192147196e-08,0.999999986203482,0.9999999863812318
3.162277660168379e-08,0.009774595134645628,0.9902253298335537,3.629532477496466e-11,0.0,1.0016461753959506e-09,7.399385909122841e-08,0.9999999249681993,0.999999926006141
3.548133892335753e-08,0.016113051154205783,0.9838866006646554,2.878921895851485e-10,0.0,4.7845806667827765e-09,3.4310866607527543e-07,0.9999996518188612,0.999999656891334
3.981071705534969e-08,0.025173720607472538,0.9748248808560093,1.880072083231556e-09,0.0,1.9388224823919658e-08,1.377268221318178e-06,0.9999986014634819,0.9999986227317786
4.4668359215096346e-08,0.037485976604831134,0.9625090981243036,1.0305381112882502e-08,0.0,6.796588954717379e-08,4.846999594642305e-06,0.9999950747291347,0.9999951530004053
5.011872336272725e-08,0.05347370180394047,0.9465109105727418,4.817660504731582e-08,0.0,2.0976534820762285e-07,1.5129681364455012e-05,0.9999846123766823,0.9999848703186356
5.6234132519034905e-08,0.0734038636098622,0.9265530235103094,1.94729954605207e-07,0.0,5.790058623708682e-07,4.2339144011519116e-05,0.9999568871201716,0.9999576608559885
6.30957344480193e-08,0.09735113755804362,0.9025394409061092,6.888756646322289e-07,0.0,1.4493920912791548e-06,0.00010728326809129508,0.9998905784641527,0.9998927167319087
7.079457843841373e-08,0.1251815283974455,0.8745645485174532,2.156786961227461e-06,0.0,3.3309628917124844e-06,0.0002484353352481214,0.9997460769148987,0.9997515646647519
7.943282347242822e-08,0.15655454170806032,0.8429020391749857,6.038782801081355e-06,0.0,7.103890558980048e-06,0.0005302764435886288,0.999456580883046,0.9994697235564114
8.912509381337459e-08,0.19094123383167272,0.8079777678186931,1.5268592866927254e-05,0.0,1.419101745646978e-05,0.0010515387392068018,0.9989190016503658,0.9989484612607932
1e-07,0.22765448332208427,0.7703322489241259,3.518112933065436e-05,0.0,2.676697993845793e-05,0.0019513196429928159,0.9979867322462102,0.9980486803570072
1.1220184543019653e-07,0.2658876891749975,0.7305787479442125,7.449896598385911e-05,0.0,4.799465250374575e-05,0.0034110692452031786,0.99646643711921,0.9965889307547968
1.2589254117941662e-07,0.3047583147718247,0.6893621330474125,0.00014611471296809635,0.0,8.226634972838845e-05,0.005651170968243827,0.9941204478192371,0.9943488290317561
1.4125375446227555e-07,0.3433529408131965,0.647322303171378,0.00026730896351369793,0.0,0.0001354070309582043,0.008922038968522332,0.9906752439845745,0.9910779610314777
1.584893192461114e-07,0.3807707026718254,0.6050645057479298,0.0004590734755787839,0.0,0.00021477496866023792,0.013490937082953213,0.9858352084197552,0.9865090629170468
1.7782794100389227e-07,0.41616228254289145,0.5631374950760578,0.0007443616369715684,0.0,0.0003291835485258415,0.01962664814634981,0.9792997776189493,0.9803733518536502
1.995262314968883e-07,0.44876215244742046,0.5220194196222447,0.0011453338863488855,0.0,0.0004885781924035344,0.027584397515061573,0.9707815720696652,0.9724156024849384
2.2387211385683377e-07,0.4779125841001016,0.48211061208564987,0.0016799420764777757,0.0,0.000703438433605922,0.0375930076640855,0.9600231961857515,0.9624069923359145
2.5118864315095823e-07,0.5030789844223396,0.4437320640253688,0.002358426205865437,0.0,0.0009839268506854067,0.049845321659618934,0.9468110484477084,0.950154678340381
2.818382931264455e-07,0.5238571870913945,0.40712823237665696,0.0031804073120709885,0.0,0.001338854904869685,0.06449184264666172,0.9309854194680515,0.9355081573533383
3.162277660168379e-07,0.5399741768134686,0.37247287166561804,0.004133206383267711,0.0,0.0017745655636266606,0.08163669587682339,0.9124470484790866,0.9183633041231766
