tau_s,P_tpc_resolved,P_tpc_merged,P_rfr,P_prompt,P_delayed,P_clean,P_tpc,P_notclean
1e-09,5.140689070486542e-58,1.0,2.7301558683285412e-198,0.0,3.5132426746156993e-153,1.775320755867815e-120,1.0,1.0
1.1220184543019653e-09,6.90423918960511e-52,1.0,3.380032859256731e-177,0.0,5.539763917016344e-137,8.092195760266564e-108,1.0,1.0
1.2589254117941663e-09,2.0307914893939385e-46,1.0,2.1273556235909156e-158,0.0,1.5211578362789728e-122,1.5527369564610792e-96,1.0,1.0
1.4125375446227555e-09,1.543482191533815e-41,1.0,1.2089187385565304e-141,0.0,1.1298465586995243e-109,1.769419984871943e-86,1.0,1.0
1.584893192461111e-09,3.512600274048346e-37,1.0,1.0349532158241797e-126,0.0,3.360574273610535e-98,1.6273989050079841e-77,1.0,1.0
1.7782794100389228e-09,2.7293536253458626e-33,1.0,2.1065525102403005e-113,0.0,5.677529195279955e-88,1.5879929778531587e-69,1.0,1.0
1.9952623149688828e-09,8.13864680668443e-30,1.0,1.531037920126867e-101,0.0,7.439165881916495e-79,2.0977854353869256e-62,1.0,1.0
2.2387211385683377e-09,1.0333719418920139e-26,1.0,5.709900756372495e-91,0.0,9.978615315465495e-71,4.662352839878274e-56,1.0,1.0
2.511886431509582e-09,6.127726320554718e-24,1.0,1.5097640713594025e-81,0.0,1.755076059563079e-63,2.115987118359017e-50,1.0,1.0
2.8183829312644493e-09,1.842103185345548e-21,1.0,3.776244259727835e-73,0.0,5.0479251374707767e-57,2.3307351766341607e-45,1.0,1.0
3.1622776601683795e-09,3.0195023307227635e-19,1.0,1.1556015798566682e-65,0.0,2.891868276307663e-51,7.268199315673231e-41,1.0,1.0
3.5481338923357603e-09,2.8791153342021235e-17,1.0,5.443101482640232e-59,0.0,3.936348631725483e-46,7.361399973062728e-37,1.0,1.0
3.981071705534969e-09,1.6914669362668883e-15,0.9999999999999983,4.843091157814314e-53,0.0,1.49094943909471e-41,2.7371288106325984e-33,1.0,1.0
4.466835921509635e-09,6.444529188371055e-14,0.9999999999999356,9.771444779637188e-48,0.0,1.8105268763115211e-37,4.167648556265892e-30,1.0,1.0
5.011872336272715e-09,1.6668038238091949e-12,0.9999999999983332,5.2604881803605395e-43,0.0,8.003729129126783e-34,2.864745905981103e-27,1.0,1.0
5.623413251903491e-09,3.048429273542294e-11,0.9999999999695158,8.73379791132395e-39,0.0,1.443171986650523e-30,9.697103950909221e-25,1.0000000000000002,1.0
6.309573444801943e-09,4.0891873908147077e-10,0.9999999995910813,5.08567702176001e-35,0.0,1.1746602862379456e-27,1.7467223784163902e-22,1.0,1.0
7.0794578438413736e-09,4.157062277729334e-09,0.999999995842938,1.1641670556074203e-31,0.0,4.721480764870122e-25,1.7940124540217538e-20,1.0000000000000002,1.0
7.943282347242822e-09,3.2981568279501025e-08,0.9999999670184317,1.1590988520990336e-28,0.0,1.0142417846703381e-22,1.1172657278402352e-18,1.0,1.0
8.912509381337441e-09,2.0966142614912446e-07,0.9999997903385739,5.490129029684408e-26,0.0,1.247925388075813e-20,4.456655911535251e-17,1.0,1.0
1e-08,1.0933753313071595e-06,0.9999989066246675,1.3394119559547315e-23,0.0,9.345612612970924e-19,1.1957055787354996e-15,0.9999999999999988,0.9999999999999988
