tau_s,P_tpc_resolved,P_tpc_merged,P_rfr,P_prompt,P_delayed,P_clean,P_tpc,P_notclean
1e-09,5.140689070486542e-58,1.0,2.7301558683285412e-198,0.0,4.638652200545525e-153,1.775320755867815e-120,1.0,1.0
1.1220184543019653e-09,6.90423918960511e-52,1.0,3.380032859256731e-177,0.0,7.579077572807454e-137,8.092195760266564e-108,1.0,1.0
1.2589254117941663e-09,2.0307914893939385e-46,1.0,2.1273556235909156e-158,0.0,2.1557315539760412e-122,1.5527369564610792e-96,1.0,1.0
1.4125375446227555e-09,1.543482191533815e-41,1.0,1.2089187385565304e-141,0.0,1.657449171395055e-109,1.769419984871943e-86,1.0,1.0
1.584893192461111e-09,3.512600274048346e-37,1.0,1.0349532158241797e-126,0.0,5.09861053574224e-98,1.6273989050079841e-77,1.0,1.0
1.7782794100389228e-09,2.7293536253458626e-33,1.0,2.1065525102403005e-113,0.0,8.90018620572114e-88,1.5879929778531587e-69,1.0,1.0
1.9952623149688828e-09,8.13864680668443e-30,1.0,1.531037920126867e-101,0.0,1.2038060702486314e-78,2.0977854353869256e-62,1.0,1.0
2.2387211385683377e-09,1.0333719418920139e-26,1.0,5.709900756372495e-91,0.0,1.6653879289304234e-70,4.662352839878267e-56,1.0,1.0
2.511886431509582e-09,6.127726320554718e-24,1.0,1.5097640713594025e-81,0.0,3.018560742307714e-63,2.1159871183588904e-50,1.0,1.0
2.8183829312644493e-09,1.842103185345548e-21,1.0,3.776244259727835e-73,0.0,8.939481714552953e-57,2.330735176630269e-45,1.0,1.0
3.1622776601683795e-09,3.0195023307227635e-19,1.0,1.1556015798566682e-65,0.0,5.2677789593180743e-51,7.268199315435639e-41,1.0,1.0
3.5481338923357603e-09,2.8791153342021235e-17,1.0,5.443101482640232e-59,0.0,7.364632814122196e-46,7.361399969634443e-37,1.0,1.0
3.981071705534969e-09,1.6914669362668883e-15,0.9999999999999983,4.843091157814314e-53,0.0,2.858572418361413e-41,2.7371287969563684e-33,1.0,1.0
4.466835921509635e-09,6.444529188371055e-14,0.9999999999999356,9.771444779637188e-48,0.0,3.5453061924039436e-37,4.16764838278796e-30,1.0,1.0
5.011872336272715e-09,1.6668038238091949e-12,0.9999999999983332,5.2604881803605395e-43,0.0,1.5931066391965228e-33,2.864745113247377e-27,1.0,1.0
5.623413251903491e-09,3.048429273542294e-11,0.9999999999695158,8.73379791132395e-39,0.0,2.9021298481959064e-30,9.697089361330606e-25,1.0000000000000002,1.0
6.309573444801943e-09,4.0891873908147077e-10,0.9999999995910813,5.08567702176001e-35,0.0,2.369424977200811e-27,1.7467104307694804e-22,1.0,1.0
7.0794578438413736e-09,4.157062277729334e-09,0.999999995842938,1.1641670556074203e-31,0.0,9.481218227815977e-25,1.793964856647125e-20,1.0000000000000002,1.0
7.943282347242822e-09,3.2981568279501025e-08,0.9999999670184317,1.1590988520990336e-28,0.0,2.0134185936204262e-22,1.1171658101593406e-18,1.0,1.0
8.912509381337441e-09,2.0966142614912446e-07,0.9999997903385739,5.490129029684408e-26,0.0,2.4352842963792194e-20,4.455468552626948e-17,1.0,1.0
1e-08,1.0933753313071595e-06,0.9999989066246675,1.3394119559547315e-23,0.0,1.786414569695091e-18,1.1948537254271015e-15,0.9999999999999988,0.9999999999999988
1.122018454301963e-08,4.7774480837314725e-06,0.9999952225518937,1.8062010294570396e-21,0.0,8.404369110251454e-17,2.2507363042881774e-14,0.9999999999999774,0.9999999999999775
1.2589254117941661e-08,1.782410962285393e-05,0.9999821758900648,1.4335511095879403e-19,0.0,2.6655982381075882e-15,3.097539291961082e-13,0.9999999999996876,0.9999999999996902
1.4125375446227554e-08,5.774922887460387e-05,0.9999422507678369,7.082394253469786e-18,0.0,5.960351801343871e-14,3.228866802025203e-12,0.9999999999967115,0.9999999999967711
1.5848931924611143e-08,0.0001649572832331519,0.9998350426894204,2.2898646478378293e-16,0.0,9.780264870859541e-13,2.6368242206371687e-11,0.9999999999726535,0.9999999999736318
1.7782794100389228e-08,0.00042105911367995374,0.9995789406998666,5.067387469962328e-15,0.0,1.2206045694312039e-11,1.742423129163191e-10,0.9999999998135466,0.9999999998257577
1.9952623149688786e-08,0.0009720572831165894,0.9990279416358343,7.99114716411893e-14,0.0,1.1957981388362998e-10,9.613894810503137e-10,0.9999999989189509,0.9999999990386105
2.2387211385683378e-08,0.002051571693934714,0.9979484227961034,9.3128209857133e-13,0.0,9.450897777686463e-10,4.563940974384708e-09,0.9999999944900381,0.999999995436059
2.511886431509582e-08,0.00399663331776888,0.9960033413572835,8.289883300522035e-12,0.0,6.1671056641027186e-09,1.914955218793978e-08,0.9999999746750524,0.9999999808504478
2.818382931264455e-08,0.007248249176045301,0.9927516443375266,5.8100118515729136e-11,0.0,3.387348220862813e-08,7.255484579507036e-08,0.9999998935135719,0.9999999274451542
