tau_s,P_tpc_resolved,P_tpc_merged,P_rfr,P_prompt,P_delayed,P_clean,P_tpc,P_notclean
1e-09,4.949067424353677e-58,1.0,1.928501152055034e-247,0.0,7.577820452120385e-162,2.4454212310187903e-151,1.0,1.0
1.1220184543019653e-09,6.6484198346673726e-52,1.0,5.860629297125173e-221,0.0,1.1257675804536979e-144,2.6260597444142043e-135,1.0,1.0
1.2589254117941663e-09,1.9551046512824272e-46,1.0,2.3479950245368952e-197,0.0,2.2700435010677592e-129,5.092191532656732e-121,1.0,1.0
1.4125375446227555e-09,1.485271632478102e-41,1.0,2.5507791313284288e-176,0.0,9.91921859412802e-116,2.7589391909643938e-108,1.0,1.0
1.584893192461111e-09,3.378583390489113e-37,1.0,1.4289134271870186e-157,0.0,1.4253745304579085e-103,6.162943605260021e-97,1.0,1.0
1.7782794100389228e-09,2.6246181823118404e-33,1.0,7.319397732421564e-141,0.0,9.770763738235061e-93,8.0286297385788375e-87,1.0,1.0
1.9952623149688828e-09,7.827696524801023e-30,1.0,5.7122295576448184e-126,0.0,4.45198099052501e-83,8.308633495781451e-78,1.0,1.0
2.2387211385683377e-09,9.945747515349004e-27,1.0,1.0705550537298945e-112,0.0,1.8126904906004913e-74,8.997018467551086e-70,1.0,1.0
2.511886431509582e-09,5.90502093166761e-24,1.0,7.227821784889306e-101,0.0,8.587930252120279e-67,1.3032095327572762e-62,1.0,1.0
2.8183829312644493e-09,1.7783266476265618e-21,1.0,2.5233054099879e-90,0.0,5.991195751322088e-60,3.14341013888495e-56,1.0,1.0
3.1622776601683795e-09,2.9215517817789755e-19,1.0,6.286293122291956e-81,0.0,7.592658549501662e-54,1.5351130187877822e-50,1.0,1.0
3.5481338923357603e-09,2.79306284418447e-17,1.0,1.4892440538467648e-72,0.0,2.1077282011196925e-48,1.807366104199523e-45,1.0,1.0
3.981071705534969e-09,1.645671870801313e-15,0.9999999999999984,4.33317828875547e-65,0.0,1.514193085859145e-43,5.996956847353654e-41,1.0,1.0
4.466835921509635e-09,6.289207162065159e-14,0.9999999999999372,1.9451414487439438e-58,0.0,3.265457604216025e-39,6.450070924781427e-37,1.0,1.0
5.011872336272715e-09,1.6316902916674612e-12,0.9999999999983684,1.650657053672451e-52,0.0,2.412330600581827e-35,2.549858923124339e-33,1.0,1.0
5.623413251903491e-09,2.9933995019098365e-11,0.9999999999700661,3.173736738733644e-47,0.0,6.865110298469948e-32,4.148225178722533e-30,1.0,1.0
6.309573444801943e-09,4.027336500813603e-10,0.9999999995972664,1.6246970154565154e-42,0.0,8.354673413983211e-29,3.07425256698421e-27,1.0,1.0
7.0794578438413736e-09,4.105760577656273e-09,0.9999999958942395,2.5568389156834396e-38,0.0,4.7715073267500945e-26,1.136936467930493e-24,1.0,1.0
7.943282347242822e-09,3.2660356271842853e-08,0.9999999673396438,1.406062248962321e-34,0.0,1.3893557388735138e-23,2.275855254454614e-22,1.0,1.0
8.912509381337441e-09,2.0812025757884023e-07,0.9999997918797425,3.0287774016313624e-31,0.0,2.220959892393765e-21,2.6493035899581085e-20,1.0,1.0
1e-08,1.0876933398427426e-06,0.9999989123066602,2.8295190742179943e-28,0.0,2.0825797480840976e-19,1.909458794755924e-18,1.0,1.0
1.122018454301963e-08,4.76173170984454e-06,0.9999952382682902,1.25546574815983e-25,0.0,1.2156345762602538e-17,8.994715603711093e-17,1.0,0.9999999999999999
1.2589254117941661e-08,1.7794978465625878e-05,0.9999822050215311,2.8695380405573654e-23,0.0,4.659493667072286e-16,2.9008562398831045e-15,0.9999999999999968,0.9999999999999971
1.4125375446227554e-08,5.77360464028942e-05,0.9999422639535183,3.633475963411763e-21,0.0,1.2303925317083419e-14,6.665078186340241e-14,0.9999999999999212,0.9999999999999334
1.5848931924611143e-08,0.00016511193634044806,0.9998348880622969,2.721020991847924e-19,0.0,2.3363857235232e-13,1.1290774693256408e-12,0.9999999999986374,0.9999999999988709
1.7782794100389228e-08,0.00042184964188480515,0.9995781503402708,1.2785323957815722e-17,0.0,3.3137462645723774e-12,1.4530755052527145e-11,0.9999999999821556,0.9999999999854693
1.9952623149688786e-08,0.0009745946237364562,0.9990254051940876,3.977860140466673e-16,0.0,3.628431659933896e-11,1.4589143871862315e-10,0.9999999998178241,0.9999999998541086
2.2387211385683378e-08,0.0020580498783157623,0.9979419486357781,8.610589633380501e-15,0.0,3.1552250505549715e-10,1.1703750340030089e-09,0.9999999985140939,0.999999998829625
2.511886431509582e-08,0.00401079369388847,0.9959891964074215,1.3573791777094213e-13,0.0,2.2317274738133425e-09,7.66682686923045e-09,0.9999999901013099,0.9999999923331732
2.818382931264455e-08,0.007275723367851034,0.9927242216938538,1.6250490042122253e-12,0.0,1.3101360736563663e-08,4.183530952487306e-08,0.9999999450617048,0.9999999581646905
3.162277660168379e-08,0.012380032601838755,0.9876197087881259,1.5340717375252588e-11,0.0,6.494359078055798e-08,1.9365110386960952e-07,0.9999997413899646,0.9999998063488962
3.548133892335753e-08,0.019894678147938372,0.9801042726340942,1.1792163240483297e-10,0.0,2.7594677408412305e-07,7.731532718079174e-07,0.9999989507820325,0.9999992268467282
3.981071705534969e-08,0.03037872528324264,0.9696175524638573,7.573869775558935e-10,0.0,1.018638344516982e-06,2.7028571686941363e-06,0.9999962777470999,0.9999972971428313
