structure,E_peak_keV,E_peak_L10,ratio_100_200_over_hi,ratio_L10,ratio_mid_over_hi,ratio_mid_L10,KL_vs_L10_ideal,N3sigma_ideal,KL_vs_L10_smeared,N3sigma_smeared
anapole_full,10,199,2.134,1.389,3.762,1.608,2.27,5.154,2.085,5.132
anapole_O9only,13,199,2.038,1.389,2.576,1.608,0.5249,41.21,0.486,43.17
O9_iso,13,199,2.066,1.389,2.687,1.608,0.4574,46.38,0.4267,48.34
O9_q2_iso,214,199,0.9584,1.389,1.037,1.608,0.08336,187.3,0.07769,199.8
O14_iso,13,199,2.153,1.389,2.83,1.608,0.5121,40.93,0.4785,42.62
edm_contact_q2,46,199,2.054,1.389,3.382,1.608,0.7094,28.28,0.5663,33.87
edm_contact_q0,19,199,3.734,1.389,18.21,1.608,2.181,3.223,2.091,3.462
edm_photon,1,199,7.186,1.389,173.2,1.608,4.454,1.975,3.478,1.618
AV_heavy_F1only,10,199,9.524,1.389,60.23,1.608,2.76,2.561,2.56,2.482
anapole_q2,211,199,0.9792,1.389,1.146,1.608,0.05082,372.1,0.0383,485
