structure,m_GeV,coupling,unit,R_lo,R_mid,R_100_200,R_hi,R_roi,N_lo_per_hi,N_mid_per_hi,ratio_100_200_over_hi,f_lo,f_hi,f_edge_270_330,f_raw_above270,rho_248_per_roi_event,N_roi_unit,N_hi_unit,g_1roi,g_1roi_lo68,g_1roi_up68,g_1hi,Z_pred_P016,N2024_lo_if_1hi,N2024_lo_if_1roi,g_max_2024_tol3,g_max_2024_tol5,dRdE_20,dRdE_248,E_peak_keV,A_1roi_GeV2,A_1roi_efm2,Lambda_1roi_GeV,A_1hi_GeV2,A_max_2024_tol3_GeV2,A_max_2024_tol5_GeV2,dE_1roi_GeV1,dE_1roi_ecm,dE_1hi_ecm,dE_max_2024_tol3_ecm,dE_max_2024_tol5_ecm,dE_over_M2_1roi_GeV3,dE_for_M1TeV_1roi_ecm
anapole_full,200,A,GeV^-2,1.7018e+11,1.5031e+10,7.0322e+09,2.0638e+09,2.0232e+11,82.461,7.2832,3.4074,0.84117,0.010201,0.00018224,0.0019619,0.00010645,5.7458e+11,5.8612e+09,1.3192e-06,7.2258e-07,2.0438e-06,1.3062e-05,2.2662,121.95,1.244,2.0487e-06,2.6449e-06,5.5787e+09,2.2471e+07,10,1.3192e-06,5.1369e-08,870.64,1.3062e-05,2.0487e-06,2.6449e-06,,,,,,,
anapole_full,1000,A,GeV^-2,3.759e+10,5.2545e+09,2.9816e+09,1.3969e+09,4.733e+10,26.91,3.7616,2.1345,0.79422,0.029514,0.00071588,0.0092215,0.0003489,1.3442e+11,3.9671e+09,2.7276e-06,1.4939e-06,4.2255e-06,1.5877e-05,2.7126,39.797,1.1746,4.3591e-06,5.6276e-06,1.2237e+09,1.7312e+07,10,2.7276e-06,1.0621e-07,605.5,1.5877e-05,4.3591e-06,5.6276e-06,,,,,,,
anapole_full,4000,A,GeV^-2,9.5375e+09,1.4263e+09,8.2876e+08,4.1311e+08,1.2153e+10,23.087,3.4526,2.0062,0.78479,0.033993,0.00085724,0.011303,0.00040828,3.4514e+10,1.1732e+09,5.3827e-06,2.9482e-06,8.3389e-06,2.9195e-05,2.7613,34.143,1.1606,8.654e-06,1.1172e-05,3.1009e+08,5.2055e+06,10,5.3827e-06,2.0959e-07,431.02,2.9195e-05,8.654e-06,1.1172e-05,,,,,,,
anapole_O8only,1000,A,GeV^-2,3.678e+10,2.0871e+09,2.4689e+08,2.9096e+07,4.1876e+10,1264.1,71.732,8.4853,0.87832,0.00069481,3.78e-06,4.6886e-05,4.4539e-06,1.1893e+11,8.2632e+07,2.8997e-06,1.5883e-06,4.4922e-06,0.00011001,0.85548,1869.5,1.2989,4.4068e-06,5.6892e-06,1.1682e+09,1.8974e+05,10,2.8997e-06,1.1291e-07,587.25,0.00011001,4.4068e-06,5.6892e-06,,,,,,,
anapole_O9only,1000,A,GeV^-2,3.3707e+09,3.9111e+09,3.0942e+09,1.5184e+09,8.9443e+09,2.2199,2.5758,2.0378,0.37686,0.16977,0.0042085,0.06035,0.0020239,2.5402e+10,4.3124e+09,6.2743e-06,3.4366e-06,9.7202e-06,1.5228e-05,3.1104,3.2829,0.55732,1.4557e-05,1.8793e-05,1.2982e+08,1.8983e+07,13,6.2743e-06,2.4431e-07,399.22,1.5228e-05,1.4557e-05,1.8793e-05,,,,,,,
anapole_flipsign,1000,A,GeV^-2,4.2719e+10,6.7481e+09,3.7008e+09,1.6982e+09,5.4334e+10,25.155,3.9737,2.1793,0.78622,0.031255,0.0007678,0.0099358,0.00036927,1.5431e+11,4.8229e+09,2.5457e-06,1.3943e-06,3.9437e-06,1.4399e-05,2.7341,37.201,1.1627,4.0891e-06,5.279e-06,1.3724e+09,2.1033e+07,10,2.5457e-06,9.9123e-08,626.76,1.4399e-05,4.0891e-06,5.279e-06,,,,,,,
AV_heavy_F1only,1000,A_c,GeV^-2,3.6893e+10,2.3486e+09,3.7141e+08,3.8995e+07,4.2261e+10,946.09,60.228,9.5243,0.87299,0.00092273,5.778e-06,5.4082e-05,6.3399e-06,1.2002e+11,1.1075e+08,2.8865e-06,1.581e-06,4.4717e-06,9.5024e-05,0.99534,1399.1,1.291,4.4001e-06,5.6805e-06,1.1702e+09,2.7406e+05,10,2.8865e-06,1.1239e-07,588.59,9.5024e-05,4.4001e-06,5.6805e-06,,,,,,,
anapole_q2,1000,A_8,GeV^-2,0.00033774,0.0013386,0.0011438,0.0011682,0.0028856,0.28912,1.1459,0.97916,0.11705,0.40483,0.013993,0.21147,0.0055531,0.008195,0.0033176,11.047,6.0504,17.113,17.362,3.3326,0.42757,0.17309,45.988,59.37,7.189e-06,1.6872e-05,211,11.047,0.43013,0.30088,17.362,45.988,59.37,,,,,,,
edm_photon,200,d_E,GeV^-1,4.1284e+19,3.0994e+17,8.0192e+15,7.6259e+14,6.0677e+19,54136,406.43,10.516,0.68038,1.2568e-05,1.4145e-08,5.3957e-08,5.377e-08,1.7232e+20,2.1658e+15,7.6178e-11,4.1724e-11,1.1801e-10,2.1488e-08,0,80060,1.0062,1.3154e-10,1.6981e-10,1.0242e+18,3.2202e+12,1,,,,,,,7.6178e-11,1.5032e-24,4.2402e-22,2.5956e-24,3.3509e-24,,
edm_photon,1000,d_E,GeV^-1,8.779e+18,8.3972e+16,3.4849e+15,4.8493e+14,1.2726e+19,18104,173.16,7.1863,0.68983,3.8105e-05,6.1487e-08,2.9218e-07,1.9503e-07,3.6142e+19,1.3772e+15,1.6634e-10,9.1107e-11,2.5769e-10,2.6946e-08,0,26773,1.0202,2.8524e-10,3.6825e-10,2.2145e+17,2.4854e+12,1,,,,,,,1.6634e-10,3.2823e-24,5.3173e-22,5.6286e-24,7.2665e-24,,
