mu,FC,asym,cowan,flipflop_classical,baxter_FC_UL_below_3sigma,flipflop_FC_vs_1sidedUL
0.0,0.9994301624191388,0.9994301624191388,0.9994301624191388,0.9994301624191388,0.9994301624191388,0.9994301624191388
0.01,0.9894856661469725,0.9894856661469725,0.9894856661469725,0.9894856661469725,0.9894856661469725,0.9894856661469725
0.02,0.9796401192659949,0.9796401192659949,0.9796401192659949,0.9796401192659949,0.9796401192659949,0.9796401192659949
0.03,0.9698925372133135,0.9698925372133135,0.9698925372133135,0.9698925372133135,0.9698925372133135,0.9698925372133135
0.04,0.9602419452225998,0.9602419452225998,0.9602419452225998,0.9602419452225998,0.9602419452225998,0.9602419452225998
0.05,0.9506873782266126,0.9506873782266126,0.9506873782266126,0.9506873782266126,0.9506873782266126,0.9506873782266126
0.06,0.9412278807606903,0.9412278807606903,0.9412278807606903,0.9982380534983654,0.9412278807606903,0.9412278807606903
0.07,0.9318625068672032,0.9318625068672032,0.9318625068672032,0.9976240439768217,0.9318625068672032,0.9318625068672032
0.08,0.9225903200009575,0.9225903200009575,0.9225903200009575,0.9969234220834347,0.9225903200009575,0.9225903200009575
0.09,0.9134103929355397,0.9134103929355397,0.9134103929355397,0.9961379722237116,0.9134103929355397,0.9134103929355397
0.1,0.9043218076705933,0.9043218076705933,0.9043218076705933,0.995269451868025,0.9043218076705933,0.9043218076705933
0.11,0.994319591910964,0.994319591910964,0.8953236553400181,0.994319591910964,0.994319591910964,0.994319591910964
0.12,0.9932900970262012,0.9932900970262012,0.8864150361210823,0.9932900970262012,0.9932900970262012,0.9932900970262012
0.13,0.99218264601693,0.99218264601693,0.8775950591444404,0.99218264601693,0.99218264601693,0.99218264601693
0.14,0.9909988921619216,0.9909988921619216,0.8688628424050445,0.9909988921619216,0.9909988921619216,0.9909988921619216
0.15,0.9897404635572595,0.9897404635572595,0.8602175126739439,0.9897404635572595,0.9897404635572595,0.9897404635572595
0.16,0.988408963453799,0.988408963453799,0.851658205410961,0.988408963453799,0.988408963453799,0.988408963453799
0.17,0.9870059705904037,0.9870059705904037,0.8431840646782368,0.9870059705904037,0.9870059705904037,0.9870059705904037
0.18,0.9855330395230117,0.9855330395230117,0.9855330395230117,0.9855330395230117,0.9855330395230117,0.9855330395230117
0.19,0.9839917009495801,0.9839917009495801,0.9839917009495801,0.9839917009495801,0.9839917009495801,0.9839917009495801
0.2,0.9823834620309556,0.9823834620309556,0.9823834620309556,0.9823834620309556,0.9823834620309556,0.9823834620309556
0.21,0.9807098067077236,0.9807098067077236,0.9807098067077236,0.9807098067077236,0.9807098067077236,0.9807098067077236
0.22,0.9789721960130808,0.9789721960130808,0.9789721960130808,0.9789721960130808,0.9789721960130808,0.9789721960130808
0.23,0.9771720683817824,0.9771720683817824,0.9771720683817824,0.9771720683817824,0.9771720683817824,0.9771720683817824
0.24,0.975310839955206,0.975310839955206,0.975310839955206,0.975310839955206,0.975310839955206,0.975310839955206
0.25,0.9733899048825853,0.9733899048825853,0.9733899048825853,0.9733899048825853,0.9733899048825853,0.9733899048825853
0.26,0.9714106356184539,0.9714106356184539,0.9714106356184539,0.9714106356184539,0.9714106356184539,0.9714106356184539
0.27,0.9693743832163492,0.9693743832163492,0.9693743832163492,0.9693743832163492,0.9693743832163492,0.9693743832163492
0.28,0.9672824776188172,0.9672824776188172,0.9672824776188172,0.9672824776188172,0.9672824776188172,0.9672824776188172
0.29,0.9651362279437671,0.9651362279437671,0.9651362279437671,0.9651362279437671,0.9651362279437671,0.9651362279437671
0.3,0.9629369227672158,0.9629369227672158,0.9629369227672158,0.9629369227672158,0.9629369227672158,0.9629369227672158
0.31,0.9606858304024679,0.9606858304024679,0.9606858304024679,0.9606858304024679,0.9606858304024679,0.9606858304024679
0.32,0.9583841991757753,0.9583841991757753,0.9583841991757753,0.9583841991757753,0.9583841991757753,0.9583841991757753
0.33,0.9560332576985144,0.9560332576985144,0.9560332576985144,0.9560332576985144,0.9560332576985144,0.9560332576985144
0.34,0.9536342151359274,0.9536342151359274,0.9536342151359274,0.9536342151359274,0.9536342151359274,0.9536342151359274
0.35000000000000003,0.9511882614724673,0.9511882614724673,0.9511882614724673,0.9511882614724673,0.9511882614724673,0.9511882614724673
0.36,0.9486965677737881,0.9486965677737881,0.9486965677737881,0.9940234265485708,0.9486965677737881,0.9486965677737881
0.37,0.9461602864454189,0.9461602864454189,0.9461602864454189,0.9935598140254323,0.9461602864454189,0.9461602864454189
0.38,0.943580551488165,0.943580551488165,0.943580551488165,0.993075360624651,0.943580551488165,0.943580551488165
0.39,0.940958478750273,0.940958478750273,0.940958478750273,0.9925698469212313,0.940958478750273,0.940958478750273
0.4,0.9382951661764,0.9382951661764,0.9382951661764,0.9920430666869421,0.9382951661764,0.9382951661764
0.41000000000000003,0.9355916940534252,0.9355916940534252,0.9355916940534252,0.991494826582092,0.9355916940534252,0.9355916940534252
0.42,0.9328491252531435,0.9328491252531435,0.9328491252531435,0.9909249458527994,0.9328491252531435,0.9328491252531435
0.43,0.9300685054718761,0.9300685054718761,0.9300685054718761,0.9903332560336766,0.9300685054718761,0.9300685054718761
0.44,0.9272508634670378,0.9272508634670378,0.9272508634670378,0.9897196006558378,0.9272508634670378,0.9272508634670378
0.45,0.9243972112906971,0.9243972112906971,0.9243972112906971,0.9890838349601554,0.9243972112906971,0.9243972112906971
0.46,0.9215085445201644,0.9215085445201644,0.9215085445201644,0.9884258256156748,0.9215085445201644,0.9215085445201644
0.47000000000000003,0.9185858424856477,0.9185858424856477,0.9185858424856477,0.9877454504431145,0.9185858424856477,0.9185858424856477
0.48,0.9156300684950058,0.9870425981433639,0.9156300684950058,0.9870425981433639,0.9156300684950058,0.9156300684950058
0.49,0.9126421700556396,0.9863171680309086,0.9126421700556396,0.9863171680309086,0.9126421700556396,0.9126421700556396
0.5,0.9096230790935539,0.9855690697720995,0.9096230790935539,0.9855690697720995,0.9096230790935539,0.9096230790935539
0.51,0.9065737121696225,0.9847982231281922,0.9065737121696225,0.9847982231281922,0.9065737121696225,0.9065737121696225
0.52,0.9034949706930946,0.9840045577030828,0.9034949706930946,0.9840045577030828,0.9034949706930946,0.9034949706930946
0.53,0.9003877411323712,0.9831880126956621,0.9003877411323712,0.9831880126956621,0.9003877411323712,0.9003877411323712
0.54,0.9823485366567202,0.9823485366567202,0.8972528952230892,0.9823485366567202,0.9823485366567202,0.9823485366567202
0.55,0.981486087250325,0.981486087250325,0.8940912901735418,0.981486087250325,0.981486087250325,0.981486087250325
0.56,0.9806006310196075,0.9806006310196075,0.9806006310196075,0.9806006310196075,0.9806006310196075,0.9806006310196075
0.5700000000000001,0.9796921431568818,0.9796921431568818,0.9796921431568818,0.9796921431568818,0.9796921431568818,0.9796921431568818
0.58,0.9787606072780308,0.9787606072780308,0.9787606072780308,0.9787606072780308,0.9787606072780308,0.9787606072780308
0.59,0.9778060152010929,0.9778060152010929,0.9778060152010929,0.9778060152010929,0.9778060152010929,0.9778060152010929
0.6,0.9768283667289769,0.9768283667289769,0.9768283667289769,0.9768283667289769,0.9768283667289769,0.9768283667289769
0.61,0.9758276694362464,0.9758276694362464,0.9758276694362464,0.9758276694362464,0.9758276694362464,0.9758276694362464
0.62,0.9748039384599039,0.9748039384599039,0.9748039384599039,0.9748039384599039,0.9748039384599039,0.9748039384599039
0.63,0.9737571962941107,0.9737571962941107,0.9737571962941107,0.9737571962941107,0.9737571962941107,0.9737571962941107
