mu,FC,asym,cowan,flipflop_classical,baxter_FC_UL_below_3sigma,flipflop_FC_vs_1sidedUL
0.0,0.9196986029286058,0.9810118431238463,0.9196986029286058,0.9994058151824183,0.9994058151824183,0.9994058151824183
0.01,0.9178500394692173,0.9803925692811373,0.9178500394692173,0.999374539791704,0.999374539791704,0.999374539791704
0.02,0.9159832670276535,0.9797609729061856,0.9159832670276535,0.9993420041650125,0.9993420041650125,0.9993420041650125
0.03,0.9140984721892735,0.9791169963562474,0.9140984721892735,0.9993081739436803,0.9993081739436803,0.9993081739436803
0.04,0.9121958431992199,0.9784605844270334,0.9121958431992199,0.9992730143518651,0.9992730143518651,0.9992730143518651
0.05,0.9102755698753928,0.9777916843445263,0.9102755698753928,0.9992364902027848,0.9992364902027848,0.9992364902027848
0.06,0.9083378435233446,0.9771102457560219,0.9083378435233446,0.9991985659051131,0.9991985659051131,0.9991985659051131
0.07,0.9063828568530615,0.9764162207204223,0.9063828568530615,0.9991592054695284,0.9991592054695284,0.9991592054695284
0.08,0.904410803897602,0.9757095636978083,0.904410803897602,0.9991183725154119,0.9991183725154119,0.9991183725154119
0.09,0.9024218799335576,0.9749902315383139,0.9024218799335576,0.9990760302776905,0.9990760302776905,0.9990760302776905
0.1,0.9004162814033052,0.9742581834703292,0.9004162814033052,0.9990321416138158,0.9990321416138158,0.9990321416138158
0.11,0.9735133810880561,0.9735133810880561,0.8983942058390191,0.9989866690108807,0.9989866690108807,0.9989866690108807
0.12,0.9727557883384403,0.9727557883384403,0.896355851788414,0.9989395745928654,0.9989395745928654,0.9989395745928654
0.13,0.9719853715075027,0.9719853715075027,0.8943014187421862,0.9988908201280063,0.9988908201280063,0.9988908201280063
0.14,0.9712020992060937,0.9712020992060937,0.8922311070631247,0.99884036703629,0.99884036703629,0.99884036703629
0.15,0.9704059423550913,0.9704059423550913,0.8901451179168633,0.9987881763970596,0.9987881763970596,0.9987881763970596
0.16,0.9695968741700668,0.9695968741700668,0.8880436532042443,0.9987342089567358,0.9987342089567358,0.9987342089567358
0.17,0.9687748701454366,0.9687748701454366,0.8859269154952637,0.9986784251366433,0.9986784251366433,0.9986784251366433
0.18,0.9679399080381227,0.9679399080381227,0.8837951079645737,0.9986207850409401,0.9986207850409401,0.9986207850409401
0.19,0.9670919678507421,0.9670919678507421,0.8816484343285117,0.9985612484646472,0.9985612484646472,0.9985612484646472
0.2,0.9662310318143444,0.9662310318143444,0.8794870987836302,0.9984997749017701,0.9984997749017701,0.9984997749017701
0.21,0.9653570843707153,0.9653570843707153,0.8773113059467003,0.9984363235535099,0.9984363235535099,0.9984363235535099
0.22,0.9644701121542691,0.9644701121542691,0.8751212607961629,0.9983708533365618,0.9983708533365618,0.9983708533365618
0.23,0.9635701039735439,0.9635701039735439,0.8729171686150026,0.9983033228914922,0.9983033228914922,0.9983033228914922
0.24,0.9626570507923197,0.9626570507923197,0.8706992349350156,0.9982336905911935,0.9982336905911935,0.9982336905911935
0.25,0.9617309457103778,0.9617309457103778,0.8684676654824512,0.9981619145494115,0.9981619145494115,0.9981619145494115
0.26,0.9607917839439162,0.9607917839439162,0.8662226661249988,0.9980879526293409,0.9980879526293409,0.9980879526293409
0.27,0.9598395628056402,0.9598395628056402,0.8639644428200963,0.9980117624522845,0.9980117624522845,0.9980117624522845
0.28,0.9588742816845421,0.9588742816845421,0.8616932015645393,0.9979333014063736,0.9979333014063736,0.9979333014063736
0.29,0.9578959420253875,0.9578959420253875,0.9578959420253875,0.9978525266553425,0.9978525266553425,0.9978525266553425
0.3,0.9569045473079238,0.9569045473079238,0.9569045473079238,0.9977693951473571,0.9977693951473571,0.9977693951473571
0.31,0.9559001030258251,0.9559001030258251,0.9559001030258251,0.9976838636238902,0.9976838636238902,0.9976838636238902
0.32,0.9548826166653872,0.9548826166653872,0.9548826166653872,0.9975958886286407,0.9975958886286407,0.9975958886286407
0.33,0.9538520976839915,0.9538520976839915,0.9538520976839915,0.9975054265164942,0.9975054265164942,0.9975054265164942
0.34,0.9528085574883457,0.9528085574883457,0.9528085574883457,0.9974124334625194,0.9974124334625194,0.9974124334625194
0.35000000000000003,0.9517520094125197,0.9517520094125197,0.9517520094125197,0.9973168654709962,0.9973168654709962,0.9973168654709962
0.36,0.9506824686957877,0.9506824686957877,0.9506824686957877,0.9972186783844746,0.9972186783844746,0.9972186783844746
0.37,0.9495999524602907,0.9495999524602907,0.9495999524602907,0.9971178278928581,0.9971178278928581,0.9971178278928581
0.38,0.9485044796885307,0.9485044796885307,0.9485044796885307,0.9970142695425073,0.9970142695425073,0.9970142695425073
0.39,0.9473960712007095,0.9473960712007095,0.9473960712007095,0.9969079587453642,0.9969079587453642,0.9969079587453642
0.4,0.9462747496319247,0.9462747496319247,0.9462747496319247,0.9967988507880887,0.9967988507880887,0.9967988507880887
0.41000000000000003,0.9451405394092344,0.9451405394092344,0.9451405394092344,0.9966869008412084,0.9966869008412084,0.9966869008412084
0.42,0.9439934667286006,0.9439934667286006,0.9439934667286006,0.9965720639682745,0.9965720639682745,0.9965720639682745
0.43,0.9428335595317241,0.9428335595317241,0.9428335595317241,0.9964542951350225,0.9964542951350225,0.9964542951350225
0.44,0.9416608474827806,0.9416608474827806,0.9416608474827806,0.9963335492185352,0.9963335492185352,0.9963335492185352
0.45,0.9404753619450681,0.9404753619450681,0.9404753619450681,0.9962097810164007,0.9962097810164007,0.9962097810164007
0.46,0.9392771359575791,0.9392771359575791,0.9392771359575791,0.9960829452558693,0.9960829452558693,0.9960829452558693
0.47000000000000003,0.9380662042115017,0.9380662042115017,0.9380662042115017,0.9959529966029982,0.9959529966029982,0.9959529966029982
0.48,0.9368426030266636,0.9368426030266636,0.9368426030266636,0.9958198896717865,0.9958198896717865,0.9958198896717865
0.49,0.9356063703279283,0.9356063703279283,0.9356063703279283,0.9956835790332955,0.9956835790332955,0.9956835790332955
0.5,0.9343575456215498,0.9343575456215498,0.9343575456215498,0.9955440192247521,0.9955440192247521,0.9955440192247521
0.51,0.9330961699714982,0.9330961699714982,0.9330961699714982,0.9954011647586304,0.9954011647586304,0.9954011647586304
0.52,0.9318222859757603,0.9318222859757603,0.9318222859757603,0.9952549701317112,0.9952549701317112,0.9952549701317112
0.53,0.9305359377426289,0.9305359377426289,0.9305359377426289,0.9951053898341156,0.9951053898341156,0.9951053898341156
0.54,0.9292371708669844,0.9292371708669844,0.9292371708669844,0.9949523783583093,0.9949523783583093,0.9949523783583093
0.55,0.9279260324065803,0.9789717253848219,0.9279260324065803,0.9947958902080768,0.9947958902080768,0.9947958902080768
0.56,0.9266025708583353,0.9784572271457773,0.9266025708583353,0.9946358799074593,0.9946358799074593,0.9946358799074593
0.5700000000000001,0.9252668361346453,0.9779346183835135,0.9252668361346453,0.9944723020096581,0.9944723020096581,0.9944723020096581
0.58,0.9239188795397183,0.9774038579334727,0.9239188795397183,0.9943051111058991,0.9943051111058991,0.9943051111058991
0.59,0.9225587537459405,0.9768649055580144,0.9225587537459405,0.9941342618342539,0.9941342618342539,0.9941342618342539
0.6,0.9211865127702812,0.9763177219506884,0.9211865127702812,0.9939597088884188,0.9939597088884188,0.9939597088884188
0.61,0.9198022119507403,0.9757622687402304,0.9198022119507403,0.9937814070264462,0.9937814070264462,0.9937814070264462
0.62,0.91840590792285,0.9751985084942855,0.91840590792285,0.9935993110794306,0.9935993110794306,0.9935993110794306
0.63,0.9169976585962294,0.9746264047228571,0.9169976585962294,0.9934133759601378,0.9934133759601378,0.9934133759601378
0.64,0.9155775231312053,0.9740459218814936,0.9155775231312053,0.9932235566715882,0.9932235566715882,0.9932235566715882
0.65,0.9141455619155008,0.9734570253742073,0.9141455619155008,0.9930298083155805,0.9930298083155805,0.9930298083155805
0.66,0.9127018365409971,0.9728596815561343,0.9127018365409971,0.9928320861011599,0.9928320861011599,0.9928320861011599
0.67,0.9112464097805768,0.9722538577359363,0.9112464097805768,0.9926303453530264,0.9926303453530264,0.9926303453530264
0.68,0.9097793455650507,0.9716395221779497,0.9097793455650507,0.9924245415198838,0.9924245415198838,0.9924245415198838
0.6900000000000001,0.9083007089601756,0.9710166441040831,0.9083007089601756,0.9922146301827238,0.9922146301827238,0.9922146301827238
0.7000000000000001,0.9068105661437659,0.9703851936954677,0.9068105661437659,0.9920005670630464,0.9920005670630464,0.9920005670630464
0.71,0.9053089843829063,0.9697451420938658,0.9053089843829063,0.9917823080310139,0.9917823080310139,0.9917823080310139
0.72,0.903796032011266,0.9690964614028352,0.903796032011266,0.991559809113535,0.991559809113535,0.991559809113535
0.73,0.9022717784065244,0.9684391246886614,0.9022717784065244,0.9913330265022808,0.9913330265022808,0.9913330265022808
0.74,0.9007362939679069,0.9677731059810535,0.9007362939679069,0.9911019165616285,0.9911019165616285,0.9911019165616285
0.75,0.9670983802736116,0.9670983802736116,0.8991896500938397,0.9908664358365318,0.9908664358365318,0.9908664358365318
0.76,0.9664149235240663,0.9664149235240663,0.8976319191597228,0.9906265410603152,0.9906265410603152,0.9906265410603152
0.77,0.9657227126542964,0.9657227126542964,0.8960631744958286,0.9903821891623941,0.9903821891623941,0.9903821891623941
0.78,0.9650217255501286,0.9650217255501286,0.8944834903653305,0.9901333372759167,0.9901333372759167,0.9901333372759167
0.79,0.9643119410609176,0.9643119410609176,0.9643119410609176,0.9898799427453259,0.9898799427453259,0.9898799427453259
0.8,0.9635933389989167,0.9635933389989167,0.9635933389989167,0.9896219631338407,0.9896219631338407,0.9896219631338407
0.81,0.9628659001384379,0.9628659001384379,0.9628659001384379,0.9893593562308565,0.9893593562308565,0.9893593562308565
0.8200000000000001,0.9621296062148084,0.9621296062148084,0.9621296062148084,0.9890920800592639,0.9890920800592639,0.9890920800592639
0.8300000000000001,0.9613844399231206,0.9613844399231206,0.9613844399231206,0.9888200928826781,0.9888200928826781,0.9888200928826781
