region,b_region,ratio_fs_over_fb,beta,shat,asym_lo,asym_hi,FC_lo,FC_hi,Z_asym
NR band 5.4-270 keV (P008),2.92,100.0,0.0292,0.9708,0.07650929740728298,3.617354467230113,0.07616051565893757,4.328209151826977,2.2639728663161582
NR band 5.4-270 keV (P008),2.92,1000.0,0.00292,0.99708,0.10278929740728564,3.6436344672301124,0.10244051565893822,4.354489151826982,3.110977872856683
NR band 5.4-270 keV (P008),2.92,10000.0,0.000292,0.999708,0.10541729740728288,3.646262467230113,0.10506851565893793,4.357117151826978,3.7786369912168043
NR band 5.4-270 keV (P008),2.92,100000.0,2.9199999999999998e-05,0.9999708,0.10568009740728199,3.6465252672301123,0.10533131565893745,4.357379951826978,4.345427723179857
NR band 5.4-270 keV (P008),2.92,1000000.0,2.92e-06,0.99999708,0.10570637740728286,3.646551547230113,0.10535759565893749,4.357406231826982,4.846427521728574
science sample (Table I),1713.0,100.0,17.13,0.0,,,,,0.0
science sample (Table I),1713.0,1000.0,1.713,0.0,,,,,0.0
science sample (Table I),1713.0,10000.0,0.1713,0.8287,0.0,3.4752544672301124,0.0,4.186109151826976,1.3679465440228744
science sample (Table I),1713.0,100000.0,0.01713,0.98287,0.08857929740730455,3.6294244672301126,0.08823051565893819,4.34027915182698,2.483567581784763
science sample (Table I),1713.0,1000000.0,0.001713,0.998287,0.10399629740728343,3.6448414672301124,0.1036475156589377,4.3556961518269794,3.2775667985992762
