delta_keV,expo_Xe_tyr,expo_CaWO4_tyr,xe_window,mu_Xe,mu_W,p_W,sigma_delta_keV
300,10,0.01,Xe_LZ270,3.5211,0.043799,0.012286,259.55
300,10,0.01,Xe_5_1000,4.1304,0.043799,0.010493,307.17
300,10,0.03,Xe_LZ270,3.5211,0.1314,0.035975,151.68
300,10,0.03,Xe_5_1000,4.1304,0.1314,0.030832,179.2
300,10,0.1,Xe_LZ270,3.5211,0.43799,0.11063,86.495
300,10,0.1,Xe_5_1000,4.1304,0.43799,0.095875,101.62
300,10,0.3,Xe_LZ270,3.5211,1.314,0.27176,55.186
300,10,0.3,Xe_5_1000,4.1304,1.314,0.24135,64.048
300,10,1,Xe_LZ270,3.5211,4.3799,0.55435,38.64
300,10,1,Xe_5_1000,4.1304,4.3799,0.51466,43.86
300,20,0.01,Xe_LZ270,7.0423,0.043799,0.0061811,258.75
300,20,0.01,Xe_5_1000,8.2608,0.043799,0.0052741,306.36
300,20,0.03,Xe_LZ270,7.0423,0.1314,0.018317,150.31
300,20,0.03,Xe_5_1000,8.2608,0.1314,0.015657,177.81
300,20,0.1,Xe_LZ270,7.0423,0.43799,0.058554,84.068
300,20,0.1,Xe_5_1000,8.2608,0.43799,0.050351,99.154
300,20,0.3,Xe_LZ270,7.0423,1.314,0.15725,51.3
300,20,0.3,Xe_5_1000,8.2608,1.314,0.13723,60.06
300,20,1,Xe_LZ270,7.0423,4.3799,0.38346,32.851
300,20,1,Xe_5_1000,8.2608,4.3799,0.3465,37.798
300,30,0.01,Xe_LZ270,10.563,0.043799,0.0041292,258.48
300,30,0.01,Xe_5_1000,12.391,0.043799,0.0035223,306.1
300,30,0.03,Xe_LZ270,10.563,0.1314,0.012286,149.85
300,30,0.03,Xe_5_1000,12.391,0.1314,0.010493,177.35
300,30,0.1,Xe_LZ270,10.563,0.43799,0.039813,83.244
300,30,0.1,Xe_5_1000,12.391,0.43799,0.034141,98.318
300,30,0.3,Xe_LZ270,10.563,1.314,0.11063,49.938
300,30,0.3,Xe_5_1000,12.391,1.314,0.095875,58.67
300,30,1,Xe_LZ270,10.563,4.3799,0.2931,30.68
300,30,1,Xe_5_1000,12.391,4.3799,0.26116,35.548
300,50,0.01,Xe_LZ270,17.606,0.043799,0.0024816,258.27
300,50,0.01,Xe_5_1000,20.652,0.043799,0.0021164,305.88
300,50,0.03,Xe_LZ270,17.606,0.1314,0.0074081,149.48
300,50,0.03,Xe_5_1000,20.652,0.1314,0.0063223,176.97
300,50,0.1,Xe_LZ270,17.606,0.43799,0.024274,82.578
300,50,0.1,Xe_5_1000,20.652,0.43799,0.020768,97.644
300,50,0.3,Xe_LZ270,17.606,1.314,0.069451,48.82
300,50,0.3,Xe_5_1000,20.652,1.314,0.059819,57.534
300,50,1,Xe_LZ270,17.606,4.3799,0.19922,28.825
300,50,1,Xe_5_1000,20.652,4.3799,0.17497,33.64
330,10,0.01,Xe_LZ270,3.5211,0.10899,0.030023,64.685
330,10,0.01,Xe_5_1000,4.9482,0.10899,0.021551,85.258
330,10,0.03,Xe_LZ270,3.5211,0.32696,0.084967,38.451
330,10,0.03,Xe_5_1000,4.9482,0.32696,0.061981,50.273
330,10,0.1,Xe_LZ270,3.5211,1.0899,0.23636,23.054
330,10,0.1,Xe_5_1000,4.9482,1.0899,0.1805,29.46
330,10,0.3,Xe_LZ270,3.5211,3.2696,0.48148,16.152
330,10,0.3,Xe_5_1000,4.9482,3.2696,0.39787,19.843
330,10,1,Xe_LZ270,3.5211,10.899,0.75581,12.892
330,10,1,Xe_5_1000,4.9482,10.899,0.68775,15.092
330,20,0.01,Xe_LZ270,7.0423,0.10899,0.01524,64.197
330,20,0.01,Xe_5_1000,9.8963,0.10899,0.010893,84.797
330,20,0.03,Xe_LZ270,7.0423,0.32696,0.044368,37.625
330,20,0.03,Xe_5_1000,9.8963,0.32696,0.031982,49.488
330,20,0.1,Xe_LZ270,7.0423,1.0899,0.13402,21.648
330,20,0.1,Xe_5_1000,9.8963,1.0899,0.099203,28.099
330,20,0.3,Xe_LZ270,7.0423,3.2696,0.31707,14.075
330,20,0.3,Xe_5_1000,9.8963,3.2696,0.24834,17.759
330,20,1,Xe_LZ270,7.0423,10.899,0.60748,10.168
330,20,1,Xe_5_1000,9.8963,10.899,0.5241,12.225
330,30,0.01,Xe_LZ270,10.563,0.10899,0.010212,64.034
330,30,0.01,Xe_5_1000,14.844,0.10899,0.0072884,84.643
330,30,0.03,Xe_LZ270,10.563,0.32696,0.030023,37.346
330,30,0.03,Xe_5_1000,14.844,0.32696,0.021551,49.224
330,30,0.1,Xe_LZ270,10.563,1.0899,0.093525,21.159
330,30,0.1,Xe_5_1000,14.844,1.0899,0.068397,27.63
330,30,0.3,Xe_LZ270,10.563,3.2696,0.23636,13.31
330,30,0.3,Xe_5_1000,14.844,3.2696,0.1805,17.009
330,30,1,Xe_LZ270,10.563,10.899,0.50781,9.0806
330,30,1,Xe_5_1000,14.844,10.899,0.42336,11.106
330,50,0.01,Xe_LZ270,17.606,0.10899,0.0061524,63.903
330,50,0.01,Xe_5_1000,24.741,0.10899,0.0043858,84.519
330,50,0.03,Xe_LZ270,17.606,0.32696,0.018233,37.121
330,50,0.03,Xe_5_1000,24.741,0.32696,0.013043,49.011
330,50,0.1,Xe_LZ270,17.606,1.0899,0.058296,20.76
330,50,0.1,Xe_5_1000,24.741,1.0899,0.042193,27.25
330,50,0.3,Xe_LZ270,17.606,3.2696,0.15663,12.665
330,50,0.3,Xe_5_1000,24.741,3.2696,0.11673,16.383
330,50,1,Xe_LZ270,17.606,10.899,0.38235,8.1061
330,50,1,Xe_5_1000,24.741,10.899,0.3058,10.122
350,10,0.01,Xe_LZ270,3.5211,0.41213,0.10478,18.115
350,10,0.01,Xe_5_1000,7.5839,0.41213,0.051542,29.233
350,10,0.03,Xe_LZ270,3.5211,1.2364,0.25988,11.502
350,10,0.03,Xe_5_1000,7.5839,1.2364,0.14018,17.726
350,10,0.1,Xe_LZ270,3.5211,4.1213,0.53927,7.985
350,10,0.1,Xe_5_1000,7.5839,4.1213,0.35209,11.185
350,10,0.3,Xe_LZ270,3.5211,12.364,0.77834,6.6465
350,10,0.3,Xe_5_1000,7.5839,12.364,0.61982,8.4298
350,10,1,Xe_LZ270,3.5211,41.213,0.92129,6.1091
