delta_keV,kappa_hat_LZ,Xe_full_annual,Xe_LZ270_annual,Xe_5_1000_annual,I_full_annual,I_5_1000_annual,W_full_annual,W_10_1300_annual,W_110_1300_annual,W_220_1300_annual,Ge_full_annual,Ge_1_1000_annual,Xe_full_june16,Xe_LZ270_june16,Xe_5_1000_june16,I_full_june16,I_5_1000_june16,W_full_june16,W_10_1300_june16,W_110_1300_june16,W_220_1300_june16,Ge_full_june16,Ge_1_1000_june16,W/Xe full,I/Xe full,Ge/Xe full,W(10-1300)/Xe(LZ270),W(10-1300)/Xe(5-1000),W(110-1300)/Xe(5-1000),I(5-1000)/Xe(5-1000),W/Xe full june16,W/Xe full vesc528,W/Xe full vesc560,W/Xe full v0=220,W/Xe full v0=250
250,9.55852e-06,41399.2,36837.6,39743.2,29075.3,29075.3,381849,381849,156955,37549.6,0,0,53068.4,47314.4,50945.7,38262.4,38262.4,449132,449132,180939,43086.7,0,0,9.22358,0.702314,0,10.3657,9.60789,3.94924,0.731577,8.46326,10.0911,8.48758,11.6718,7.9919
255,1.1635e-05,34238.8,30263.2,32869.3,23472.8,23472.8,335246,335246,142644,34925.2,0,0,43955.2,38918.1,42197,30903.1,30903.1,396031,396031,165072,40193.9,0,0,9.79141,0.68556,0,11.0777,10.1994,4.33975,0.714125,9.00988,10.6929,9.03151,12.3298,8.52681
260,1.41011e-05,28438.5,24970.5,27301,19075,19075,293882,293882,129357,32443.1,0,0,36605.6,32188.1,35141.4,25146.2,25146.2,348808,348808,150288,37450.6,0,0,10.3339,0.670744,0,11.7692,10.7645,4.73816,0.698692,9.52882,11.2909,9.55139,12.9848,9.03466
265,1.70601e-05,23663.1,20639.6,22716.6,15595.4,15595.4,257050,257050,117091,30073.3,0,0,30590.1,26714.2,29366.5,20618.9,20618.9,306657,306657,136594,34824.5,0,0,10.8629,0.659059,0,12.4542,11.3155,5.15441,0.68652,10.0247,11.8841,10.0456,13.666,9.51881
270,2.06263e-05,19704.2,17071.1,18916,12762.6,12762.6,224357,224357,105875,27882.5,0,0,25632.1,22231.4,24606.8,16963.2,16963.2,269129,269129,124027,32390,0,0,11.3863,0.64771,0,13.1425,11.8607,5.59712,0.674698,10.4997,12.5127,10.5283,14.3954,9.98093
275,2.50128e-05,16364.8,14077.3,15710.2,10450.6,10450.6,195191,195191,95477.7,25811.6,0,0,21471.4,18491.5,20612.6,14000.8,14000.8,235528,235528,112335,30082.4,0,0,11.9275,0.638603,0,13.8657,12.4245,6.07744,0.665212,10.9694,13.2196,10.9872,15.2156,10.4362
280,3.04796e-05,13532.8,11552.4,12991.5,8532.75,8532.75,169367,169367,85927.7,23834.5,0,0,17952.2,15346.8,17234.1,11559.7,11559.7,205652,205652,101556,27873.4,0,0,12.5152,0.630523,0,14.6607,13.0367,6.61414,0.656795,11.4555,14.0077,11.4689,16.1784,10.9049
285,3.73719e-05,11129.7,9421.86,10684.5,6913.68,6913.68,146564,146564,77213.3,22002.4,0,0,14966.1,12694.2,14367.4,9506.3,9506.3,179143,179143,91683.3,25820.3,0,0,13.1688,0.621194,0,15.5557,13.7175,7.22669,0.647077,11.97,14.9661,11.9718,17.3278,11.3988
290,4.62937e-05,9071.33,7606.06,8708.48,5564.39,5564.39,126424,126424,69261,20293.2,0,0,12399.7,10426.2,11903.8,7792.72,7792.72,155602,155602,82639.7,23899.6,0,0,13.9366,0.613404,0,16.6214,14.5173,7.95328,0.638963,12.5488,16.1287,12.5251,18.7613,11.9522
295,5.79956e-05,7321.71,6071.37,7028.84,4406.38,4406.38,108599,108599,61916,18641.6,0,0,10202.1,8494.73,9794.02,6313.37,6313.37,134643,134643,74254.3,22038.3,0,0,14.8324,0.601825,0,17.887,15.4505,8.80885,0.626901,13.1975,17.5904,13.1473,20.5316,12.5705
300,7.37032e-05,5837.59,4777.44,5604.08,3449.86,3449.86,93072.6,93072.6,55292.4,17142,0,0,8316.56,6846.75,7983.9,5076.5,5076.5,116263,116263,66661.5,20343.2,0,0,15.9437,0.590973,0,19.4817,16.608,9.86645,0.615597,13.9796,19.4469,13.8755,22.8327,13.3124
305,9.53393e-05,4585.68,3693.26,4402.26,2651.72,2651.72,79458,79458,49245.3,15734.4,0,0,6700.63,5442.49,6432.61,4025.77,4025.77,100028,100028,59700.5,18747.4,0,0,17.3274,0.578261,0,21.5143,18.0494,11.1864,0.602355,14.9281,21.8799,14.7493,25.8421,14.2084
310,0.000125741,3545.65,2800.3,3403.82,1992.15,1992.15,67609,67609,43754.1,14416.3,0,0,5330.9,4260.61,5117.66,3135.91,3135.91,85788.6,85788.6,53352.4,17248.5,0,0,19.0682,0.561859,0,24.1435,19.8627,12.8544,0.58527,16.0927,25.084,15.8078,29.8321,15.3034
315,0.000169594,2693.49,2076.21,2585.75,1460.57,1460.57,57330.7,57330.7,38768.1,13183.1,0,0,4180.58,3276.09,4013.35,2395.99,2395.99,73332.5,73332.5,47562.5,15841.7,0,0,21.2849,0.542258,0,27.6131,22.1718,14.993,0.564852,17.5412,29.3763,17.1127,35.2117,16.6576
320,0.000234864,2005.51,1499.22,1925.29,1042.19,1042.19,48512.6,48512.6,34256,12032.7,0,0,3224.33,2465.75,3095.36,1791.48,1791.48,62550.9,62550.9,42298.1,14525.1,0,0,24.1897,0.519662,0,32.3586,25.1976,17.7926,0.541315,19.3996,35.2649,18.7414,42.697,18.3831
325,0.000335493,1460.4,1049.54,1401.98,720.183,720.183,40926.6,40926.6,30187.5,10962.5,0,0,2440.17,1809.18,2342.57,1304.84,1304.84,53187.8,53187.8,37527.8,13296.3,0,0,28.0243,0.493142,0,38.9949,29.192,21.532,0.51369,21.7967,43.5345,20.8097,53.2799,20.5897
330,0.000495499,1040.23,710.622,998.621,480.753,480.753,34448.4,34448.4,26517.6,9967.58,0,0,1811.91,1291.56,1739.43,923.221,923.221,45115.1,45115.1,33202.1,12150,0,0,33.1161,0.46216,0,48.4764,34.496,26.5542,0.481417,24.8993,55.371,23.456,68.4565,23.4159
335,0.000762122,722.615,462.016,693.71,308.517,308.517,28941.6,28941.6,23225.1,9046.1,0,0,1315.92,891.481,1263.29,632.21,632.21,38182.8,38182.8,29299.5,11084.7,0,0,40.0511,0.426946,0,62.6419,41.7199,33.4795,0.444735,29.016,72.5885,26.8529,90.9488,27.1174
340,0.00122714,489.786,286.937,470.194,189.623,189.623,24278.3,24278.3,20273.4,8193.11,0,0,934.201,591.859,896.833,416.605,416.605,32252.7,32252.7,25779.5,10095,0,0,49.5693,0.387155,0,84.6123,51.6347,43.117,0.403287,34.5244,98.393,31.2836,124.742,31.9916
345,0.00208855,323.365,168.592,310.43,111.113,111.113,20360.5,20360.5,17644.4,7399.83,0,0,646.559,374.352,620.697,262.738,262.738,27219.6,27219.6,22624.8,9171.1,0,0,62.9645,0.343615,0,120.768,65.5881,56.8384,0.357932,42.0992,137.506,37.1759,177.084,38.5698
350,0.00378111,208.931,93.1241,200.574,61.7094,61.7094,17071,17071,15304.2,6670.57,0,0,437.775,224.192,420.264,157.573,157.573,22950.5,22950.5,19796.6,8318.45,0,0,81.7064,0.295358,0,183.314,85.1109,76.3021,0.307665,52.4253,198.521,44.9337,258.8,47.3489
355,0.00739951,131.592,47.586,126.328,32.5248,32.5248,14316.1,14316.1,13221.5,5996.18,0,0,288.775,124.8,277.224,89.891,89.891,19342.9,19342.9,17259.8,7526.75,0,0,108.792,0.247164,0,300.848,113.325,104.66,0.257463,66.9825,296.108,55.4939,393.05,59.435
360,0.0158389,81.2487,22.2309,77.9988,16.065,16.065,12021.4,12021.4,11381.2,5375.04,0,0,186.867,63.7912,179.393,48.1779,48.1779,16313.3,16313.3,14998.7,6794.45,0,0,147.957,0.197727,0,540.75,154.122,145.915,0.205965,87.2986,458.059,69.6198,620.744,75.909
365,0.0381748,48.9774,9.22368,47.0183,7.42791,7.42791,10107.7,10107.7,9762.01,4802.54,0,0,118.473,28.9704,113.735,24.2681,24.2681,13768.9,13768.9,12990.6,6116.45,0,0,206.375,0.15166,0,1095.84,214.974,207.622,0.157979,116.219,749.531,89.0451,1046.39,98.9175
370,0.106237,28.8255,3.31442,27.6725,3.07794,3.07794,8513.93,8513.93,8346.29,4279.07,0,0,73.9453,11.3869,70.9874,11.1786,11.1786,11636.7,11636.7,11215.2,5493.58,0,0,295.361,0.106778,0,2568.76,307.668,301.61,0.111228,157.37,1336,115.474,1952.93,131.044
375,0.356434,16.3659,0.987875,15.7112,1.00663,1.00663,7183.31,7183.31,7112.21,3798.18,0,0,45.0515,3.68002,43.2495,4.27525,4.27525,9850.55,9850.55,9647.92,4918.48,0,0,438.92,0.0615077,0,7271.48,457.209,452.683,0.0640706,218.651,2756,152.57,4294.09,177.167
