case,composition,R_win,ratio_win,R_roi,ratio_roi
O1_el,natural,38321,1,5.3342e+08,1
O1_el,136-depleted (0.1%),40832,1.0655,5.3378e+08,1.0007
O1_el,129-enriched 80%,53633,1.3996,5.355e+08,1.0039
O1_el,136-enriched 90%,15830,0.41309,5.3025e+08,0.99405
O1_el,134+136 enriched 90%,21204,0.55334,5.3031e+08,0.99416
O1_el,even-A only (idealised),26536,0.69246,5.3174e+08,0.99685
O4,natural,9.4826,1,666.86,1
O4,136-depleted (0.1%),10.429,1.0998,733.41,1.0998
O4,129-enriched 80%,16.119,1.6998,1200,1.7995
O4,136-enriched 90%,1.0089,0.10639,70.949,0.10639
O4,134+136 enriched 90%,1.1479,0.12106,80.727,0.12106
O4,even-A only (idealised),0.039795,0.0041967,2.7769,0.0041641
O6,natural,0.028156,1,0.18439,1
O6,136-depleted (0.1%),0.030965,1.0998,0.20279,1.0998
O6,129-enriched 80%,0.039024,1.386,0.19003,1.0306
O6,136-enriched 90%,0.0029956,0.10639,0.019618,0.10639
O6,134+136 enriched 90%,0.0034084,0.12106,0.022321,0.12106
O6,even-A only (idealised),0.00012105,0.0042992,0.00081411,0.0044152
O10,natural,1.6346,1,26.245,1
O10,136-depleted (0.1%),1.7977,1.0998,28.864,1.0998
O10,129-enriched 80%,2.2768,1.3929,30.108,1.1472
O10,136-enriched 90%,0.17391,0.10639,2.7923,0.10639
O10,134+136 enriched 90%,0.19788,0.12106,3.1771,0.12106
O10,even-A only (idealised),0.0070237,0.0042969,0.11488,0.0043771
L10,natural,0.015888,1,0.072739,1
L10,136-depleted (0.1%),0.017474,1.0998,0.079998,1.0998
L10,129-enriched 80%,0.034923,2.198,0.10703,1.4714
L10,136-enriched 90%,0.0016904,0.10639,0.0077389,0.10639
L10,134+136 enriched 90%,0.0019234,0.12106,0.0088055,0.12106
L10,even-A only (idealised),6.4095e-05,0.004034,0.00031069,0.0042713
O1_d300_jun,natural,289.72,1,6842,1
O1_d300_jun,136-depleted (0.1%),305.44,1.0543,6606.5,0.96558
O1_d300_jun,129-enriched 80%,378.43,1.3062,6169.2,0.90167
O1_d300_jun,136-enriched 90%,148.93,0.51406,8950.6,1.3082
O1_d300_jun,134+136 enriched 90%,189.16,0.65289,8747.5,1.2785
O1_d300_jun,even-A only (idealised),216.76,0.74817,7256.4,1.0606
O1_d350_jun,natural,30.634,1,223.21,1
O1_d350_jun,136-depleted (0.1%),31.696,1.0347,206.21,0.92382
O1_d350_jun,129-enriched 80%,35.563,1.1609,172.03,0.77072
O1_d350_jun,136-enriched 90%,21.128,0.6897,375.47,1.6821
O1_d350_jun,134+136 enriched 90%,25.099,0.81932,346.83,1.5538
O1_d350_jun,even-A only (idealised),25.73,0.83991,261.16,1.17
O1_d366_jun,natural,7.363,1,24.023,1
O1_d366_jun,136-depleted (0.1%),7.3597,0.99956,20.514,0.85394
O1_d366_jun,129-enriched 80%,6.9914,0.94954,14.587,0.60722
O1_d366_jun,136-enriched 90%,7.392,1.0039,55.443,2.3079
O1_d366_jun,134+136 enriched 90%,8.0808,1.0975,47.891,1.9936
O1_d366_jun,even-A only (idealised),7.2343,0.98253,31.789,1.3233
O1_d380_jun,natural,0.54614,1,0.81675,1
O1_d380_jun,136-depleted (0.1%),0.41835,0.76601,0.49296,0.60356
O1_d380_jun,129-enriched 80%,0.18863,0.34538,0.25789,0.31575
O1_d380_jun,136-enriched 90%,1.6905,3.0953,3.7163,4.5501
O1_d380_jun,134+136 enriched 90%,1.4621,2.6771,2.7122,3.3207
O1_d380_jun,even-A only (idealised),0.86367,1.5814,1.3853,1.6961
O1_d300_ann,natural,201.71,1,4421.4,1
O1_d300_ann,136-depleted (0.1%),212.31,1.0526,4252.7,0.96184
O1_d300_ann,129-enriched 80%,260.53,1.2916,3930.5,0.88896
O1_d300_ann,136-enriched 90%,106.77,0.52931,5932.2,1.3417
O1_d300_ann,134+136 enriched 90%,134.78,0.66816,5762.2,1.3032
O1_d300_ann,even-A only (idealised),152.7,0.75699,4736.3,1.0712
O1_d350_ann,natural,11.711,1,53.831,1
O1_d350_ann,136-depleted (0.1%),11.883,1.0147,47.206,0.87694
O1_d350_ann,129-enriched 80%,12.04,1.0281,35.13,0.65261
O1_d350_ann,136-enriched 90%,10.173,0.86872,113.15,2.102
O1_d350_ann,134+136 enriched 90%,11.532,0.98473,99.592,1.8501
O1_d350_ann,even-A only (idealised),10.86,0.92737,68.782,1.2777
O1_d366_ann,natural,0.87146,1,1.5733,1
O1_d366_ann,136-depleted (0.1%),0.72778,0.83513,1.0098,0.64183
O1_d366_ann,129-enriched 80%,0.34353,0.39419,0.52647,0.33463
O1_d366_ann,136-enriched 90%,2.1581,2.4764,6.6195,4.2074
O1_d366_ann,134+136 enriched 90%,1.9754,2.2667,4.9452,3.1432
O1_d366_ann,even-A only (idealised),1.2831,1.4724,2.6079,1.6576
