composition,H1,H2,rho_H1,rho_H2,D,N_tot_3sigma_free,exposure_per_det_free_tyr,N_tot_3sigma_fixed,exposure_per_det_fixed_tyr
136-depleted (0.1%),O1_d366_jun,L10,0.9996,1.1,0.9089,3944,5602,1909,2712
136-depleted (0.1%),O1_d380_jun,L10,0.766,1.1,0.6965,277.2,445.7,140.1,225.3
136-depleted (0.1%),O1_d350_jun,L10,1.035,1.1,0.9408,9666,1.349e+04,4652,6493
136-depleted (0.1%),O1_d300_jun,L10,1.054,1.1,0.9586,2.017e+04,2.788e+04,9675,1.338e+04
136-depleted (0.1%),O1_d366_jun,O6,0.9996,1.1,0.9089,3944,5602,1909,2712
136-depleted (0.1%),O1_d366_jun,O10,0.9996,1.1,0.9089,3944,5602,1909,2712
136-depleted (0.1%),O1_el,L10,1.066,1.1,0.9689,3.602e+04,4.952e+04,1.725e+04,2.372e+04
136-depleted (0.1%),O1_d366_jun,O1_el,0.9996,1.066,0.9381,8812,1.252e+04,4313,6126
136-depleted (0.1%),L10,O6,1.1,1.1,1,inf,inf,inf,inf
136-depleted (0.1%),O4,L10,1.1,1.1,1,inf,inf,inf,inf
129-enriched 80%,O1_d366_jun,L10,0.9495,2.198,0.432,52.25,76.11,19.43,28.31
129-enriched 80%,O1_d380_jun,L10,0.3454,2.198,0.1571,11.52,24.31,4.989,10.53
129-enriched 80%,O1_d350_jun,L10,1.161,2.198,0.5282,91.73,120.6,32.85,43.17
129-enriched 80%,O1_d300_jun,L10,1.306,2.198,0.5943,139.9,172.3,48.95,60.28
129-enriched 80%,O1_d366_jun,O6,0.9495,1.386,0.6851,252.5,367.9,113.4,165.2
129-enriched 80%,O1_d366_jun,O10,0.9495,1.393,0.6817,246.1,358.5,110.3,160.7
129-enriched 80%,O1_el,L10,1.4,2.198,0.6368,187.8,222.3,64.79,76.68
129-enriched 80%,O1_d366_jun,O1_el,0.9495,1.4,0.6784,240,349.7,107.4,156.5
129-enriched 80%,L10,O6,2.198,1.386,1.586,187.3,166.3,71.4,63.41
129-enriched 80%,O4,L10,1.7,2.198,0.7734,598.8,629.9,198.3,208.6
136-enriched 90%,O1_d366_jun,L10,1.004,0.1064,9.436,8.483,12.02,6.651,9.426
136-enriched 90%,O1_d380_jun,L10,3.095,0.1064,29.09,3.633,2.519,2.476,1.717
136-enriched 90%,O1_d350_jun,L10,0.6897,0.1064,6.483,13.26,22.28,10.77,18.11
136-enriched 90%,O1_d300_jun,L10,0.5141,0.1064,4.832,20.35,38.17,16.95,31.79
136-enriched 90%,O1_d366_jun,O6,1.004,0.1064,9.436,8.483,12.02,6.651,9.426
136-enriched 90%,O1_d366_jun,O10,1.004,0.1064,9.436,8.483,12.02,6.651,9.426
136-enriched 90%,O1_el,L10,0.4131,0.1064,3.883,29.63,59.55,25.07,50.38
136-enriched 90%,O1_d366_jun,O1_el,1.004,0.4131,2.43,47.1,66.75,29.99,42.51
136-enriched 90%,L10,O6,0.1064,0.1064,1,inf,inf,inf,inf
136-enriched 90%,O4,L10,0.1064,0.1064,1,inf,inf,inf,inf
134+136 enriched 90%,O1_d366_jun,L10,1.097,0.1211,9.066,8.538,11.56,6.541,8.856
134+136 enriched 90%,O1_d380_jun,L10,2.677,0.1211,22.11,4.22,3.259,2.886,2.229
134+136 enriched 90%,O1_d350_jun,L10,0.8193,0.1211,6.768,11.94,18.63,9.427,14.72
134+136 enriched 90%,O1_d300_jun,L10,0.6529,0.1211,5.393,16.22,27.87,13.09,22.48
134+136 enriched 90%,O1_d366_jun,O6,1.097,0.1211,9.066,8.538,11.56,6.541,8.856
134+136 enriched 90%,O1_d366_jun,O10,1.097,0.1211,9.066,8.538,11.56,6.541,8.856
134+136 enriched 90%,O1_el,L10,0.5533,0.1211,4.571,20.91,38.23,17.11,31.27
134+136 enriched 90%,O1_d366_jun,O1_el,1.097,0.5533,1.983,77.61,105.1,45.5,61.61
134+136 enriched 90%,L10,O6,0.1211,0.1211,1,inf,inf,inf,inf
134+136 enriched 90%,O4,L10,0.1211,0.1211,1,inf,inf,inf,inf
even-A only (idealised),O1_d366_jun,L10,0.9825,0.004034,243.6,2.203,3.155,2.018,2.891
even-A only (idealised),O1_d380_jun,L10,1.581,0.004034,392,1.658,1.824,1.477,1.625
even-A only (idealised),O1_d350_jun,L10,0.8399,0.004034,208.2,2.457,3.793,2.27,3.503
even-A only (idealised),O1_d300_jun,L10,0.7482,0.004034,185.5,2.677,4.35,2.487,4.04
even-A only (idealised),O1_d366_jun,O6,0.9825,0.004299,228.5,2.237,3.204,2.047,2.932
even-A only (idealised),O1_d366_jun,O10,0.9825,0.004297,228.7,2.236,3.204,2.047,2.932
even-A only (idealised),O1_el,L10,0.6925,0.004034,171.7,2.843,4.77,2.649,4.446
even-A only (idealised),O1_d366_jun,O1_el,0.9825,0.6925,1.419,295.9,423.9,166.1,238
even-A only (idealised),L10,O6,0.004034,0.004299,0.9383,5.435e+05,1.537e+06,5.412e+05,1.531e+06
even-A only (idealised),O4,L10,0.004197,0.004034,1.04,1.402e+06,3.966e+06,1.397e+06,3.95e+06
