case,A,abundance,J,R_win_per_tyr,f_win,R_roi_per_tyr,f_roi,dRdE_248,f_248,f_win_per_abundance
O1_el,128,0.0191,0,1003.1,0.026176,1.0045e+07,0.018832,15.387,0.03253,1.3704
O1_el,129,0.26401,0.5,15411,0.40216,1.3901e+08,0.2606,231.58,0.4896,1.5233
O1_el,130,0.04071,0,1693.6,0.044196,2.1651e+07,0.040589,22.893,0.048401,1.0856
O1_el,131,0.21232,1.5,8895,0.23212,1.1307e+08,0.21198,111.07,0.23483,1.0933
O1_el,132,0.26909,0,7584.3,0.19792,1.4467e+08,0.27121,75.07,0.15871,0.7355
O1_el,134,0.10436,0,2528,0.065971,5.6398e+07,0.10573,16.994,0.035928,0.63215
O1_el,136,0.08857,0,1205.8,0.031465,4.8578e+07,0.091069,0,0,0.35526
O4,128,0.0191,0,0,0,0,0,0,0,0
O4,129,0.26401,0.5,4.832,0.50956,363.59,0.54522,0.10467,0.5199,1.9301
O4,130,0.04071,0,0,0,0,0,0,0,0
O4,131,0.21232,1.5,4.6506,0.49044,303.28,0.45478,0.096656,0.4801,2.3099
O4,132,0.26909,0,0,0,0,0,0,0,0
O4,134,0.10436,0,0,0,0,0,0,0,0
O4,136,0.08857,0,0,0,0,0,0,0,0
O6,128,0.0191,0,0,0,0,0,0,0,0
O6,129,0.26401,0.5,0.011186,0.3973,0.049813,0.27015,0.00024457,0.40196,1.5049
O6,130,0.04071,0,0,0,0,0,0,0,0
O6,131,0.21232,1.5,0.01697,0.6027,0.13458,0.72985,0.00036387,0.59804,2.8387
O6,132,0.26909,0,0,0,0,0,0,0,0
O6,134,0.10436,0,0,0,0,0,0,0,0
O6,136,0.08857,0,0,0,0,0,0,0,0
O10,128,0.0191,0,0,0,0,0,0,0,0
O10,129,0.26401,0.5,0.65344,0.39976,8.185,0.31187,0.014234,0.40566,1.5142
O10,130,0.04071,0,0,0,0,0,0,0,0
