delta_keV,dRdE_248_total,R_win_total,f248_128,f248_129,f248_130,f248_131,f248_132,f248_134,f248_136,fwin_128,fwin_129,fwin_130,fwin_131,fwin_132,fwin_134,fwin_136
300,3.8182,290.09,0.028467,0.45946,0.047524,0.24662,0.17408,0.043843,0,0.02256,0.36866,0.042546,0.23576,0.21045,0.078087,0.041935
330,1.2481,92.653,0.026307,0.43912,0.047723,0.2549,0.18362,0.04832,0,0.020635,0.34902,0.041625,0.23794,0.21754,0.084936,0.048311
350,0.43021,30.673,0.023092,0.40901,0.046856,0.26236,0.20202,0.056662,0,0.01751,0.31655,0.039914,0.23916,0.22924,0.097742,0.059883
360,0.20448,13.888,0.020146,0.38292,0.046537,0.27397,0.21066,0.065762,0,0.014212,0.28164,0.037763,0.23951,0.24072,0.11167,0.074481
366,0.11061,7.3474,0.016348,0.34235,0.044855,0.28041,0.23677,0.079265,0,0.010742,0.24066,0.035298,0.23855,0.25334,0.12921,0.092209
370,0.066655,4.3136,0.012833,0.30405,0.043457,0.28982,0.25727,0.092577,0,0.0075206,0.19722,0.03226,0.23696,0.26459,0.14773,0.11372
375,0.030322,1.7972,0.0069716,0.23541,0.041355,0.31586,0.28246,0.11794,0,0.0026362,0.11114,0.024478,0.21893,0.28226,0.19197,0.1686
380,0.0089995,0.55154,0,0.052192,0.026418,0.31448,0.39461,0.2123,0,0.00019066,0.024914,0.009825,0.13873,0.25486,0.26951,0.30198
383,0.0034556,0.23175,0,0,0.0062623,0.24507,0.45254,0.29613,0,6.1282e-07,0.0032048,0.0030899,0.062125,0.16305,0.30211,0.46641
385,0.0013596,0.1304,0,0,0,0.076842,0.41686,0.5063,0,0,7.7028e-05,0.00080479,0.024553,0.08929,0.29833,0.58694
387,0.00057109,0.070422,0,0,0,0,0.26012,0.73988,0,0,0,4.7028e-05,0.0053108,0.038237,0.23471,0.72169
389,0.00017137,0.037127,0,0,0,0,0,1,0,0,0,0,0.00031136,0.013318,0.17376,0.81261
391,5.7405e-05,0.0207,0,0,0,0,0,1,0,0,0,0,0,0.0034587,0.11785,0.87869
393,3.2041e-07,0.010735,0,0,0,0,0,1,0,0,0,0,0,2.523e-05,0.081845,0.91813
395,0,0.0057866,,,,,,,,0,0,0,0,0,0.043117,0.95688
397,0,0.0026779,,,,,,,,0,0,0,0,0,0.0046816,0.99532
