machine,m_GeV,a_lum,bgT_p16,bgT_p50,bgT_p84,bgT_p99,frac_bgT_gt_2,frac_bgT_gt_3
HL-LHC 14 TeV,300,1.8883007190403105,0.2817377883661814,0.613349552670545,1.1861101770620022,2.963084159261831,0.03782,0.00954
HL-LHC 14 TeV,500,2.253993775072709,0.25875182415936554,0.5567334100927228,1.0502990434371993,2.436511670961246,0.02103,0.00414
HL-LHC 14 TeV,1000,2.7502083323426985,0.23764495030869187,0.5019195889549475,0.9181848569140159,1.9673727543257382,0.009315,0.0013
HL-LHC 14 TeV,1100,2.8184395825033364,0.2349622403576136,0.49515324063691957,0.9034420985680095,1.9249872647912545,0.0082,0.001025
HL-LHC 14 TeV,1500,3.040475240657593,0.22640228365126325,0.4774187367243582,0.8628498757023801,1.7897387317178823,0.00575,0.00061
HL-LHC 14 TeV,2000,3.246422889612688,0.21914937252784886,0.46221952900218727,0.8277976066380273,1.6677791079590243,0.00353,0.000155
FCC-hh 100 TeV,300,0.7891790779998908,0.42198041607758835,1.0044306093061284,2.3963351942270257,7.119693411480386,0.212695,0.1087
FCC-hh 100 TeV,500,0.8464805543166944,0.4086437646736319,0.9676686457300594,2.266940488067681,6.789623683869218,0.19581,0.09597
FCC-hh 100 TeV,1000,1.3426951115866839,0.3303910768486717,0.7412596905993474,1.5388548716688504,4.527781187490954,0.09019,0.033565
FCC-hh 100 TeV,1100,1.4109263617473213,0.32159638410022245,0.7209896050325102,1.4798739192482129,4.319579798985505,0.081595,0.02864
FCC-hh 100 TeV,1500,1.6329620199015786,0.30190936413812686,0.6627336925818615,1.320572695999155,3.573758636210265,0.05735,0.017555
FCC-hh 100 TeV,2000,1.8389096688566733,0.28479560789785996,0.6209050467440593,1.2100067400535024,3.0942529770701372,0.04111,0.0112
