case,hierarchy,sigma_Dm_MeV,delta_bound_GeV,ratio_to_LZ_delta
one-loop theory only,wino-only tanb=2,10.0,104.16666666666667,284608.37887067394
one-loop theory only,M2=2M1 tanb=2,10.0,25.31645569620253,69170.64397869544
one-loop theory only,bino-only tanb=2,10.0,11.299435028248586,30872.773301225647
one-loop theory only,M2=-2M1 tanb=2,10.0,4.703668861712136,12851.55426697305
one-loop theory only,bino-only tanb=10,10.0,16.80672268907563,45920.00734720118
two-loop + MuC c tau (1%),wino-only tanb=2,4.242640687119285,44.194173824159215,120749.10880917819
two-loop + MuC c tau (1%),M2=2M1 tanb=2,4.242640687119285,10.740862499036163,29346.618849825583
two-loop + MuC c tau (1%),bino-only tanb=2,4.242640687119285,4.79394427923083,13098.208413198989
two-loop + MuC c tau (1%),M2=-2M1 tanb=2,4.242640687119285,1.995597689143596,5452.452702578131
two-loop + MuC c tau (1%),bino-only tanb=10,4.242640687119285,7.13048854978031,19482.20915240522
aspirational,wino-only tanb=2,1.4142135623730951,14.731391274719742,40249.702936392736
aspirational,M2=2M1 tanb=2,1.4142135623730951,3.580287499678722,9782.206283275196
aspirational,bino-only tanb=2,1.4142135623730951,1.597981426410277,4366.06947106633
aspirational,M2=-2M1 tanb=2,1.4142135623730951,0.6651992297145322,1817.4842341927108
aspirational,bino-only tanb=10,1.4142135623730951,2.376829516593437,6494.069717468407
