m_GeV,HL-LHC 14 TeV_r12cm,HL-LHC 14 TeV_r5cm,FCC-hh 100 TeV_r10cm,FCC-hh 100 TeV_r5cm,MuC 10 TeV_r10cm,MuC 10 TeV_r5cm
250.0,35.738290584150896,550.4687580707505,3722.4328454011547,14613.769688149063,5665.241773659687,8124.042070388536
275.0,22.89061258155576,355.4909293966069,3677.6170671602063,14591.01568494159,5282.318209029825,7827.976982078937
300.0,14.737342515788736,233.8065233718012,3561.290669819881,14516.255535464616,4928.134031884589,7544.389215444886
325.0,8.88859767317966,150.63449436669683,3382.347654566626,13822.38731510151,4496.5866669722145,7184.833381877687
350.0,5.250496019870955,96.75138910717091,3212.4851112005085,13424.290796373898,4097.294099777126,6836.777174911062
375.0,3.4936692646674063,64.506184515011,3000.4620886080725,13148.648875524299,3728.721567189234,6500.613042487899
400.0,1.8975432324700179,44.025326618126314,2928.0246327469094,12504.364532259295,3389.2203418227505,6176.570461286756
425.0,1.3009315301794533,30.451244737734182,2723.6040290256724,11869.587088632403,3077.08821496801,5864.748338909974
450.0,0.8426167408149089,21.52376818694873,2641.8470929059913,11476.682353452818,2790.6128304384265,5565.141065099039
475.0,0.6899449086962827,15.08896348166712,2305.4800256549147,10416.281732747615,2528.1025441819334,5277.659591790785
500.0,0.38744046594633824,10.618914050908108,1873.6007845775032,8729.866463716271,2287.9081540132224,5002.14857327169
525.0,0.3255755287952455,7.885244755963092,1566.5519483249775,7252.999249064444,2089.230968195861,4763.931709029572
550.0,0.20915138885517318,6.28599516898631,1278.023479433677,6258.7012000948,1907.0468855982022,4536.085367192123
575.0,0.14683359240700583,4.578618292785835,1078.8966918645465,5412.2566571903635,1740.0584621907135,4318.233899080587
600.0,0.11084003188183573,3.481895564481497,895.8641792689298,4725.939712639725,1587.0619430867807,4110.004422687715
625.0,0.0794896686231675,2.7428143035997565,750.5998147515255,4008.7452993148463,1446.9418862421724,3911.0291189947634
650.0,0.06308266357135864,2.1473508099442267,667.2093220423669,3519.7322218823465,1318.665767944144,3720.9469655906996
675.0,0.046925473639512834,1.594559801043915,553.76622233355,2960.6822419220475,1201.2786799068135,3539.405026490305
700.0,0.035379240402033794,1.30736022460046,461.7001820697014,2588.9846220629233,1093.8981893494283,3366.0593914275405
725.0,0.031287999120796745,1.0480217898717266,394.0067758680685,2267.9586483112707,995.7094068977572,3200.5758381270134
750.0,0.02041830337078633,0.8037873400985306,334.04177294688327,2012.5713826819574,905.9602887912664,3042.6302756881037
775.0,0.015347309779704115,0.6659464288716501,282.3420649476926,1795.1125311840608,823.957187178329,2891.909015206945
800.0,0.012084032247462947,0.514123490699424,245.75361751975862,1490.5015650476366,749.0606535135312,2748.108904328187
825.0,0.010766760206594537,0.42253763407340994,226.32153133325252,1356.2500212335383,680.6814940530762,2610.937354978082
850.0,0.008439848483681936,0.33713844999941467,187.06345888741996,1232.7535937157318,618.277072359988,2480.112287640758
875.0,0.007141818621475494,0.2877393427074295,171.15762399062984,1050.0854622824718,561.3478510115482,2355.3620108608093
900.0,0.0047835261505255015,0.23018337748114523,148.93985643051357,954.3119937948322,509.43416295166793,2236.425050930746
925.0,0.0039534081818709075,0.19000845723092438,122.7806223888244,828.3299163244841,462.11320186889293,2123.0499437459002
950.0,0.0032275807334008113,0.15502658322825863,114.08028105952548,761.388743718933,418.996220410081,2014.9949984296748
975.0,0.002059760164024276,0.13076031802499857,95.70705834984469,671.0744136969909,379.7259248173342,1912.0280404231391
1000.0,0.001781238176198506,0.11000086263636312,81.91916806124392,588.5418805632199,343.9740546000892,1813.9261401994893
1050.0,0.0014992745831905808,0.07721865650806027,69.34079259770778,489.7208067753208,286.0534495830269,1644.393748330878
1100.0,0.0010803245823125783,0.05580501196487668,54.96125103329698,396.32071183754897,237.611535090186,1489.9615112627314
