machine,r_min_cm,bkg_events,bkg_case,reach_95CL_GeV,reach_5sigma_GeV,S_at_1100,S_at_300,S_at_500
HL-LHC 14 TeV,12,30.0,central,300.0,250.0,0.0010803245823125783,14.737342515788736,0.38744046594633824
HL-LHC 14 TeV,12,10.0,low,325.0,275.0,0.0010803245823125783,14.737342515788736,0.38744046594633824
HL-LHC 14 TeV,12,100.0,high,275.0,,0.0010803245823125783,14.737342515788736,0.38744046594633824
HL-LHC 14 TeV,5,30.0,central,475.0,425.0,0.05580501196487668,233.8065233718012,10.618914050908108
HL-LHC 14 TeV,5,10.0,low,525.0,450.0,0.05580501196487668,233.8065233718012,10.618914050908108
HL-LHC 14 TeV,5,100.0,high,450.0,375.0,0.05580501196487668,233.8065233718012,10.618914050908108
FCC-hh 100 TeV,10,100.0,central,1300.0,1100.0,54.96125103329698,3561.290669819881,1873.6007845775032
FCC-hh 100 TeV,10,10.0,low,1600.0,1400.0,54.96125103329698,3561.290669819881,1873.6007845775032
FCC-hh 100 TeV,10,1000.0,high,1050.0,875.0,54.96125103329698,3561.290669819881,1873.6007845775032
FCC-hh 100 TeV,5,100.0,central,2050.0,1700.0,396.32071183754897,14516.255535464616,8729.866463716271
FCC-hh 100 TeV,5,10.0,low,2500.0,2150.0,396.32071183754897,14516.255535464616,8729.866463716271
FCC-hh 100 TeV,5,1000.0,high,1600.0,1350.0,396.32071183754897,14516.255535464616,8729.866463716271
MuC 10 TeV,10,3.0,central,2100.0,1900.0,237.611535090186,4928.134031884589,2287.9081540132224
MuC 10 TeV,10,1.0,low,2150.0,2050.0,237.611535090186,4928.134031884589,2287.9081540132224
MuC 10 TeV,10,30.0,high,1850.0,1650.0,237.611535090186,4928.134031884589,2287.9081540132224
MuC 10 TeV,5,3.0,central,3350.0,3150.0,1489.9615112627314,7544.389215444886,5002.14857327169
MuC 10 TeV,5,1.0,low,3400.0,3250.0,1489.9615112627314,7544.389215444886,5002.14857327169
MuC 10 TeV,5,30.0,high,3050.0,2800.0,1489.9615112627314,7544.389215444886,5002.14857327169
