window,detector,b_100_200_per_tyr,b_200_270_per_tyr,b_ext_per_tyr,b_ge200_per_tyr,b_ge200_per_284,b_ge100_per_tyr
LZ,LZ-like,0.04225352112676056,0.00020211267605633803,9.574637175862886e-06,0.00021168731323220093,0.0006011919695794506,0.04246520843999276
LZ,40 t,0.04225352112676056,0.00017562872526269118,5.7939037183468615e-06,0.00018142262898103803,0.000515240266306148,0.042434943755741604
LZ,60 t,0.04225352112676056,0.00017140944746649566,5.191577998331646e-06,0.0001766010254648273,0.0005015469123201095,0.04243012215222539
ext300,LZ-like,0.04225352112676056,0.00020211267605633803,9.537341412758556e-05,0.0002974860901839236,0.000844860496122343,0.042551007216944485
ext300,40 t,0.04225352112676056,0.00017562872526269118,5.761200321713907e-05,0.00023324072847983023,0.0006624036688827179,0.04248676185524039
ext300,60 t,0.04225352112676056,0.00017140944746649566,5.1596062323392885e-05,0.00022300550978988855,0.0006333356478032834,0.042476526636550445
ext400,LZ-like,0.04225352112676056,0.00020211267605633803,0.0007640092452529195,0.0009661219213092575,0.002743786256518291,0.04321964304806982
ext400,40 t,0.04225352112676056,0.00017562872526269118,0.0004468488033337512,0.0006224775285964424,0.0017678361812138964,0.04287599865535701
ext400,60 t,0.04225352112676056,0.00017140944746649566,0.00039632054111004563,0.0005677299885765414,0.0016123531675573774,0.042821251115337106
ext600,LZ-like,0.04225352112676056,0.00020211267605633803,0.009649073696828766,0.009851186372885103,0.02797736929899369,0.052104707499645665
ext600,40 t,0.04225352112676056,0.00017562872526269118,0.0054327420588843895,0.005608370784147081,0.01592777302697771,0.04786189191090764
ext600,60 t,0.04225352112676056,0.00017140944746649566,0.0047610192256867506,0.004932428673153246,0.014008097431755217,0.047185949799913814
