window,detector,model,rate_per_tyr,b_per_tyr,E_3sigma,E_5sigma,E_5sigma_lo68,E_5sigma_hi68,E_N3,E_P90_N3,s_at_5sigma,yr_5sigma_LZ alone,yr_3sigma_LZ alone,yr_5sigma_present generation,yr_3sigma_present generation,yr_5sigma_40 t,yr_3sigma_40 t,yr_5sigma_60 t,yr_3sigma_60 t
LZ,LZ-like,L10,0.29919424854993043,0.04246520843999277,4.436627038944705,12.323963997068624,57.53328195881694,4.26884049563794,10.026930713206378,17.788845753650943,3.687259147259344,4.412459605204072,1.588485457873466,1.8001700258645374,0.6480612093112336,,,,
LZ,LZ-like,inel300,0.3519292317533456,0.04246520843999277,4.123766543424661,11.454907065068491,56.99152413157542,3.869846797818584,8.524441078831982,15.123268707512292,4.031316643215525,4.10130334022429,1.476469202480746,1.6732262730161396,0.6023614582858108,,,,
LZ,LZ-like,inel350,0.35189655611745374,0.04246520843999277,3.072726686813061,8.535351907814057,38.38838319878037,3.0243355981457505,8.525232622619585,15.124672990711975,3.003560941610305,3.0559887645232724,1.1001559552283782,1.246764812710204,0.44883533257567354,,,,
LZ,LZ-like,inel366,0.3512558233960269,0.04246520843999277,2.4481236659214254,6.800343516448395,28.768550715818535,2.4895756471076673,8.5407836687098,15.152262207005485,2.388660261245914,2.4347881148449666,0.8765237213441891,0.9933309255694412,0.3575991332049993,,,,
LZ,LZ-like,inel380,0.3459756124378868,0.007253940834358961,2.0672288419092553,5.742302338636823,23.497237730767857,2.146056168010924,8.671131409698976,15.383513017957961,1.9866965684133846,2.0559681216312113,0.7401485237872357,0.838782111983176,0.3019615603139432,,,,
ext300,LZ-like,L10,0.32544596430503026,0.04255100721694449,3.934645028232232,10.929569522867304,50.62842737929808,3.803915084935413,9.218120146016604,16.353929443247814,3.556984292808419,3.913212017934539,1.408756326456435,1.596489851426717,0.5747363465136184,,,,
ext300,LZ-like,inel300,0.3572469517596743,0.04255100721694449,4.048860860660241,11.246835724056218,55.89072549042804,3.8016542825151234,8.397552407999685,14.898154656375127,4.017897779360894,4.026805687729064,1.449650047582464,1.6428331469553343,0.5914199329039207,,,,
ext300,LZ-like,inel350,0.38720145918584875,0.04255100721694449,2.7098283672684342,7.527301020190097,33.60205856518482,2.6784751321544107,7.7479046858655085,13.745610228394552,2.9145819387487335,2.695067244248722,0.9702242079295397,1.0995181157157605,0.3958265216576737,,,,
ext300,LZ-like,inel366,0.4904217583856454,0.04255100721694449,1.612180317550783,4.478278659863287,18.641396905100905,1.655318657387392,6.11718372748245,10.852537121016129,2.1962452949110647,1.6033983621012153,0.5772234103564374,0.6541452906607197,0.23549230463785903,,,,
ext300,LZ-like,inel380,1.3445468438572779,0.007339739611310684,0.41354109473838785,1.1487252631621883,4.491128872787873,0.4402901616586997,2.2312350169916777,3.9584491698075555,1.5445149270438412,0.41128843141591565,0.14806383530972966,0.1677951012506848,0.060406236450246543,,,,
