,N_LZ_unit,N_full_unit,A_LZ,kappa,rate_full_per_tyr,rate_LZ_per_tyr,N_ext300_unit,A_ext300,rate_ext300_per_tyr,N_ext400_unit,A_ext400,rate_ext400_per_tyr,N_ext600_unit,A_ext600,rate_ext600_per_tyr,E_obs_median_LZ,frac_true_gt_270
L10,3.322232082335225,7.8728670813156825,0.42198503391727865,0.30100245112830637,0.8344198200293577,0.35211267605633806,3.5683093018297156,0.4532414004928677,0.3781936078291127,4.216041760378619,0.5355154249186246,0.44684468448354375,5.713772806242895,0.7257550200235353,0.6055843731934412,178.02652322807367,0.5535939967278762
inel300,13557.24896997521,16652.83067687129,0.814110779905097,7.37612772484054e-05,0.43251199314346966,0.35211267605633806,13761.035698071904,0.8263481425523812,0.3574054821657344,15448.911304176807,0.9277048211168941,0.40124346123007393,15894.776150200292,0.9544789386633324,0.41282358817474146,172.42263612237062,0.1477075672097242
inel348,341.1692636357582,717.1983369865183,0.47569723191113794,0.0029310963987295986,0.740203331942268,0.35211267605633806,371.034405916351,0.5173386311453837,0.382935778516265,625.5534813371993,0.8722182541103107,0.6456188578733199,684.8069510776794,0.954836222787494,0.7067729535664727,199.52586028574729,0.5030350238636052
inel350,266.67218072313705,600.2407711727085,0.4442753533754989,0.003749922460184231,0.7925550525840999,0.35211267605633806,293.2859455609141,0.48861383572447525,0.3872533642659301,520.6756799615146,0.8674447071368624,0.687497685478655,573.1423327226657,0.9548540523212049,0.7567744036475733,201.16430568301297,0.5360521725126572
inel352,205.8044596488116,500.05665625264766,0.41156228414412177,0.004858981198495008,0.8555513700401043,0.35211267605633806,229.40220465896462,0.4587524269311234,0.3924862673701454,431.43590454325346,0.8627740459978511,0.7381475170885055,477.4898610893322,0.9548715232941247,0.8169416399665698,202.8859642290145,0.5704434524577471
inel364,31.930617313529968,156.3824260108123,0.20418290039395015,0.031317903759294684,1.7244963969900144,0.35211267605633806,42.09119081687946,0.26915550481336864,0.46415769828068276,130.6242861345478,0.8352875029929284,1.440450289362091,149.3386981943474,0.9549583159940368,1.6468221752073684,214.22788310041537,0.7885653883471132
inel366,21.859058884738662,127.07280557301989,0.17201995962997593,0.04574762368649686,2.0469291866696815,0.35211267605633806,30.458386591328633,0.23969240667962052,0.4906333830556141,105.7161121029034,0.8319334072006123,1.702908772564486,121.35046142163209,0.9549679876383971,1.9547518462322464,216.4207571492211,0.8224221703101615
inel368,14.623851416380298,103.03163560512183,0.14193554562627295,0.06838143875558607,2.480792774654754,0.35211267605633806,21.858290183168837,0.21215124902940233,0.5263032857261226,85.39663898354583,0.8288390112609321,2.05617783048811,98.39280955061913,0.954976682382473,2.3690992536182067,218.5656591638864,0.8541053572706998
inel378,1.2538352062264808,32.74327337587228,0.03829290956445428,0.7975529758887385,9.195244761008958,0.35211267605633806,3.8012693227781904,0.11609313702823779,1.0675048100479985,27.005528610929847,0.8247656946488913,7.583922432780131,31.26975569701172,0.9549978506441462,8.7814389829104,231.21208922388465,0.9634656121626182
inel380,0.6995844477475779,25.243188009131728,0.027713791439278712,1.4294199981426934,12.70532315391857,0.35211267605633806,2.6745505886880694,0.10595137934719459,1.3461465132095212,20.855201097816735,0.8261714443624301,10.49677518116433,24.10721868239946,0.9549989753147926,12.133570593035541,235.48625486813913,0.9746389193826615
inel382,0.3742874138171952,19.169121619355415,0.019525538063218835,2.6717435935166325,18.03344291544155,0.35211267605633806,1.8752028777418932,0.09782414212701673,1.7641060827995974,15.875765911562091,0.8281947512676865,14.93520276985414,18.306502834888455,0.9549995664070513,17.221930165072994,241.8449408835732,0.9832708726007047
