programme,model,rate,Z,year,exposure_tyr
LZ alone,L10,best,3,2024.8499999999995,4.515795148246454
LZ alone,L10,lo68,3,,
LZ alone,L10,best,5,2027.649999999997,12.336172506729909
LZ alone,L10,lo68,5,,
LZ alone,inel300,best,3,2024.7499999999995,4.236495956872045
LZ alone,inel300,lo68,3,,
LZ alone,inel300,best,5,2027.3499999999972,11.498274932606682
LZ alone,inel300,lo68,5,,
LZ alone,inel350,best,3,2024.35,3.119299191374409
LZ alone,inel350,lo68,3,2028.1999999999964,13.872318059289158
LZ alone,inel350,best,5,2026.2999999999981,8.565633423175386
LZ alone,inel350,lo68,5,,
LZ alone,inel366,best,3,2024.25,2.84
LZ alone,inel366,lo68,3,2026.9499999999975,10.381078167109045
LZ alone,inel366,best,5,2025.6999999999987,6.889838274928931
LZ alone,inel366,lo68,5,,
LZ alone,inel380,best,3,2024.25,2.84
LZ alone,inel380,lo68,3,2026.2999999999981,8.565633423175386
LZ alone,inel380,best,5,2025.299999999999,5.7726415094312955
LZ alone,inel380,lo68,5,,
present generation (LZ + XENONnT + PandaX-4T),L10,best,3,2024.8499999999995,4.515795148246454
present generation (LZ + XENONnT + PandaX-4T),L10,lo68,3,2027.649999999997,20.915772506717182
present generation (LZ + XENONnT + PandaX-4T),L10,best,5,2026.6999999999978,14.443430188663772
present generation (LZ + XENONnT + PandaX-4T),L10,lo68,5,,
present generation (LZ + XENONnT + PandaX-4T),inel300,best,3,2024.7499999999995,4.236495956872045
present generation (LZ + XENONnT + PandaX-4T),inel300,lo68,3,2027.599999999997,20.575122911030164
present generation (LZ + XENONnT + PandaX-4T),inel300,best,5,2026.6999999999978,14.443430188663772
present generation (LZ + XENONnT + PandaX-4T),inel300,lo68,5,,
present generation (LZ + XENONnT + PandaX-4T),inel350,best,3,2024.35,3.119299191374409
present generation (LZ + XENONnT + PandaX-4T),inel350,lo68,3,2026.6999999999978,14.443430188663772
present generation (LZ + XENONnT + PandaX-4T),inel350,best,5,2026.2999999999981,8.565633423175386
present generation (LZ + XENONnT + PandaX-4T),inel350,lo68,5,,
present generation (LZ + XENONnT + PandaX-4T),inel366,best,3,2024.25,2.84
present generation (LZ + XENONnT + PandaX-4T),inel366,lo68,3,2026.6999999999978,14.443430188663772
present generation (LZ + XENONnT + PandaX-4T),inel366,best,5,2025.6999999999987,6.889838274928931
present generation (LZ + XENONnT + PandaX-4T),inel366,lo68,5,2028.8499999999958,29.091362803205705
present generation (LZ + XENONnT + PandaX-4T),inel380,best,3,2024.25,2.84
present generation (LZ + XENONnT + PandaX-4T),inel380,lo68,3,2026.2999999999981,8.565633423175386
present generation (LZ + XENONnT + PandaX-4T),inel380,best,5,2025.299999999999,5.7726415094312955
present generation (LZ + XENONnT + PandaX-4T),inel380,lo68,5,2028.0499999999965,23.64096927221336
"60 t detector from 2032, ROI to 400 keV",L10,best,3,2032.0650000000014,3.120000000068103
"60 t detector from 2032, ROI to 400 keV",L10,lo68,3,2032.2925000000064,14.040000000306463
"60 t detector from 2032, ROI to 400 keV",L10,best,5,2032.1775000000039,8.520000000185973
"60 t detector from 2032, ROI to 400 keV",L10,lo68,5,2032.8075000000176,38.76000000084605
"60 t detector from 2032, ROI to 400 keV",inel300,best,3,2032.0725000000016,3.480000000075961
"60 t detector from 2032, ROI to 400 keV",inel300,lo68,3,2032.3575000000078,17.160000000374566
"60 t detector from 2032, ROI to 400 keV",inel300,best,5,2032.2025000000044,9.720000000212167
"60 t detector from 2032, ROI to 400 keV",inel300,lo68,5,2032.9875000000216,47.40000000103464
"60 t detector from 2032, ROI to 400 keV",inel350,best,3,2032.0275000000006,1.3200000000288128
"60 t detector from 2032, ROI to 400 keV",inel350,lo68,3,2032.1175000000026,5.640000000123109
"60 t detector from 2032, ROI to 400 keV",inel350,best,5,2032.0775000000017,3.7200000000811997
"60 t detector from 2032, ROI to 400 keV",inel350,lo68,5,2032.3275000000071,15.720000000343134
"60 t detector from 2032, ROI to 400 keV",inel366,best,3,2032.0100000000002,0.4800000000104774
"60 t detector from 2032, ROI to 400 keV",inel366,lo68,3,2032.0350000000008,1.6800000000366708
"60 t detector from 2032, ROI to 400 keV",inel366,best,5,2032.0225000000005,1.080000000023574
"60 t detector from 2032, ROI to 400 keV",inel366,lo68,5,2032.092500000002,4.440000000096916
"60 t detector from 2032, ROI to 400 keV",inel380,best,3,2032.0025,0.12000000000261934
"60 t detector from 2032, ROI to 400 keV",inel380,lo68,3,2032.005,0.2400000000052387
"60 t detector from 2032, ROI to 400 keV",inel380,best,5,2032.005,0.2400000000052387
"60 t detector from 2032, ROI to 400 keV",inel380,lo68,5,2032.0125000000003,0.6000000000130967
