halo,iso,m_med_GeV,delta_peak,Z_peak,d68_lo,d68_hi,edge_lo,edge_hi,Z_300,Z_330,Z_350,Z_380,dq0_peak_minus_300,dq0_peak_minus_330,dq0_peak_minus_350,LR_peak_over_300,shift_vs_contact_keV
annual,iso,0.05,380.0,3.4773684968561813,369.0,390.0,False,True,2.413065378060524,2.710673577018841,3.0046150316406424,3.4773684968561813,6.269207144133439,4.7443404217796985,3.064380174566919,22.979524310791092,0.0
annual,iso,0.1,380.0,3.479096376262508,369.0,390.0,False,True,2.45022861766292,2.735008760258301,3.019233688144145,3.479096376262508,6.10049131650857,4.623838676633265,2.9883395316984167,21.12053221837643,0.0
annual,iso,0.2,380.0,3.4827535558747797,368.0,389.0,False,False,2.5298125042907524,2.7889704221691085,3.0526518481760507,3.4827535558747797,5.729621024092575,4.351216315224287,2.810889024785766,17.545728185440748,0.0
annual,iso,0.3,380.0,3.4849508097139403,368.0,389.0,False,False,2.5819501140320438,2.825573393361155,3.0760496101474257,3.4849508097139403,5.478415754775765,4.161017144855375,2.6828009420377175,15.474722362687096,0.0
annual,iso,0.5,380.0,3.486625874177822,367.0,389.0,False,False,2.629198627316335,2.859522156644282,3.098233555908231,3.486625874177822,5.2438745646041625,3.979693022146698,2.5575088195305007,13.762359351454503,0.0
annual,iso,1.0,380.0,3.4874018643776843,366.0,388.0,False,False,2.657585331254642,2.8802503301214997,3.1119910021537733,3.4874018643776843,5.099211970765102,3.866129799499939,2.477483766178901,12.80205859057046,0.0
annual,iso,inf,380.0,3.4876436508453654,366.0,388.0,False,False,2.668725401440989,2.888449706445902,3.117475065189823,3.4876436508453654,5.04156296698562,3.820516528614572,2.445007453201697,12.438313202871953,0.0
annual,p,0.05,390.0,3.7504719681226137,377.0,390.0,False,True,2.8477660766553723,3.0561846609021384,3.2710582557123744,3.6498767167446733,5.9562683563243795,4.7257753021399935,3.3662178714094324,19.651116934734866,0.0
annual,p,0.1,390.0,3.7504703033041977,377.0,390.0,False,True,2.875339097756948,3.0750649149804574,3.282545960314136,3.6519574749280803,5.7984525688769395,4.6100032646229145,3.2909195143920265,18.160089188797272,0.0
annual,p,0.2,390.0,3.7503943563900797,376.0,390.0,False,True,2.9352073480832477,3.1171956819095468,3.308869516627068,3.6568583318046386,5.450015652200669,4.348548909127036,3.1168403503787143,15.256533325552507,0.0
annual,p,0.3,390.0,3.7502625594444647,376.0,390.0,False,True,2.974989094009412,3.1459634473062414,3.3273460949576887,3.6603915769368385,5.213909155296005,4.167383252983976,2.9932372291407656,13.557698997292006,0.0
annual,p,0.5,390.0,3.750057299921624,375.0,390.0,False,True,3.0113914127704895,3.1727685480403123,3.344894821394052,3.6638007067454357,4.9944515117876165,3.99646949326163,2.874608386506715,12.14874358616954,0.0
