config,model,cls,Z_LZ,q0,Z,s_hat,frac_top,frac_mid,frac_bot,f_in_roi,b_event_cell,s_event_cell_per_unit,LR_event_per_unit,diff
base,L10_100,L10 (m scan),2.9,5.17552445540241,2.2749779021789225,1.6381407727417063,0.6983957179534206,0.28374001599505866,0.017866705637365875,0.9934819324485785,1.1585390509605713e-05,0.00022200861094208045,19.162807741181275,-0.6250220978210774
base,L10_200,L10 (m scan),3.1,7.925925481751619,2.815302023185367,1.2835790937400193,0.3817311422711908,0.5208139309407517,0.0974606138337315,0.9518705747719431,1.1585390509605713e-05,0.0011737240245089375,101.31070019053531,-0.28469797681463316
base,L10_400,L10 (m scan),3.4,8.520907517464366,2.9190593549060226,1.1967953858313696,0.2831382927408208,0.5739593574101248,0.1429097643057862,0.9172081564330965,1.1585390509605713e-05,0.0017010729671022736,146.82914362635208,-0.48094064509397727
base,L10_1000,L10 (m scan),3.4,8.762270945997443,2.9601133333028726,1.1639953687973936,0.24246048879754753,0.590574815774963,0.1669730037865565,0.8963834536986515,1.1585390509605713e-05,0.0019754355178000877,170.51091339236334,-0.4398866666971273
base,L10_4000,L10 (m scan),3.4,8.860014619562207,2.9765776689954198,1.1513848943386706,0.22624900977955645,0.5959966349355837,0.1777630596074491,0.8866169852416731,1.1585390509605713e-05,0.002097894235017343,181.081011751648,-0.42342233100458015
base,O1s_1000,elastic operators,0.0,0.0,0.0,0.0,0.9964885680521153,0.0034643607448504835,4.8567817898666225e-05,0.9340341517216229,1.1585390509605713e-05,5.65705788068941e-07,0.04882923778873931,0.0
base,O1v_1000,elastic operators,1.3,1.0620897131684615,1.0305773688415933,1.6760633385302226,0.9947218617039245,0.003872664088047508,0.0014070155423916422,0.9108718310537073,1.1585390509605713e-05,1.594387698563057e-05,1.3762054004490514,-0.2694226311584067
base,O4s_1000,elastic operators,2.7,4.53657672528243,2.129924112564208,2.0006718620192157,0.9074315027152863,0.0817334749836488,0.010836985164463324,0.9467405770197367,1.1585390509605713e-05,0.00012766391567535482,11.01938821738514,-0.5700758874357921
base,O4v_1000,elastic operators,2.7,4.464335995304282,2.112897535448485,2.0030794114395034,0.9097880674306753,0.07974240067086069,0.01047147785842982,0.9471712362278935,1.1585390509605713e-05,0.0001226182610623969,10.583869482926042,-0.5871024645515153
base,O6s_1000,elastic operators,3.1,8.313078328061238,2.8832409417288103,1.3342569510532942,0.43109895290214567,0.44741377142582756,0.12149366366480517,0.9301718154395677,1.1585390509605713e-05,0.0013729605278663928,118.50791967073012,-0.2167590582711898
base,O6v_1000,elastic operators,3.3,8.256970323356654,2.87349444463647,1.3425842130274535,0.43933508550499434,0.4431409557489289,0.11753019474384904,0.931534690577388,1.1585390509605713e-05,0.001326179603445719,114.46999584055048,-0.42650555536352996
base,O10s_1000,elastic operators,3.0,6.991619977034134,2.6441671613258744,1.64767931866313,0.6881450067305007,0.26261795613699446,0.04924057480625406,0.9715923895420066,1.1585390509605713e-05,0.0005648000400464831,48.75105759949951,-0.35583283867412563
base,O10v_1000,elastic operators,3.1,6.923495737291887,2.6312536436633938,1.6538682378772351,0.6926011826636705,0.2599659009319712,0.04743638277425445,0.9723444572342738,1.1585390509605713e-05,0.0005433526800164662,46.899815726190674,-0.46874635633660633
base,O11s_1000,elastic operators,1.7,0.05509095351953874,0.23471462144386904,0.5236955610315508,0.9731832135171467,0.026289927365448752,0.0005283993659618518,0.9863330280161018,1.1585390509605713e-05,6.203304139699955e-06,0.5354419546373214,-1.4652853785561308
base,O11v_1000,elastic operators,2.6,5.625557764946279,2.371825829386778,2.1276682943943492,0.9482740214159888,0.032600903980881744,0.01912724523225575,0.9672866912937591,1.1585390509605713e-05,0.00021282752781215966,18.37033698913295,-0.22817417061322187
base,O4s_200,elastic operators,2.3,2.519353886878889,1.5872472670881779,1.9498918694813394,0.9543071159735372,0.0422792284674802,0.0034153060609265927,0.9409027285707174,1.1585390509605713e-05,4.0897369431103694e-05,3.530081217132452,-0.712752732911822
base,O6s_200,elastic operators,2.2,7.231488677363814,2.6891427402359684,1.5040352411018676,0.5836224438281207,0.35582327069041053,0.060558332049441076,0.9706184541342777,1.1585390509605713e-05,0.0007017834140827801,60.57486051082313,0.48914274023596827
base,O10s_200,elastic operators,2.8,5.4659986943024705,2.3379475388259827,1.829853684703403,0.8092634140863316,0.17111371815646176,0.019625220998948454,0.9879497425902827,1.1585390509605713e-05,0.00023011949824720037,19.862903892311877,-0.4620524611740171
base,O11s_200,elastic operators,1.1,0.0,0.0,0.0,0.986778838316892,0.01305240336173376,0.00017026829400100708,0.9848120481250269,1.1585390509605713e-05,1.97361650425975e-06,0.17035390413671248,-1.1
base,O1v_200,elastic operators,0.0,0.0,0.0,0.0,0.9976910561999525,0.0019279816965709184,0.0003824671045445222,0.906489134923275,1.1585390509605713e-05,4.458340179752556e-06,0.38482433337538724,0.0
base,O4s_4000,elastic operators,2.7,4.804881611948076,2.192004017320241,1.9898257042164713,0.8981773765771539,0.08920485127952046,0.012619808193845634,0.9472704400161278,1.1585390509605713e-05,0.00014829978093667447,12.800585428148988,-0.5079959826797591
base,O6s_4000,elastic operators,2.6,8.439767915177072,2.9051278655468975,1.313378985233551,0.41010970972121896,0.4578066910175178,0.13209038731915793,0.9225921451758115,1.1585390509605713e-05,0.001487255929955411,128.3733965395722,0.3051278655468974
base,O10s_4000,elastic operators,3.1,7.176386277144047,2.678877801831216,1.6195510708121308,0.668267247718131,0.27646851991707644,0.05526800611283221,0.9678320002214866,1.1585390509605713e-05,0.0006318819954770604,54.541277219197106,-0.42112219816878405
base,O11s_4000,elastic operators,1.8,0.140759051850182,0.3751786932252177,0.7750875095607723,0.9704567595370767,0.028929260675875666,0.0006155269056389225,0.9865316375086104,1.1585390509605713e-05,7.236986461216625e-06,0.624664870400033,-1.4248213067747824
base,O1v_4000,elastic operators,1.2,1.317375291895587,1.147769703335816,1.774238394695119,0.9940529142989503,0.00427080858869325,0.0016778280693036066,0.9114381562494686,1.1585390509605713e-05,1.8937086956903384e-05,1.6345661323372924,-0.052230296664183884
base,O1s_400_d100,inelastic O1 (s/v),0.8,0.0,0.0,0.0,0.9862528264624169,0.013579967997491225,0.00016871540900820605,0.9993502038406361,1.1585390509605713e-05,1.9533791814347934e-06,0.16860710735777115,-0.8
base,O1v_400_d100,inelastic O1 (s/v),2.6,3.6502508038702217,1.9105629546995362,2.1073684251233105,0.9728476385271563,0.020687214551650648,0.006466866687542373,0.99358396472306,1.1585390509605713e-05,7.400179059360963e-05,6.38750938367188,-0.6894370453004639
