d_low,d_high,L10_top,L10_mid,L10_bot,gauss
-8.0,-7.5,0.0,0.0,0.0,3.1286820671681667e-14
-7.5,-7.0,0.0,0.0,0.0,1.247903627156726e-12
-7.0,-6.5,0.0,0.0,0.0,3.888019329470504e-11
-6.5,-6.0,0.0,0.0,0.0,9.464276391991035e-10
-6.0,-5.5,0.0,0.0,0.0,1.800297482084999e-08
-5.5,-5.0,0.0,2.4850174412387183e-05,2.292687312212743e-06,2.6766200941330574e-07
-5.0,-4.5,0.0,0.00011773142762121142,1.0039778650848488e-05,3.111021552850861e-06
-4.5,-4.0,0.0,0.00045155666847959886,3.6336645135679455e-05,2.8273568708389807e-05
-4.0,-3.5,0.0,0.001543442336264121,0.00032513892501314555,0.00020095783720240515
-3.5,-3.0,0.0,0.004885482060040019,0.00047597726248720324,0.0011172689525945682
-3.0,-2.5,0.0015668790036168492,0.011818448499886159,0.003691827319926932,0.004859767294146041
-2.5,-2.0,0.00431272506670122,0.028046148400728485,0.004797715407381382,0.016540466622403063
-2.0,-1.5,0.009444463770473725,0.048948732583048216,0.016556385014046313,0.04405706932067886
-1.5,-1.0,0.018752088560690782,0.07911312514448576,0.023666712280529863,0.09184805266259902
-1.0,-0.5,0.03011087696068115,0.10351719857442199,0.03464616524429803,0.1498822847945298
-0.5,0.0,0.03974575765392895,0.11178245531217645,0.04396463260432603,0.19146246127401312
0.0,0.5,0.04383731757649127,0.10154819933712633,0.04093256550624872,0.19146246127401312
0.5,1.0,0.03723248179397189,0.07911312514448576,0.028634958083791465,0.1498822847945298
1.0,1.5,0.025574162385344167,0.04620836483402397,0.02310963591964987,0.09184805266259899
1.5,2.0,0.013308020928453589,0.02547837995222106,0.007911810233556806,0.04405706932067888
2.0,2.5,0.005420539995213588,0.00994255300468951,0.004797715407381382,0.01654046662240305
2.5,3.0,0.0016455536900484744,0.003391892151805883,0.0012341822904718468,0.004859767294146056
3.0,3.5,0.0,0.000992347743692748,0.0003027153773013064,0.0011172689525945634
3.5,4.0,0.0,0.00018666341888867803,8.167120540961319e-05,0.0002009578372024201
4.0,4.5,0.0,3.791540328829634e-05,5.031808888248904e-06,2.827356870838127e-05
4.5,5.0,0.0,0.0,1.940577691381259e-06,3.111021552815174e-06
5.0,5.5,0.0,0.0,0.0,2.676620094455018e-07
5.5,6.0,0.0,0.0,0.0,1.8002974777608927e-08
6.0,6.5,0.0,0.0,0.0,9.46427713977016e-10
6.5,7.0,0.0,0.0,0.0,3.8880121344675445e-11
7.0,7.5,0.0,0.0,0.0,1.2480017019811385e-12
7.5,8.0,0.0,0.0,0.0,3.11972669919669e-14
