k,j,q0,mu_bkg,sig_frac
0,4,0.0,0.07262501789103731,1.6336466495029365e-08
0,5,0.0,0.09126714014644499,2.4288493942170915e-07
0,6,0.0,0.11847920981221231,2.8230389626831003e-06
0,7,0.0,0.15379986524762249,2.565632694017806e-05
0,8,0.0,0.1996680502040763,0.00018235547219499237
0,9,0.0,0.25922167782628813,0.001013845044590023
0,10,0.0,0.3542135041959844,0.004409905938573542
0,11,0.0,0.5003463940032417,0.015009340482779248
0,12,0.0,0.7199002890376408,0.03997877261889516
0,13,0.0,1.0732806854263373,0.08334581644909497
0,14,0.0,1.6711642731721266,0.1360079069215007
1,5,0.0,2.6950938988886236e-05,3.6630308280240505e-09
1,6,0.0,2.623973138915131e-05,4.2575215958807866e-08
1,7,0.0,4.075461965295741e-05,3.869318399876721e-07
1,8,0.0,3.7649076484221596e-05,2.7501652342032195e-06
1,9,0.0,0.00011002908114486222,1.5290143810541825e-05
1,10,0.0,0.0002102477818122295,6.650729946509563e-05
1,11,0.7282835836158483,0.0001632383119625053,0.00022636099639455727
1,12,0.5474526756479463,0.000500152568888531,0.0006029335409525503
1,13,2.103503006595929,0.0003586229920879393,0.0012569667586914252
1,14,4.405768912985877,0.0001589440260760943,0.0020511817533629805
1,15,1.3433566493495164,0.0011940590982723637,0.002620218310373362
1,16,0.3722574036637525,0.002552112079833369,0.002620218310373362
1,17,0.0,0.005562700300841286,0.0020511817533629805
1,18,0.0,0.005690150185931785,0.0012569667586914248
1,19,0.0,0.007953386993586407,0.0006029335409525505
1,20,0.0,0.010855896690531967,0.00022636099639455708
1,21,0.0,0.043014061847686844,6.650729946509583e-05
1,22,0.0,0.05963880379229102,1.5290143810541757e-05
1,23,0.0,0.07368011536763246,2.7501652342034245e-06
1,24,0.0,0.15599649357989662,3.869318399875552e-07
1,25,0.0,0.3563270755206886,3.2190288215641636e-08
2,5,0.0,2.5256307858015427e-05,3.206914033560729e-09
2,6,0.0,2.451246825648064e-05,3.7273794284125854e-08
2,7,0.0,3.0122685723659716e-05,3.387514891206351e-07
2,8,0.0,2.9214100568114378e-05,2.4077175154255154e-06
2,9,0.0,5.9926521488951667e-05,1.338623098283855e-05
2,10,0.012113879867683863,0.00010363411201104712,5.8225879606886235e-05
2,11,1.518089871849952,8.340446744486331e-05,0.00019817476021081665
2,12,1.4087228838197916,0.0002338778417194754,0.0005278568826100256
2,13,3.136864000432979,0.00017728961805195926,0.0011004505633225338
2,14,5.184570683906713,9.646554927978396e-05,0.0017957707316899095
2,15,2.4037075771539094,0.0005513887037965469,0.002293951447594518
2,16,1.215813386861555,0.001143112084085595,0.002293951447594518
2,17,0.10815015598745958,0.002447546154950807,0.0017957707316899095
2,18,0.0,0.0024958928185919932,0.0011004505633225336
2,19,0.0,0.00347315249124021,0.0005278568826100258
2,20,0.0,0.004731629437053369,0.0001981747602108165
2,21,0.0,0.018705931881268425,5.822587960688641e-05
2,22,0.0,0.02593110098039607,1.3386230982838495e-05
2,23,0.0,0.03203317937492571,2.4077175154256946e-06
2,24,0.0,0.06780797760823104,3.387514891205328e-07
2,25,0.0,0.15486799133105206,2.5610995614653887e-08
3,5,0.0,2.3706326861891855e-05,2.8287931298249704e-09
3,6,0.0,2.293278402054561e-05,3.2878914772895097e-08
3,7,0.0,2.4718228529492838e-05,2.9880996968242687e-07
3,8,0.0,2.4741943026964574e-05,2.1238282956504973e-06
3,9,0.0,3.739518270034107e-05,1.1807886910039546e-05
3,10,0.30244368478997785,5.642919190392553e-05,5.136058107148401e-05
3,11,2.274121189802827,4.744294124177954e-05,0.00017480836540124644
3,12,2.384567781802616,0.00011571256712464173,0.00046561831949081764
3,13,4.116802867916704,9.41359130544605e-05,0.0009706986095235011
3,14,5.84842265667794,6.265573710532807e-05,0.0015840349492951193
3,15,3.527429243786173,0.0002637214213395224,0.002023476160320509
3,16,2.2857798057575565,0.0005224089280993221,0.002023476160320509
3,17,0.7748981569875468,0.0010871123028277356,0.0015840349492951193
3,18,0.23665964137944684,0.001103454950961794,0.0009706986095235009
3,19,0.0,0.001523842117482598,0.0004656183194908178
3,20,0.0,0.002068931388132114,0.00017480836540124627
3,21,0.0,0.008141085328161279,5.1360581071484165e-05
3,22,0.0,0.011281370558713755,1.1807886910039496e-05
3,23,0.0,0.013933137961911363,2.1238282956506553e-06
3,24,0.0,0.029481049250575795,2.9880996968233666e-07
3,25,0.0,0.06731391056920645,1.923166996755999e-08
4,5,0.0,2.2288645390269128e-05,2.502244755149759e-09
4,6,0.0,2.148802780979608e-05,2.9083460072806092e-08
4,7,0.0,2.16528312344641e-05,2.643161394663647e-07
4,8,0.0,2.20630244599655e-05,1.8786591912993406e-06
4,9,0.0,2.6922991769681145e-05,1.0444815769146082e-05
4,10,0.6938664012959634,3.5170367437162385e-05,4.543165184211146e-05
4,11,2.843733163554134,3.0836118382280515e-05,0.00015462895143153723
4,12,3.2996665387217945,6.26028771232488e-05,0.00041186857588261766
4,13,4.948375305635636,5.502047490130163e-05,0.0008586437371125943
4,14,6.374443711927597,4.350296595849202e-05,0.0014011781568816504
4,15,4.614598943024248,0.00013313331102445206,0.0017898914402573686
4,16,3.425711189967842,0.0002470928028744871,0.0017898914402573686
4,17,1.7706702673767722,0.0004914690317430206,0.0014011781568816504
4,18,1.011314323721308,0.0004954433114016765,0.000858643737112594
4,19,0.026888820215390297,0.0006751343228080043,0.0004118685758826178
4,20,0.0,0.0009108990396557734,0.0001546289514315371
4,21,0.0,0.0035491471926904425,4.5431651842111605e-05
4,22,0.0,0.004914249059899587,1.0444815769146038e-05
4,23,0.0,0.006066567458578231,1.8786591912994801e-06
4,24,0.0,0.012823908346671095,2.643161394662849e-07
4,25,0.0,0.02926276789742753,1.2728233118578673e-08
5,5,0.0,2.0991968614137773e-05,2.2110370032149497e-09
5,6,0.0,2.016664777152271e-05,2.5698767584648285e-08
5,7,0.0,1.9665349232298227e-05,2.3355539609157007e-07
5,8,0.0,2.0227624209138135e-05,1.660023456875669e-06
5,9,0.0,2.1757625949507432e-05,9.229262688958194e-06
5,10,0.9691032138216542,2.5285474862420686e-05,4.014437961488507e-05
5,11,3.1733070938262244,2.2841147669804845e-05,0.00013663344989726792
5,12,4.021010893609855,3.822730713674719e-05,0.0003639358859135302
5,13,5.564625334436641,3.594698877105424e-05,0.000758715977494812
5,14,6.754735258820801,3.2159632828298934e-05,0.0012381109987685567
5,15,5.57960405988706,7.26394912128087e-05,0.0015815863727966473
5,16,4.520601085574526,0.0001237084768619729,0.0015815863727966473
5,17,2.8828665345863556,0.0002296369468831534,0.0012381109987685567
5,18,2.026455591492777,0.00022923497494282272,0.0007587159774948116
5,19,0.5390062987280544,0.0003051892284315477,0.0003639358859135303
5,20,0.0,0.00040697928522750456,0.00013663344989726781
5,21,0.0,0.0015530992096837333,4.014437961488519e-05
5,22,0.0,0.0021467744522216726,9.229262688958154e-06
5,23,0.0,0.0026474742320467324,1.6600234568757922e-06
5,24,0.0,0.005584446315574694,2.3355539609149953e-07
5,25,0.0,0.01272553872313195,5.859693468415822e-09
6,5,0.0,1.9805966794403257e-05,1.945003576138779e-09
6,6,0.0,1.8958090523715067e-05,2.2606674959225433e-08
6,7,0.0,1.820238397319806e-05,2.0545385715575493e-07
6,8,0.0,1.8817020474943118e-05,1.4602883422587138e-06
6,9,0.0,1.8956145755547767e-05,8.11879172942216e-06
6,10,1.082133683927168,2.042110750181515e-05,3.531418144485635e-05
6,11,3.2956316067393345,1.8731186783132795e-05,0.00012019362330162196
6,12,4.4789748420280375,2.6652266267873986e-05,0.0003201468806527411
6,13,5.945594194785372,2.6182402051231216e-05,0.0006674267718519838
6,14,6.993444418319996,2.5156120130374924e-05,0.0010891406687269663
6,15,6.347669576194676,4.380680577497751e-05,0.0013912888597472205
6,16,5.466581416492772,6.755103455415647e-05,0.0013912888597472205
6,17,3.961860388833884,0.00011381993578141673,0.0010891406687269663
6,18,3.074115363906458,0.00011216336173406814,0.0006674267718519836
6,19,1.391998483448333,0.00014360955050274476,0.0003201468806527412
6,20,0.04669875004219648,0.0001874663388975866,0.00012019362330162187
6,21,0.0,0.0006852768794167585,3.5314181444856455e-05
6,22,0.0,0.0009437336573955011,8.118791729422126e-06
6,23,0.0,0.001161272829701609,1.4602883422588229e-06
6,24,0.0,0.0024379162521393533,2.0388408776661664e-07
7,5,0.0,1.8721192534326477e-05,1.6990643821896749e-09
7,6,0.0,1.78527115512422e-05,1.9748136555723503e-08
7,7,0.0,1.7018599551450803e-05,1.7947490439571366e-07
7,8,0.0,1.764394665404214e-05,1.2756397677088665e-06
7,9,0.0,1.7232846981541967e-05,7.09219768184789e-06
7,10,1.0708375373797026,1.780166431908734e-05,3.0848821367338077e-05
7,11,3.2744735287415097,1.6413220658570483e-05,0.00010499554181978414
7,12,4.686596818479302,2.0855524287927206e-05,0.00027966537885038294
7,13,6.119447711253088,2.086339018191831e-05,0.0005830328898545057
7,14,7.104856704343547,2.066285100186922e-05,0.0009514224755832508
7,15,6.872227431558713,2.9522195339979285e-05,0.001215365038879045
7,16,6.171727552677112,4.1397851343841795e-05,0.001215365038879045
7,17,4.874287264397935,6.208084310646881e-05,0.0009514224755832508
7,18,3.988813455631316,6.029793743538864e-05,0.0005830328898545054
