k,j,q0,mu_bkg,sig_frac
0,10,0.0,0.3542135041959844,0.0003816546117792771
0,11,0.0,0.5003463940032417,0.001050477673925805
0,12,0.0,0.7199002890376408,0.0023004476704731026
0,13,0.0,1.0732806854263373,0.004567564606559199
0,14,0.0,1.6711642731721266,0.0073342964135937085
1,5,0.0,2.6950938988886236e-05,2.692146265320199e-06
1,6,0.0,2.623973138915131e-05,1.2754446625665047e-05
1,7,0.03334171269307262,4.075461965295741e-05,4.891943929463163e-05
1,8,1.4644480170045426,3.7649076484221596e-05,0.00016720898824916446
1,9,1.5005351646759664,0.00011002908114486222,0.0005292692141295158
1,10,1.856284452320324,0.0002102477818122295,0.0012803528644445917
1,11,3.8595971088270744,0.0001632383119625053,0.00303838244435018
1,12,2.7985681765876507,0.000500152568888531,0.005302866105837987
1,13,4.305440216992793,0.0003586229920879393,0.008570728754699188
1,14,6.326489296698128,0.0001589440260760943,0.01121454662304595
1,15,2.7073962802151073,0.0011940590982723637,0.012109964083269753
1,16,1.2832514886922581,0.002552112079833369,0.011001234883050215
1,17,0.1177156170251692,0.005562700300841286,0.008570728754699188
1,18,0.0,0.005690150185931785,0.005005988076786324
1,19,0.0,0.007953386993586407,0.002760202978719933
1,20,0.0,0.010855896690531967,0.0010771275281665795
1,21,0.0,0.043014061847686844,0.0003674609939277245
1,22,0.0,0.05963880379229102,0.00010750609745216354
1,23,0.0,0.07368011536763246,2.0222201168236404e-05
1,24,0.0,0.15599649357989662,4.107569213269383e-06
2,5,0.0,2.5256307858015427e-05,3.874567513877728e-06
2,6,0.0,2.451246825648064e-05,1.8356344597573907e-05
2,7,0.5799537913244421,3.0122685723659716e-05,7.040541323097452e-05
2,8,2.5179893732947676,2.9214100568114378e-05,0.00024064907700010123
2,9,3.213066577913196,5.9926521488951667e-05,0.0007617302705943105
2,10,3.798697634943892,0.00010363411201104712,0.001842698399704995
2,11,5.889039200346815,8.340446744486331e-05,0.00437287455933061
2,12,4.927307046058559,0.0002338778417194754,0.0076319451913878155
2,13,6.4073725295384065,0.00017728961805195926,0.012335090270166103
2,14,8.108286971872076,9.646554927978396e-05,0.01614010300564148
2,15,4.847723877312092,0.0005513887037965469,0.01742879799500136
2,16,3.281507881178186,0.001143112084085595,0.015833102324154396
2,17,1.5265102817775187,0.002447546154950807,0.012335090270166103
2,18,0.7277093594366306,0.0024958928185919932,0.00720467495656987
2,19,0.004314827159760171,0.00347315249124021,0.003972515509585359
2,20,0.0,0.004731629437053369,0.0015502141851275937
2,21,0.0,0.018705931881268425,0.0005288540403729677
2,22,0.0,0.02593110098039607,0.00015472399776257463
2,23,0.0,0.03203317937492571,2.9104021841186975e-05
2,24,0.0,0.06780797760823104,5.911660313465525e-06
3,5,0.0,2.3706326861891855e-05,4.6742530280173165e-06
3,6,0.0,2.293278402054561e-05,2.214497463554764e-05
3,7,1.0932006017428648,2.4718228529492838e-05,8.493663223184667e-05
3,8,3.1622864161490725,2.4741943026964574e-05,0.00029031748003573263
3,9,4.4913246875185,3.739518270034107e-05,0.0009189464401136429
3,10,5.361881718345103,5.642919190392553e-05,0.0022230193547262446
3,11,7.409538580021035,4.744294124177954e-05,0.005275407404021307
3,12,6.697606967512911,0.00011571256712464173,0.009207129000264588
3,13,8.06514632409926,9.41359130544605e-05,0.014880972609117471
3,14,9.408123222607173,6.265573710532807e-05,0.019471315205223154
3,15,6.674281472232906,0.0002637214213395224,0.0210259884518838
3,16,5.136570500328162,0.0005224089280993221,0.019100951581436865
3,17,3.261607074189669,0.0010871123028277356,0.014880972609117471
3,18,2.2703264089595905,0.001103454950961794,0.008691672970210628
3,19,0.839288094006406,0.001523842117482598,0.0047924168524660525
3,20,0.0,0.002068931388132114,0.0018701683021277512
3,21,0.0,0.008141085328161279,0.0006380060718360079
3,22,0.0,0.011281370558713755,0.0001866580237557533
3,23,0.0,0.013933137961911363,3.511090250238015e-05
3,24,0.0,0.029481049250575795,7.131788521390583e-06
4,5,0.0,2.2288645390269128e-05,4.94704378636424e-06
4,6,0.0074657641525845975,2.148802780979608e-05,2.3437361758836682e-05
4,7,1.3740947942114872,2.16528312344641e-05,8.989355864962496e-05
4,8,3.4760798716488353,2.20630244599655e-05,0.0003072604921203625
4,9,5.258149816738296,2.6922991769681145e-05,0.0009725764200861085
4,10,6.43284890679206,3.5170367437162385e-05,0.0023527554070881525
4,11,8.407902790873777,3.0836118382280515e-05,0.005583281705584814
4,12,8.06125708079162,6.26028771232488e-05,0.009744459711102353
4,13,9.28463126072893,5.502047490130163e-05,0.015749430473646648
4,14,10.299990101599178,4.350296595849202e-05,0.020607666791028902
4,15,8.165834403565896,0.00013313331102445206,0.022253071217922235
4,16,6.730609591873872,0.0002470928028744871,0.02021568863906213
4,17,4.881444460352213,0.0004914690317430206,0.015749430473646648
4,18,3.8362438313470193,0.0004954433114016765,0.009198921518082442
4,19,2.1905208046446205,0.0006751343228080043,0.0050721036857766825
4,20,0.4043131574508152,0.0009108990396557734,0.001979311865027726
4,21,0.0,0.0035491471926904425,0.0006752402906775819
4,22,0.0,0.004914249059899587,0.00019755143999716465
4,23,0.0,0.006066567458578231,3.7159984925274105e-05
4,24,0.0,0.012823908346671095,7.548001761764786e-06
5,5,0.0,2.0991968614137773e-05,4.724991395662529e-06
5,6,0.009106277111641248,2.016664777152271e-05,2.2385355260605263e-05
5,7,1.445194544216065,1.9665349232298227e-05,8.585860758210998e-05
5,8,3.543897593373913,2.0227624209138135e-05,0.0002934688359738027
5,9,5.588388170765029,2.1757625949507432e-05,0.0009289214761344296
5,10,7.009888232540106,2.5285474862420686e-05,0.002247149921177493
5,11,8.925513324667918,2.2841147669804845e-05,0.005332671218953687
5,12,8.983524634060814,3.822730713674719e-05,0.009307071107243438
5,13,10.071990078897215,3.594698877105424e-05,0.015042503500713211
5,14,10.84027473797505,3.2159632828298934e-05,0.01968267362837584
5,15,9.311270439840882,7.26394912128087e-05,0.021254222637277945
5,16,8.032289128512275,0.0001237084768619729,0.019308289758874685
5,17,6.290533637682529,0.0002296369468831534,0.015042503500713211
5,18,5.238562218748484,0.00022923497494282272,0.008786019873549225
5,19,3.5452078516664187,0.0003051892284315477,0.004844437872019774
5,20,1.4066477246306022,0.00040697928522750456,0.0018904687193929304
5,21,0.0,0.0015530992096837333,0.0006449315391649393
5,22,0.0,0.0021467744522216726,0.000188684170687997
5,23,0.0,0.0026474742320467324,3.549202647424107e-05
5,24,0.0,0.005584446315574694,7.209203095611805e-06
6,5,0.0,1.9805966794403257e-05,4.144308408545442e-06
6,6,0.00025822839052125346,1.8958090523715067e-05,1.9634282534348417e-05
6,7,1.3513456012660754,1.820238397319806e-05,7.530692006660233e-05
6,8,3.4225939051211753,1.8817020474943118e-05,0.00025740266229664466
6,9,5.594296073626538,1.8956145755547767e-05,0.0008147606550048667
6,10,7.1716671709218645,2.042110750181515e-05,0.0019709839730390195
6,11,9.05427747190879,1.8731186783132795e-05,0.004677306755099221
6,12,9.457286068049143,2.6652266267873986e-05,0.008163268420782153
6,13,10.455002644474007,2.6182402051231216e-05,0.013193838575199927
6,14,11.075781858800838,2.5156120130374924e-05,0.017263749918278084
6,15,10.086523543333897,4.380680577497751e-05,0.01864216169232133
6,16,8.998804117567488,6.755103455415647e-05,0.01693537636402744
6,17,7.435424734803746,0.00011381993578141673,0.013193838575199927
6,18,6.398037780305458,0.00011216336173406814,0.007706252348527676
6,19,4.741373745719102,0.00014360955050274476,0.004249075379506041
6,20,2.4871938455326017,0.0001874663388975866,0.0016581374977876952
6,21,0.0,0.0006852768794167585,0.0005656719720486683
6,22,0.0,0.0009437336573955011,0.00016549562309457787
6,23,0.0,0.001161272829701609,3.1130195049358414e-05
7,5,0.0,1.8721192534326477e-05,3.372592545837803e-06
7,6,0.0,1.78527115512422e-05,1.5978162914149048e-05
7,7,1.1303716578768217,1.7018599551450803e-05,6.128394227199112e-05
7,8,3.1469227411525935,1.764394665404214e-05,0.0002094714520643403
7,9,5.365120068658143,1.7232846981541967e-05,0.0006630432489158725
7,10,7.023596651550179,1.780166431908734e-05,0.0016039650528253604
7,11,8.892495908994533,1.6413220658570483e-05,0.003806340730896757
7,12,9.532583694897767,2.0855524287927206e-05,0.006643177947093448
7,13,10.490772192364602,2.086339018191831e-05,0.010737000542226566
7,14,11.046946558664786,2.066285100186922e-05,0.014049049575446003
7,15,10.476053958123885,2.9522195339979285e-05,0.015170785898121115
7,16,9.57554307585633,4.1397851343841795e-05,0.013781822793039456
7,17,8.241788543991788,6.208084310646881e-05,0.010737000542226566
7,18,7.229210314311786,6.029793743538864e-05,0.006271263300144068
7,19,5.674547047688975,7.278502139066252e-05,0.0034578507531138713
7,20,3.4237354598444654,9.16489863997849e-05,0.0013493740363245963
7,21,0.14577418854241841,0.00030782320939133124,0.00046033762168542293
7,22,0.0,0.0004206220432567717,0.00013467851564006878
7,23,0.0,0.0005151263622498974,2.533340992611888e-05
8,5,0.0,1.7729005226549885e-05,2.5601338098558146e-06
8,6,0.0,1.6841694784979678e-05,1.212901782232207e-05
8,7,0.8168973260326311,1.6002971681395017e-05,4.6520618924276645e-05
8,8,2.738763431787447,1.6622290858636642e-05,0.0001590097052462916
8,9,4.955012768143206,1.6023458386793606e-05,0.0005033158959688356
8,10,6.647546636144398,1.621041887174031e-05,0.0012175693048462482
8,11,8.511214872542041,1.4951508431348278e-05,0.002889391903871192
8,12,9.292687365537859,1.7720837249614866e-05,0.0050428340323030564
8,13,10.245699007047733,1.7746271072017052e-05,0.008150453317735711
8,14,10.787169116561927,1.7674838308661845e-05,0.010664628568555686
8,15,10.498185717793604,2.2081058767047104e-05,0.011516138214738127
8,16,9.736615848312795,2.880479856623004e-05,0.010461776812454202
8,17,8.6270995972136,3.8600424677686995e-05,0.008150453317735711
8,18,7.638473403581884,3.703326129338861e-05,0.004760513755218067
8,19,6.230319371014048,4.153934004320441e-05,0.0026248532848734928
8,20,4.060749422978915,4.9657212505540226e-05,0.0010243093541790526
8,21,0.6073136033828632,0.00014351787691005964,0.0003494421259632781
8,22,0.0,0.00019303183475689065,0.00010223441363435823
8,23,0.0,0.00023408765028620562,1.923058252347599e-05
9,5,0.0,1.682150203440043e-05,1.8165320483400995e-06
9,6,0.0,1.5916980042525634e-05,8.60609297229552e-06
