k,j,q0,mu_bkg,sig_frac
0,10,0.0,0.3542135041959844,0.006749762424449417
0,11,0.0,0.5003463940032417,0.018578249842525346
0,12,0.0,0.7199002890376408,0.04068462627290765
0,13,0.0,1.0732806854263373,0.0807797809880215
0,14,0.0,1.6711642731721266,0.12971088731630237
1,5,0.0,2.6950938988886236e-05,5.278640480700621e-08
1,6,0.0,2.623973138915131e-05,2.500835082196521e-07
1,7,0.0,4.075461965295741e-05,9.591905754909122e-07
1,8,0.0,3.7649076484221596e-05,3.2785593616476665e-06
1,9,0.0,0.00011002908114486222,1.0377674998131558e-05
1,10,0.0,0.0002102477818122295,2.5104588658129134e-05
1,11,0.0,0.0001632383119625053,5.957524958135723e-05
1,12,0.0,0.000500152568888531,0.00010397623654627975
1,13,0.008489299301800202,0.0003586229920879393,0.00016805103176026356
1,14,0.8744801721149997,0.0001589440260760943,0.0002198898348863447
1,15,0.0,0.0011940590982723637,0.00023744678160038713
1,16,0.0,0.002552112079833369,0.00021570731330401062
1,17,0.0,0.005562700300841286,0.00016805103176026356
1,18,0.0,0.005690150185931785,9.815518439109038e-05
1,19,0.0,0.007953386993586407,5.412083052882913e-05
1,20,0.0,0.010855896690531967,2.1119836787102838e-05
1,21,0.0,0.043014061847686844,7.2050114906913055e-06
1,22,0.0,0.05963880379229102,2.1079316723738285e-06
1,23,0.0,0.07368011536763246,3.965079129265955e-07
1,24,0.0,0.15599649357989662,8.053938749819192e-08
2,5,0.0,2.5256307858015427e-05,3.1753211925190336e-08
2,6,0.0,2.451246825648064e-05,1.5043560296494578e-07
2,7,0.0,3.0122685723659716e-05,5.769929157244989e-07
2,8,0.0,2.9214100568114378e-05,1.9721894415870036e-06
2,9,0.0,5.9926521488951667e-05,6.242601948573767e-06
2,10,0.0,0.00010363411201104712,1.5101451346625904e-05
2,11,0.0017429533963877475,8.340446744486331e-05,3.5836983639428725e-05
2,12,0.0,0.0002338778417194754,6.254601892871346e-05
2,13,0.08049193764782103,0.00017728961805195926,0.0001010896658948496
2,14,0.9167140969784668,9.646554927978396e-05,0.00013227285610507204
2,15,0.0,0.0005513887037965469,0.0001428340877670599
2,16,0.0,0.001143112084085595,0.00012975689589389452
2,17,0.0,0.002447546154950807,0.0001010896658948496
2,18,0.0,0.0024958928185919932,5.904441461625645e-05
2,19,0.0,0.00347315249124021,3.255592434514746e-05
2,20,0.0,0.004731629437053369,1.270445781973955e-05
2,21,0.0,0.018705931881268425,4.334113255559069e-06
2,22,0.0,0.02593110098039607,1.2680083320965843e-06
2,23,0.0,0.03203317937492571,2.3851595567467046e-07
2,24,0.0,0.06780797760823104,4.844778213074435e-08
3,5,0.0,2.3706326861891855e-05,1.672885978306006e-08
3,6,0.0,2.293278402054561e-05,7.925548175440484e-08
3,7,0.0,2.4718228529492838e-05,3.0398290433468564e-07
3,8,0.0,2.4741943026964574e-05,1.0390281371116047e-06
3,9,0.0,3.739518270034107e-05,3.2888519411890044e-06
3,10,0.0,5.642919190392553e-05,7.956047491938692e-06
3,11,0.0,4.744294124177954e-05,1.8880353765919915e-05
3,12,0.0,0.00011571256712464173,3.295173990940433e-05
3,13,0.08486850615918229,9.41359130544605e-05,5.3258071978845685e-05
3,14,0.6921972729523986,6.265573710532807e-05,6.968662156445347e-05
3,15,0.0,0.0002637214213395224,7.525070005912849e-05
3,16,0.0,0.0005224089280993221,6.836111327597836e-05
3,17,0.0,0.0010871123028277356,5.3258071978845685e-05
3,18,0.0,0.001103454950961794,3.110695495672428e-05
3,19,0.0,0.001523842117482598,1.715176073403222e-05
3,20,0.0,0.002068931388132114,6.6932156024701086e-06
3,21,0.0,0.008141085328161279,2.2833839016654066e-06
3,22,0.0,0.011281370558713755,6.680374143368953e-07
3,23,0.0,0.013933137961911363,1.2565972815300363e-07
3,24,0.0,0.029481049250575795,2.5524225894845657e-08
4,5,0.0,2.2288645390269128e-05,7.756175803267868e-09
4,6,0.0,2.148802780979608e-05,3.674604592491884e-08
4,7,0.0,2.16528312344641e-05,1.4093876556938292e-07
4,8,0.0,2.20630244599655e-05,4.81735456001615e-07
4,9,0.0,2.6922991769681145e-05,1.5248447400229564e-06
4,10,0.0,3.5170367437162385e-05,3.6887453088172813e-06
4,11,0.0,3.0836118382280515e-05,8.753695406345176e-06
4,12,0.0,6.26028771232488e-05,1.5277758979108806e-05
4,13,0.008746224573769723,5.502047490130163e-05,2.469259558438719e-05
4,14,0.2879917748268781,4.350296595849202e-05,3.2309535437497086e-05
4,15,0.0,0.00013313331102445206,3.488926720329154e-05
4,16,0.0,0.0002470928028744871,3.1694976199902644e-05
4,17,0.0,0.0004914690317430206,2.469259558438719e-05
4,18,0.0,0.0004954433114016765,1.442244208376973e-05
4,19,0.0,0.0006751343228080043,7.95224978354181e-06
4,20,0.0,0.0009108990396557734,3.103245384034028e-06
4,21,0.0,0.0035491471926904425,1.0586691022183349e-06
4,22,0.0,0.004914249059899587,3.0972915643684514e-07
4,23,0.0,0.006066567458578231,5.8260930845536854e-08
4,24,0.0,0.012823908346671095,1.1834063160910304e-08
5,5,0.0,2.0991968614137773e-05,3.699343191588413e-09
5,6,0.0,2.016664777152271e-05,1.7526193095426017e-08
5,7,0.0,1.9665349232298227e-05,6.722138281346093e-08
5,8,0.0,2.0227624209138135e-05,2.2976590842041888e-07
5,9,0.0,2.1757625949507432e-05,7.272816076263597e-07
5,10,0.0,2.5285474862420686e-05,1.7593637882637394e-06
5,11,0.0,2.2841147669804845e-05,4.175114685907206e-06
5,12,0.0,3.822730713674719e-05,7.286796366616987e-06
5,13,0.0,3.594698877105424e-05,1.1777245342899831e-05
5,14,0.02583438241163094,3.2159632828298934e-05,1.541017931720049e-05
5,15,0.0,7.26394912128087e-05,1.6640594071323936e-05
5,16,0.0,0.0001237084768619729,1.511706250434216e-05
5,17,0.0,0.0002296369468831534,1.1777245342899831e-05
5,18,0.0,0.00022923497494282272,6.878849098055846e-06
5,19,0.0,0.0003051892284315477,3.792861564865671e-06
5,20,0.0,0.00040697928522750456,1.4801069463146588e-06
5,21,0.0,0.0015530992096837333,5.049370249945014e-07
5,22,0.0,0.0021467744522216726,1.4772672450491829e-07
5,23,0.0,0.0026474742320467324,2.778781493944905e-08
5,24,0.0,0.005584446315574694,5.644310043191121e-09
6,5,0.0,1.9805966794403257e-05,3.0521378754834808e-09
6,6,0.0,1.8958090523715067e-05,1.4459960860408417e-08
6,7,0.0,1.820238397319806e-05,5.54609069506859e-08
6,8,0.0,1.8817020474943118e-05,1.895680382342999e-07
6,9,0.0,1.8956145755547767e-05,6.000426632020082e-07
6,10,0.0,2.042110750181515e-05,1.4515606086842078e-06
6,11,0.0,1.8731186783132795e-05,3.444672474919294e-06
6,12,0.0,2.6652266267873986e-05,6.0119610508311995e-06
6,13,0.0,2.6182402051231216e-05,9.716799636665156e-06
6,14,0.042927568194500054,2.5156120130374924e-05,1.2714146681217879e-05
6,15,0.0,4.380680577497751e-05,1.3729298636341401e-05
6,16,0.0,6.755103455415647e-05,1.2472311068750206e-05
6,17,0.0,0.00011381993578141673,9.716799636665156e-06
6,18,0.0,0.00011216336173406814,5.6753847330657555e-06
6,19,0.0,0.00014360955050274476,3.129295077275987e-06
6,20,0.0,0.0001874663388975866,1.2211601456401936e-06
6,21,0.0,0.0006852768794167585,4.1659757932811247e-07
6,22,0.0,0.0009437336573955011,1.218817254121741e-07
6,23,0.0,0.001161272829701609,2.2926297469903497e-08
7,5,0.0,1.8721192534326477e-05,4.392321482099556e-09
7,6,0.0,1.78527115512422e-05,2.0809281660458993e-08
7,7,0.0,1.7018599551450803e-05,7.981360703688196e-08
7,8,0.0,1.764394665404214e-05,2.7280673436945854e-07
7,9,0.0,1.7232846981541967e-05,8.635194041949742e-07
7,10,0.0,1.780166431908734e-05,2.0889360521051803e-06
7,11,0.0,1.6413220658570483e-05,4.9572167207513e-06
7,12,5.499938561115414e-05,2.0855524287927206e-05,8.651793185761218e-06
7,13,0.20150733684567967,2.086339018191831e-05,1.3983414092858047e-05
7,14,0.4611662769166287,2.066285100186922e-05,1.829688627209604e-05
7,15,0.20580540205992293,2.9522195339979285e-05,1.9757788079940516e-05
7,16,0.0018512098667997634,4.1397851343841795e-05,1.794886144519984e-05
7,17,0.0,6.208084310646881e-05,1.3983414092858047e-05
7,18,0.0,6.029793743538864e-05,8.167427324453939e-06
7,19,0.0,7.278502139066252e-05,4.503358155001574e-06
7,20,0.0,9.16489863997849e-05,1.7573675107745883e-06
7,21,0.0,0.00030782320939133124,5.995241931145342e-07
7,22,0.0,0.0004206220432567717,1.7539958633698663e-07
7,23,0.0,0.0005151263622498974,3.299315856303191e-08
8,5,0.0,1.7729005226549885e-05,6.5867223411187194e-09
8,6,0.0,1.6841694784979678e-05,3.120558478566997e-08
8,7,0.0,1.6002971681395017e-05,1.1968843144509724e-07
8,8,0.0,1.6622290858636642e-05,4.091007954226571e-07
8,9,0.0,1.6023458386793606e-05,1.2949331178923126e-06
8,10,0.0,1.621041887174031e-05,3.132567099116918e-06
8,11,0.020580880000125035,1.4951508431348278e-05,7.433838861160067e-06
8,12,0.25963746201341564,1.7720837249614866e-05,1.29742232438214e-05
8,13,0.7895195504534058,1.7746271072017052e-05,2.0969518371072367e-05
8,14,1.1687612012174213,1.7674838308661845e-05,2.743799835063889e-05
8,15,0.9688550872251653,2.2081058767047104e-05,2.9628765719358517e-05
8,16,0.48778046899315086,2.880479856623004e-05,2.691610055424048e-05
8,17,0.050192135549878,3.8600424677686995e-05,2.0969518371072367e-05
8,18,0.0,3.703326129338861e-05,1.224786852389711e-05
8,19,0.0,4.153934004320441e-05,6.753232861140494e-06
8,20,0.0,4.9657212505540226e-05,2.63534713748733e-06
8,21,0.0,0.00014351787691005964,8.990460768689178e-07
8,22,0.0,0.00019303183475689065,2.630291017306336e-07
8,23,0.0,0.00023408765028620562,4.947651839621628e-08
9,5,0.0,1.682150203440043e-05,8.843108327872355e-09
9,6,0.0,1.5916980042525634e-05,4.1895551748339764e-08
9,7,0.0,1.5103233698024986e-05,1.606895979590286e-07
9,8,0.0,1.5710379750609343e-05,5.492447477794932e-07
9,9,0.0,1.5078120903341458e-05,1.7385329524800177e-06
9,10,0.0,1.5110798974195431e-05,4.205677538415076e-06
9,11,0.21906504083199252,1.3921538727449182e-05,9.980418019263348e-06
9,12,0.6779986864239618,1.5851108936675904e-05,1.7418748760498894e-05
9,13,1.3596842518163612,1.5770557580840108e-05,2.8152958776034745e-05
9,14,1.8011372300661606,1.5618201300271972e-05,3.6837318949969896e-05
9,15,1.706266343662719,1.7960548524253743e-05,3.977856835436867e-05
9,16,1.1652981568240648,2.2450894619388624e-05,3.613663680327944e-05
9,17,0.5302382308855158,2.7674908913167423e-05,2.8152958776034745e-05
9,18,0.09581681082272553,2.6375935953196542e-05,1.6443569735165802e-05
9,19,0.0,2.7589789905444517e-05,9.06665966190852e-06
9,20,0.0,3.110862680320519e-05,3.538127009372405e-06
9,21,0.0,7.187514017860586e-05,1.2070285398048474e-06
9,22,0.0,9.389717497709556e-05,3.5313388351996223e-07
9,23,0.0,0.00011174353880614195,6.642548284332242e-08
10,5,0.0,1.5991454819711237e-05,1.0678825298990803e-08
10,6,0.0,1.5071197310169583e-05,5.0592536169122337e-08
10,7,0.0,1.4293004354724658e-05,1.9404671755077303e-07
10,8,0.0,1.488626335273659e-05,6.632609813722204e-07
10,9,0.0,1.4284279013129425e-05,2.099430312026906e-06
10,10,0.0,1.4263645995648435e-05,5.078722778400024e-06
10,11,0.4424529062362126,1.3126434295314803e-05,1.2052226037160393e-05
10,12,1.0221003918213682,1.4610506501102867e-05,2.1034659764835716e-05
10,13,1.782356105017243,1.4419099155849772e-05,3.399715544266084e-05
10,14,2.2622791330850305,1.4153750554815804e-05,4.448427848724303e-05
10,15,2.241463304790159,1.551560336365265e-05,4.803609391071102e-05
10,16,1.678675934083003,1.904046075140464e-05,4.363814362637681e-05
10,17,1.002182825228374,2.238997829180747e-05,3.399715544266084e-05
10,18,0.38916186954702425,2.1319588024028585e-05,1.9857045959749854e-05
10,19,0.0062871730278857285,2.122477738625252e-05,1.0948783050611256e-05
10,20,0.0,2.2787473480914893e-05,4.272597238195235e-06
10,21,0.0,4.0527517279413334e-05,1.457592334003803e-06
10,22,0.0,5.0609130632606975e-05,4.2643999252818796e-07
10,23,0.0,5.838549393639494e-05,8.02145694008047e-08
11,5,0.0,1.2837541856987772e-05,3.055373827188936e-09
11,6,0.0,1.1044103177232344e-05,1.3379616468923127e-08
11,7,0.0,1.1892220325403672e-05,4.8424411791356055e-08
11,8,0.0,1.1566476789540704e-05,4.3329980342008776e-07
11,9,0.0,1.1867482731506298e-05,6.343160981411199e-07
11,10,0.000748465850847424,1.1812609044868073e-05,4.919952453925884e-06
11,11,0.1846969056823582,9.698240468913171e-06,6.393725829043171e-06
11,12,1.6310343037257553,1.0676000240961193e-05,2.2064040384101998e-05
11,13,1.9574875287471514,1.2811277102729124e-05,3.153969269701793e-05
11,14,2.750949417861193,1.1776357420139167e-05,4.6171576008646964e-05
11,15,3.35097321869398,1.0534125280045353e-05,5.8589929409776616e-05
11,16,2.851610334486395,1.2578613270334445e-05,5.4549213345096576e-05
11,17,1.9953243594627565,1.3948077774983486e-05,3.8160677649246864e-05
11,18,0.0,9.515500567802151e-05,3.0797299033603066e-05
11,19,0.0,0.0002396333586009398,1.0543757007127335e-05
11,20,0.0,0.00025115151754349685,6.393725829043171e-06
