,L10_1000,O1s_1000_d350,O1s_1000_d300,O1s_1000,O1v_1000,O4s_1000,O10s_1000,O11s_1000
baseline,2.9601133333028726,2.7778919885779723,2.27345685979119,0.0,1.0305773688415933,2.129924112564208,2.6441671613258744,0.23471462144386904
no veto samples,2.963893775279937,2.7817593503269853,2.2782248176913886,0.0,1.0428771159840238,2.1361840386441187,2.6488700016514186,0.2587278734704962
nuisances fixed,2.985645304441523,2.798667260706526,2.3003302898454336,0.0,1.1838840489928528,2.209873950743142,2.6929365641212173,0.4715632708096191
1D in S1c (|d|<3 merged),2.523871174832661,2.2567456559395636,1.642922214305647,1.0635662089255886,2.508069703958732,2.3080801427309114,2.3869631229517254,1.5212606119979435
ER-tail constraint 15%,2.960786382567128,2.7780937488553987,2.273801676794091,0.0,1.0387542720407374,2.134254691808667,2.646481239629901,0.24612620487665693
ER-tail constraint 100%,2.959855170926366,2.777813748372634,2.2733237257976393,0.0,1.0274591774960575,2.1282735086904436,2.643283757057434,0.23036010493058395
MSSI x2,2.819985770317697,2.628519772200346,2.092049149429502,0.0,0.7079741429753044,1.9374735374637477,2.4873050194881374,0.0
accidentals+MSSI x2,2.7483581393415153,2.552698460215478,1.9995526833518664,0.0,0.545303645244836,1.8337311616101446,2.4046119470737555,0.0
accidentals+MSSI x0.5,3.1514716089938775,2.9801728912938517,2.5134181942278593,0.0,1.417042532258968,2.3851989979130397,2.856963129704711,0.7550828114409789
band 0.0212 dex (event at -2.33),1.550455120463524,1.218077515012087,0.17548872838833382,0.0,0.0,0.0,1.0193806660327644,0.0
event one d-bin lower,2.6476935206286223,2.4439534705737245,1.8650523353835948,0.0,0.31798804928501906,1.6962373588733664,2.292806245521543,0.0
event one d-bin higher,3.15227659697158,2.981396208920669,2.5147905025618758,0.0,1.4143826925095746,2.3838435503283777,2.8567196392962124,0.7522318504589084
signal d-mean -0.25,3.083547561009502,2.916824781984826,2.4371019851293863,0.0,1.180593737662314,2.24096557773192,2.756456881272992,0.4418304179773934
