,L10_1000,O1s_1000_d350,O1s_1000_d300,O1s_1000,O1v_1000,O4s_1000,O10s_1000,O11s_1000
baseline,3.108763718983941,3.038880212369022,2.6110527140247055,0.0,1.320357163638767,2.3498823998176976,2.823751899419888,0.9794312086017374
no veto samples,3.1123529638054563,3.0424140523153436,2.6152017733068544,0.0,1.3303655940682544,2.3554893277800995,2.8281197175720143,0.9920707977699998
nuisances fixed,3.13358357827624,3.057851548835375,2.6346734792541264,0.0,1.463979454095993,2.429393676742755,2.872161504037425,1.1456800144250028
1D in S1c (|d|<3 merged),2.514474934576262,2.379384890820955,1.837299830228817,1.311085764461591,2.5012222187875337,2.314088132547903,2.385563146576942,1.7562551714974466
ER-tail constraint 15%,3.109447237979982,3.0390661929799596,2.61138547000271,0.0,1.3284706874697658,2.3543404823056564,2.826132047348258,0.9884777336931833
ER-tail constraint 100%,3.108501636990223,3.0388080954807544,2.610924347537467,0.0,1.3172666663634216,2.348184583361251,2.822843756410972,0.9759832663802009
MSSI x2,2.975434418050211,2.902433155474169,2.452221394333236,0.0,1.0415225168690865,2.174115297863023,2.6768129118475184,0.6480664747850942
accidentals+MSSI x2,2.9074436319468804,2.833415677446092,2.37130355368382,0.0,0.895531406095926,2.079239582060008,2.599550565284392,0.48261714673000516
accidentals+MSSI x0.5,3.291685093825932,3.225345049606171,2.824749895243807,0.0,1.666424065770245,2.5860348729389635,3.0245027519445324,1.3734570887503221
band 0.0212 dex (event at -2.33),2.719192578260693,2.639529678800521,2.140923498638545,0.0,0.4804484255806977,1.826099639618222,2.391356756725561,0.0
event one d-bin lower,2.719192578260693,2.639529678800521,2.140923498638545,0.0,0.4804484255806977,1.826099639618222,2.391356756725561,0.0
event one d-bin higher,3.17600623993458,3.1075990001550826,2.6902063888563297,0.0,1.450672418468645,2.4367443168818315,2.8973965117030898,1.1297953680269328
