delta_keV,G_LZ,tau_BL_s,tau_BL_over_floor,Gnu_required_for_floor,sin_thetaZZp_x_gchi_required
250.0,5.101267797609877e-08,321232211362.73303,4.46155849114907e-06,1.0775102706167153e-10,2.4109152911443697e-06
280.0,9.105508286145229e-08,57210643429.70793,7.945922698570546e-07,8.116641453995471e-11,1.8160880251260954e-06
300.0,1.41600271616938e-07,16754864898.455372,2.3270645692299127e-07,6.830748624540174e-11,1.5283711680485029e-06
320.0,2.528500414718934e-07,3805392226.768157,5.28526698162244e-08,5.812948754510738e-11,1.3006397638202847e-06
340.0,5.780643461184209e-07,537685622.7546374,7.467855871592186e-09,4.9954446065984146e-11,1.1177242683004414e-06
350.0,1.0134580695902811e-06,151329495.70356938,2.1017985514384636e-09,4.64623668227241e-11,1.0395894469901555e-06
360.0,2.0789321618184115e-06,31237929.247083977,4.338601284317219e-10,4.3302721137824545e-11,9.688927835424587e-07
366.0,3.5696167639050285e-06,9754988.566793544,1.35485952316577e-10,4.15497798140051e-11,9.296709481936755e-07
370.0,5.371162092505355e-06,4080658.381760744,5.667581085778811e-11,4.0435901502125066e-11,9.047480650637669e-07
380.0,1.9947793992638676e-05,258921.2200056858,3.5961280556345254e-12,3.782791884142056e-11,8.463947904157849e-07
