m_chi_GeV,model,delta_keV,G_LZ,G_relic_contact,ratio_G,ratio_rate,Omega_h2_at_LZ_coupling,N_thermal_fixed_point,delta_N_thermal_1
300.0,B-L,250.0,7.058377026736107e-08,1.4166257883576926e-07,0.49825275557908266,0.2482558084421491,0.48337237607056244,4.028103133921354,
300.0,B-L,270.0,1.307252897338989e-07,1.4166257883576926e-07,0.9227933785212956,0.8515476194427472,0.14091989368548527,1.1743324473790437,
300.0,B-L,300.0,7.615043450992018e-07,1.4166257883576926e-07,5.375479899896647,28.89578415419287,0.004152854941041204,0.034607124508676715,
300.0,B-L,,,1.4166257883576926e-07,,,,,272.0646209074189
300.0,U(1)_B,250.0,7.058377026736107e-08,2.553858459034129e-07,0.27638090128947823,0.07638640259758431,1.5709602222293284,13.0913351852444,
300.0,U(1)_B,270.0,1.307252897338989e-07,2.553858459034129e-07,0.5118736681411048,0.2620146521362299,0.45798965447782714,3.816580453981893,
300.0,U(1)_B,300.0,7.615043450992018e-07,2.553858459034129e-07,2.9817797552774445,8.891010508982417,0.013496778558383922,0.11247315465319933,
300.0,U(1)_B,,,2.553858459034129e-07,,,,,284.91737828046735
1000.0,B-L,250.0,5.101267797609877e-08,4.360862223268701e-08,1.169784216155814,1.3683951123672724,0.08769397004963317,0.7307830837469432,
1000.0,B-L,270.0,7.492488310310828e-08,4.360862223268701e-08,1.718120850122801,2.951939255626696,0.04065124299941735,0.3387603583284779,
1000.0,B-L,300.0,1.41600271616938e-07,4.360862223268701e-08,3.2470705187929783,10.543466954014502,0.011381455504473234,0.09484546253727694,
1000.0,B-L,350.0,1.0134580695902811e-06,4.360862223268701e-08,23.23985527868018,540.0908733739991,0.00022218483206418315,0.0018515402672015264,
1000.0,B-L,,,4.360862223268701e-08,,,,,242.3346918596426
1000.0,U(1)_B,250.0,5.101267797609877e-08,7.861656175614596e-08,0.6488795342428059,0.4210446499591607,0.2850054026613078,2.3750450221775656,
1000.0,U(1)_B,270.0,7.492488310310828e-08,7.861656175614596e-08,0.9530419727017752,0.9082890017312911,0.1321165397481064,1.1009711645675535,
1000.0,U(1)_B,300.0,1.41600271616938e-07,7.861656175614596e-08,1.8011506539316215,3.244143678158308,0.03698973038953801,0.30824775324615006,
1000.0,U(1)_B,350.0,1.0134580695902811e-06,7.861656175614596e-08,12.891152283329824,166.18180719199972,0.0007221007042085952,0.006017505868404962,
1000.0,U(1)_B,,,7.861656175614596e-08,,,,,272.4998206052914
3000.0,B-L,250.0,7.185424761258333e-08,1.486628212688668e-08,4.833370374602945,23.361469178089408,0.005136663241734271,0.042805527014452276,
3000.0,B-L,270.0,1.0293412819103975e-07,1.486628212688668e-08,6.923999377415043,47.9417673784439,0.002503036633020661,0.02085863860850551,
3000.0,B-L,300.0,1.797780644540304e-07,1.486628212688668e-08,12.09300771501501,146.24083559541256,0.0008205642391977982,0.006838035326648317,
3000.0,B-L,350.0,7.817700536815817e-07,1.486628212688668e-08,52.58678982472003,2765.370464069278,4.339382428472837e-05,0.00036161520237273643,
3000.0,B-L,,,1.486628212688668e-08,,,,,
3000.0,U(1)_B,250.0,7.185424761258333e-08,2.6800571242001887e-08,2.6810714952214627,7.18814436248905,0.016694155535636378,0.13911796279696986,
3000.0,U(1)_B,270.0,1.0293412819103975e-07,2.6800571242001887e-08,3.8407438133154885,14.7513130395212,0.008134869057317149,0.0677905754776429,
3000.0,U(1)_B,300.0,1.797780644540304e-07,2.6800571242001887e-08,6.707993752472037,44.997180183203874,0.0026668337773928436,0.022223614811607027,
3000.0,U(1)_B,350.0,7.817700536815817e-07,2.6800571242001887e-08,29.169902634627082,850.8832197136239,0.00014102992892536722,0.0011752494077113932,
3000.0,U(1)_B,,,2.6800571242001887e-08,,,,,204.21350402925535
