m_chi_GeV,delta_keV,N_unit,kappa_N1,G_N1_GeV2,G_N3p65,G_N0p105,sigma_n_N1_cm2,gg_at_mZp_1TeV,gg_at_mZp_3TeV,gg_at_mZp_10TeV,mZp_max_TeV_gg1,mZp_max_TeV_gg4pi
300.0,250.0,54630.86792215227,1.8304669832904302e-05,7.058377026736107e-08,1.3485010375160248e-07,2.2871755630937875e-08,5.4025768840653755e-43,0.07058377026736107,0.6352539324062496,7.058377026736107,3.7639823099235437,13.342969879928448
300.0,280.0,6912.532984255655,0.00014466477082679418,1.984290688887891e-07,3.7909820381698206e-07,6.429836712473762e-08,4.2697440267538936e-42,0.19842906888878908,1.7858616199991018,19.84290688887891,2.2449018236932305,7.957969764619763
300.0,300.0,469.3567134063131,0.002130575682496565,7.615043450992018e-07,1.4548520085418032e-06,2.4675561006494104e-07,6.288340099593824e-41,0.7615043450992017,6.853539105892816,76.15043450992017,1.1459450873473125,4.062269565990003
300.0,320.0,0.3673657255828634,2.722083009821881,2.721915164936117e-05,5.2002116209485754e-05,8.820013193507519e-06,8.034158976708204e-38,27.21915164936117,244.97236484425054,2721.915164936117,0.19167377987577253,0.6794658585168585
1000.0,250.0,104590.33635641643,9.561112764684706e-06,5.101267797609877e-08,9.745958442949573e-08,1.652999691472388e-08,2.834296251188394e-43,0.05101267797609877,0.459114101784889,5.101267797609878,4.427524147726749,15.695164451230877
1000.0,280.0,32827.62152870377,3.0462152097300785e-05,9.105508286145229e-08,1.739604915473818e-07,2.9505219064855694e-08,9.03020031427874e-43,0.0910550828614523,0.8194957457530706,9.105508286145229,3.313964890693385,11.747699664550337
1000.0,300.0,13574.368440209782,7.366825236876697e-05,1.41600271616938e-07,2.705269390749575e-07,4.5883732158674884e-08,2.183821660294812e-42,0.141600271616938,1.274402444552442,14.160027161693801,2.6574674684895503,9.420476896360872
1000.0,320.0,4257.1773927827535,0.00023489742327752482,2.528500414718934e-07,4.830693259502558e-07,8.193277771805075e-08,6.963299174426764e-42,0.25285004147189344,2.2756503732470406,25.28500414718934,1.9886963900869463,7.049745149783012
1000.0,340.0,814.5081572324478,0.0012277347883142386,5.780643461184209e-07,1.104390382575206e-06,1.8731425670940892e-07,3.63949698493842e-41,0.5780643461184208,5.202579115065788,57.806434611842086,1.3152608954340972,4.662478478115205
1000.0,350.0,264.9941188172267,0.0037736686552267444,1.0134580695902811e-06,1.936208923304625e-06,3.2839794788617997e-07,1.1186663295346064e-40,1.013458069590281,9.12112262631253,101.34580695902811,0.9933381322061678,3.5212919953602295
