mZp_GeV,gchi,delta_keV,vS_GeV,yS,yS_over_ye
300.0,0.1,300.0,1500.0,2.82842712474619e-07,0.09636007827788648
300.0,0.1,366.0,1500.0,3.4506810921903523e-07,0.11755929549902154
300.0,0.66,300.0,227.27272727272725,1.8667619023324856e-06,0.6359765166340509
300.0,0.66,366.0,227.27272727272725,2.277449520845633e-06,0.7758913502935423
300.0,1.0,300.0,150.0,2.82842712474619e-06,0.9636007827788649
300.0,1.0,366.0,150.0,3.4506810921903523e-06,1.1755929549902153
300.0,3.0,300.0,50.0,8.48528137423857e-06,2.8908023483365946
300.0,3.0,366.0,50.0,1.0352043276571058e-05,3.5267788649706464
1000.0,0.1,300.0,5000.0,8.48528137423857e-08,0.02890802348336595
1000.0,0.1,366.0,5000.0,1.0352043276571057e-07,0.03526778864970646
1000.0,0.66,300.0,757.5757575757575,5.600285706997457e-07,0.19079295499021529
1000.0,0.66,366.0,757.5757575757575,6.832348562536899e-07,0.23276740508806268
1000.0,1.0,300.0,500.0,8.48528137423857e-07,0.28908023483365947
1000.0,1.0,366.0,500.0,1.0352043276571057e-06,0.3526778864970646
1000.0,3.0,300.0,166.66666666666666,2.545584412271571e-06,0.8672407045009785
1000.0,3.0,366.0,166.66666666666666,3.1056129829713175e-06,1.0580336594911939
3000.0,0.1,300.0,15000.0,2.82842712474619e-08,0.009636007827788649
3000.0,0.1,366.0,15000.0,3.4506810921903524e-08,0.011755929549902153
3000.0,0.66,300.0,2272.7272727272725,1.8667619023324855e-07,0.06359765166340509
3000.0,0.66,366.0,2272.7272727272725,2.2774495208456329e-07,0.07758913502935423
3000.0,1.0,300.0,1500.0,2.82842712474619e-07,0.09636007827788648
3000.0,1.0,366.0,1500.0,3.4506810921903523e-07,0.11755929549902154
3000.0,3.0,300.0,500.0,8.48528137423857e-07,0.28908023483365947
3000.0,3.0,366.0,500.0,1.0352043276571057e-06,0.3526778864970646
10000.0,0.1,300.0,50000.0,8.48528137423857e-09,0.002890802348336595
10000.0,0.1,366.0,50000.0,1.0352043276571057e-08,0.003526778864970646
10000.0,0.66,300.0,7575.757575757575,5.600285706997457e-08,0.01907929549902153
10000.0,0.66,366.0,7575.757575757575,6.832348562536899e-08,0.02327674050880627
10000.0,1.0,300.0,5000.0,8.48528137423857e-08,0.02890802348336595
10000.0,1.0,366.0,5000.0,1.0352043276571057e-07,0.03526778864970646
10000.0,3.0,300.0,1666.6666666666667,2.5455844122715706e-07,0.08672407045009783
10000.0,3.0,366.0,1666.6666666666667,3.105612982971317e-07,0.10580336594911938
