m_chi_GeV,model,mZp_GeV,feasible,gchi,gN,G_max,Omega_h2,sigv_ff_cm3s,sigv_ZZ_cm3s,Gamma_over_M,Nmax_250,Nmax_280,Nmax_300,Nmax_320,Nmax_340,Nmax_350,Nmax_360,Nmax_366,Nmax_370,Nmax_380,delta_Nmax1_keV
300.0,B-L,100.0,True,0.36613542233648805,0.005,1.8306771116824403e-07,0.12,4.9832244343479746e-29,4.357021055793534e-26,4.089393353561112e-06,6.726881822374114,0.8511633486147793,0.05779346482507425,4.5234972746691134e-05,,,,,,,278.19131183713984
300.0,B-L,117.87686347935879,True,0.36870341546657953,0.005893843173967939,1.5639346203470307e-07,0.12,7.169141467356387e-29,4.3546043148144026e-26,5.682196648737318e-06,4.90938941380724,0.6211930644019156,0.04217862479102148,3.3013229933343365e-05,,,,,,,274.60658649352746
300.0,B-L,138.94954943731375,True,0.3727405378559123,0.006947477471865688,1.3412801242082184e-07,0.12,1.0483060707644275e-28,4.350937341175678e-26,7.895388805570554e-06,3.6110148353081435,0.4569076074587221,0.03102374389469333,2.428229928460558e-05,,,,,,,270.660282649343
300.0,B-L,163.78937069540646,True,0.3794642421819835,0.008189468534770324,1.1583909278449464e-07,0.12,1.5734201083569796e-28,4.345121972712514e-26,1.0970608728190086e-05,2.693398350512615,0.3408000942651825,0.02314011557517247,1.8111779602874244e-05,,,,,,,266.509388966686
300.0,B-L,193.06977288832496,True,0.3917647863717857,0.009653488644416248,1.0145678956135446e-07,0.12,2.4718513442223007e-28,4.335168901940052e-26,1.5243612518104974e-05,2.0661056526043873,0.26142772421145566,0.01775078074978525,1.3893544640027452e-05,,,,,,,262.44641224167077
300.0,B-L,227.58459260747887,True,0.41849335210388383,0.011379229630373943,9.194237345092828e-08,0.12,4.266879276305237e-28,4.3153176272565113e-26,2.1180931717512544e-05,1.6967650732683228,0.21469445721077907,0.014577620830528935,1.1409910843318716e-05,,,,,,,259.26193728933276
300.0,B-L,268.26957952797244,True,0.5072739857187856,0.013413478976398621,9.454556618222383e-08,0.12,9.865993740868503e-28,4.2540342052509206e-26,2.9430809767791366e-05,1.7942073378080137,0.22702398616226863,0.015414788219053486,1.2065162161420977e-05,,,,,,,260.202621797805
300.0,B-L,316.22776601683796,True,2.439246235998978,0.0158113883008419,3.8567869398746875e-07,0.12,3.822114854924366e-26,0.0,4.089397798522534e-05,29.856685282257377,3.777815174165617,0.25651131329737953,0.00020077152843050723,,,,,,,291.4919194296617
300.0,B-L,372.7593720314938,True,1.7707722083994253,0.01863796860157469,2.3752215789356675e-07,0.12,3.7541713659057355e-26,0.0,5.8472827382364226e-05,11.3239659537316,1.4328399153259117,0.09728894386855015,7.614810321147026e-05,,,,,,,283.50429928505366
300.0,B-L,439.397056076079,True,1.149824209558651,0.021969852803803952,1.3084113715131105e-07,0.12,3.6212469080077677e-26,0.0,8.240699010187983e-05,3.436203805906728,0.4347884822698107,0.02952186897767864,2.3106781063891063e-05,,,,,,,270.0227608883842
300.0,B-L,517.9474679231213,True,0.558208706690504,0.025897373396156064,5.388661411251061e-08,0.12,3.274850755610925e-26,0.0,0.00011510763818268308,0.582843673780173,0.07374816240172709,0.005007454605058486,3.9193371305165145e-06,,,,,,,240.20050711054265
300.0,B-L,610.5402296585327,True,0.004140218192835967,0.030527011482926632,3.3906186617313805e-10,0.12,4.0329565265496265e-26,0.0,0.0001604426240997085,2.3075344348397122e-05,2.9197610251890776e-06,1.9824996739052222e-07,1.5517034493581529e-10,,,,,,,
300.0,B-L,719.6856730011522,True,0.5590967280746887,0.03598428365005761,3.884311922892715e-08,0.12,1.451110394654294e-25,0.0,0.0063931258435232724,0.3028436629343953,0.03831930351335219,0.002601857003505156,2.036474729462493e-06,,,,,,,228.8176041875413
300.0,B-L,848.3428982440716,True,1.1677971214364324,0.04241714491220358,6.882813092757527e-08,0.12,4.9610313662291735e-26,0.0,0.03227997898697245,0.9508724113240176,0.12031543991690313,0.00816934394093357,6.39414943618587e-06,,,,,,,249.08224938419
