key,f,ratio_dRdE_248,el248_a1_fit,el248_peak_doy_fit,el248_LR_16June,el248_LR_ratio_to_SHM,ratio_dRdE_200,ratio_dRdE_225,ratio_dRdE_270,pure_over_SHM_248,ratio_band_200_270,pure_band_over_SHM,pure248_a1_fit,pure248_peak_doy_fit,pure248_June_Dec
SHM,0,1,0.04238,152.5,1.04,1,,,,,,,,,
Sgr_m,0.03,1.028,0.04027,152.9,1.038,0.998,1.02,1.026,1.03,1.948,1.023,1.772,0.007799,186.6,1.012
Sgr_p,0.03,1.027,0.04325,153.5,1.039,0.9988,1.017,1.023,1.032,1.897,1.02,1.679,0.0591,165,1.14
GSE,0.2,1.009,0.04942,153.7,1.048,1.007,1.021,1.015,1.002,1.047,1.017,1.087,0.07745,156.3,1.166
S1,0.1,1.038,0.03371,152,1.032,0.9921,1.013,1.027,1.053,1.38,1.022,1.218,0.01966,341.7,0.9617
S2,0.01,0.9904,0.04096,151.7,1.039,0.9988,0.992,0.9908,0.9901,0.03676,0.9913,0.128,0.8931,357.8,0.1228
Helmi_p,0.005,0.996,0.04282,152.7,1.041,1.001,0.9989,0.9968,0.9954,0.1959,0.9977,0.5494,1.433,166.4,167
Helmi_m,0.005,0.9951,0.04182,152.2,1.039,0.9995,0.9958,0.9952,0.995,0.01539,0.9955,0.09526,1.064,361.1,0.06902
Shards,0.01,1.004,0.04134,152.5,1.039,0.9991,1.002,1.003,1.006,1.41,1.002,1.244,0.02696,338.4,0.948
Vesc_retro,0.01,1,0.04173,152.5,1.039,0.9994,0.9982,0.9992,1.001,0.9964,0.9988,0.8792,0.01876,335.2,0.9637
