series,a1,peak_doy_fit,peak_doy_grid
SHM_d250,0.27731,152.55,157
Sgr_m_pure_d250,1.5286,3.9905,1
Sgr_m_comp_d250,0.27731,152.55,157
Sgr_p_pure_d250,1.7827,165.63,167.89
Sgr_p_comp_d250,0.27731,152.55,157
GSE_pure_d250,0.70118,114.82,97
GSE_comp_d250,0.28177,151.19,145
S1_pure_d250,0.67581,169.75,167.89
S1_comp_d250,0.28313,153.19,157
S2_comp_d250,0.27731,152.55,157
Helmi_p_pure_d250,1.8218,166.63,167.89
Helmi_p_comp_d250,0.27731,152.55,157
Helmi_m_pure_d250,1.7192,361.2,361
Helmi_m_comp_d250,0.27731,152.55,157
Shards_pure_d250,1.2068,153.74,157
Shards_comp_d250,0.27766,152.56,157
Vesc_retro_pure_d250,0.26412,152.57,157
Vesc_retro_comp_d250,0.26961,152.56,157
SHM_d300,0.45423,152.56,157
Sgr_m_pure_d300,1.5995,4.0555,1
Sgr_m_comp_d300,0.45423,152.56,157
Sgr_p_pure_d300,1.8065,165.68,167.89
Sgr_p_comp_d300,0.45423,152.56,157
GSE_pure_d300,1.2627,112.47,109
GSE_comp_d300,0.45444,152.52,157
S1_pure_d300,0.83301,203.15,217
S1_comp_d300,0.45423,152.56,157
S2_comp_d300,0.45423,152.56,157
Helmi_p_pure_d300,1.8331,166.65,167.89
Helmi_p_comp_d300,0.45423,152.56,157
Helmi_m_pure_d300,1.7371,361.33,361
Helmi_m_comp_d300,0.45423,152.56,157
Shards_pure_d300,1.4248,150.07,145
Shards_comp_d300,0.45423,152.56,157
Vesc_retro_pure_d300,0.032605,152.5,193
Vesc_retro_comp_d300,0.11696,152.54,157
SHM_d330,0.8169,152.58,157
Sgr_m_pure_d330,1.6274,4.1012,1
Sgr_m_comp_d330,0.8169,152.58,157
Sgr_p_pure_d330,1.816,165.7,167.89
Sgr_p_comp_d330,0.8169,152.58,157
GSE_pure_d330,1.428,117.92,109
GSE_comp_d330,0.81691,152.58,157
S1_pure_d330,0.84071,183.74,217
S1_comp_d330,0.8169,152.58,157
S2_comp_d330,0.8169,152.58,157
Helmi_p_pure_d330,1.8383,166.66,167.89
Helmi_p_comp_d330,0.8169,152.58,157
Helmi_m_pure_d330,1.7455,361.41,361
Helmi_m_comp_d330,0.8169,152.58,157
Shards_pure_d330,1.4798,146.54,145
Shards_comp_d330,0.8169,152.58,157
Vesc_retro_pure_d330,0.45038,152.55,157
Vesc_retro_comp_d330,0.47286,152.55,157
SHM_d350,1.1892,152.64,157
Sgr_m_pure_d350,1.6436,4.1365,1
Sgr_m_comp_d350,1.1892,152.64,157
Sgr_p_pure_d350,1.8216,165.72,167.89
Sgr_p_comp_d350,1.1892,152.64,157
GSE_pure_d350,1.4846,123.71,109
GSE_comp_d350,1.1892,152.64,157
S1_pure_d350,1.0291,135.03,97
S1_comp_d350,1.1892,152.64,157
S2_comp_d350,1.1892,152.64,157
Helmi_p_pure_d350,1.8414,166.67,167.89
Helmi_p_comp_d350,1.1892,152.64,157
Helmi_m_pure_d350,1.7505,361.46,361
Helmi_m_comp_d350,1.1892,152.64,157
Shards_pure_d350,1.5274,143.96,145
Shards_comp_d350,1.1892,152.64,157
Vesc_retro_pure_d350,1.0192,152.59,157
Vesc_retro_comp_d350,1.0244,152.59,157
SHM_d366,1.3401,152.73,157
Sgr_m_pure_d366,1.6551,4.1669,1
Sgr_m_comp_d366,1.3401,152.73,157
Sgr_p_pure_d366,1.8256,165.73,167.89
Sgr_p_comp_d366,1.3401,152.73,157
GSE_pure_d366,1.5275,129.89,121
GSE_comp_d366,1.3401,152.73,157
S1_pure_d366,1.7207,110.17,109
S1_comp_d366,1.3401,152.73,157
S2_comp_d366,1.3401,152.73,157
Helmi_p_pure_d366,1.8436,166.68,167.89
Helmi_p_comp_d366,1.3401,152.73,157
Helmi_m_pure_d366,1.7541,361.51,361
Helmi_m_comp_d366,1.3401,152.73,157
Shards_pure_d366,1.6021,141.95,145
Shards_comp_d366,1.3401,152.73,157
Vesc_retro_pure_d366,1.2988,152.71,157
Vesc_retro_comp_d366,1.2996,152.71,157
SHM_d380,1.4944,152.72,157
Sgr_m_pure_d380,1.6641,4.1944,1
Sgr_m_comp_d380,1.4944,152.72,157
Sgr_p_pure_d380,1.8288,165.74,167.89
Sgr_p_comp_d380,1.4944,152.72,157
GSE_pure_d380,1.5963,138.77,133
GSE_comp_d380,1.4944,152.71,157
S1_pure_d380,1.8853,114.8,121
S1_comp_d380,1.4944,152.72,157
S2_comp_d380,1.4944,152.72,157
Helmi_p_pure_d380,1.8455,166.68,167.89
Helmi_p_comp_d380,1.4944,152.72,157
Helmi_m_pure_d380,1.7571,361.55,361
Helmi_m_comp_d380,1.4944,152.72,157
Shards_pure_d380,1.6954,142.41,145
Shards_comp_d380,1.4944,152.72,157
Vesc_retro_pure_d380,1.3859,152.64,157
Vesc_retro_comp_d380,1.3879,152.64,157
