variant,k,s,S1c,p10,p50,p90,halfwidth,upper,lower,drawn_p10,drawn_p50,drawn_p90,drawn_halfwidth,drawn_upper,drawn_lower,asym_model,asym_drawn
"k=1 literal sigma_p*Ni, NEST skew",1.0,1.0,300,4.309786835610135,4.454475690772672,4.635046178199874,0.16262967129486983,0.18057048742720205,0.1446888551625376,4.375949924151315,4.464545504965075,4.5525245769789615,0.08828732641382331,0.08797907201388622,0.0885955808137604,1.2479916799697979,0.9930413143160022
"k=1 literal sigma_p*Ni, NEST skew",1.0,1.0,350,4.360809110413433,4.522722518806983,4.715189598250319,0.17719024391844318,0.19246707944333608,0.16191340839355028,4.438795261585473,4.5306420406722765,4.6223319500455515,0.09176834423003921,0.09168990937327504,0.09184677908680339,1.1887037729174434,0.9982920499217496
"k=1 literal sigma_p*Ni, NEST skew",1.0,1.0,400,4.411738962278096,4.591681495649578,4.796250513737321,0.1922557757296124,0.20456901808774308,0.1799425333714817,4.4920427014968505,4.596142292994932,4.698517739487003,0.10323751899507627,0.1023754464920712,0.10409959149808135,1.1368574969733327,0.9834375430181979
"k=1 literal sigma_p*Ni, NEST skew",1.0,1.0,450,4.465029452376038,4.662618495696653,4.878485477118572,0.2067280123712667,0.21586698142191896,0.19758904332061444,4.551120166979303,4.661208471619821,4.772681429642206,0.11078063133145122,0.111472958022385,0.11008830464051744,1.0925048160268995,1.012577661054814
"k=1 literal sigma_p*Ni, NEST skew",1.0,1.0,500,4.521540900273981,4.734917945374819,4.958357941822515,0.21840852077426742,0.22343999644769674,0.2133770451008381,4.617101540714544,4.73375165615276,4.849009331837001,0.11595389556122848,0.11525767568424072,0.11665011543821624,1.0471604213194678,0.9880631086497894
"k=1 literal sigma_p*Ni, NEST skew",1.0,1.0,540,4.568466917550636,4.792004844615264,5.015680104790463,0.22360659361991342,0.2236752601751988,0.22353792706462805,4.666872541827879,4.7889961275947,4.909901394571213,0.12151442637166676,0.1209052669765125,0.12212358576682103,1.0006143615643848,0.9900238861915277
"k=1 literal sigma_p*Ni, NEST skew",1.0,1.0,600,4.638760443955098,4.871614024335202,5.083120405301494,0.22217998067319789,0.21150638096629137,0.2328535803801044,4.746016227291908,4.871079037028247,4.995002333180317,0.12449305294420432,0.12392329615206954,0.1250628097363391,0.9083235079359038,0.9908884696683857
k=0.5 NEST skew (baseline),0.5,1.0,300,4.375677195076504,4.4535760749120605,4.55097223853366,0.08764752172857815,0.09739616362159964,0.07789887983555666,4.375949924151315,4.464545504965075,4.5525245769789615,0.08828732641382331,0.08797907201388622,0.0885955808137604,1.2502896553480802,0.9930413143160022
k=0.5 NEST skew (baseline),0.5,1.0,350,4.43334099272885,4.5185478701877795,4.621598172662193,0.0941285899666715,0.10305030247441316,0.08520687745892985,4.438795261585473,4.5306420406722765,4.6223319500455515,0.09176834423003921,0.09168990937327504,0.09184677908680339,1.2094129669765674,0.9982920499217496
k=0.5 NEST skew (baseline),0.5,1.0,400,4.48980372066667,4.583260090977735,4.692241449899142,0.10121886461623619,0.10898135892140726,0.09345637031106513,4.4920427014968505,4.596142292994932,4.698517739487003,0.10323751899507627,0.1023754464920712,0.10409959149808135,1.1661201752076176,0.9834375430181979
