line,E_keV,variant,f,N_decays,Ne_mean,S1c_mean,log10S2c_mean,P_below_NR_median_S1c480_600,N_below_NR_median_S1c480_600,P_below_event_depth(-1.5sig_LZ)_S1c480_600,N_below_event_depth(-1.5sig_LZ)_S1c480_600,P_in_ROI(<4.15)_S1c480_600,N_in_ROI(<4.15)_S1c480_600,P_NR_pm1hw_S1c480_600,N_NR_pm1hw_S1c480_600,P_event_region_V(3.90-4.00)_S1c480_600,N_event_region_V(3.90-4.00)_S1c480_600,P_gap_G(-1hw..ROI_top)_S1c480_600,N_gap_G(-1hw..ROI_top)_S1c480_600,P_tail_+1..+5hw_S1c480_600,N_tail_+1..+5hw_S1c480_600,P_in_ROI_anyS1c,N_in_ROI_anyS1c
Xe124_KK_64.3,64.3,"baseline: k=0.50, NEST skew",0.0,564.0,1118.3414456297005,403.23285244133723,4.586393515183007,1.239062635616095e-16,6.988313264874775e-14,6.834658915273877e-18,3.8547476282144664e-15,1.6795646318796135e-12,9.47274452380102e-10,6.707894722598082e-16,3.7832526235453183e-13,7.407035109401361e-17,4.1775678017023677e-14,1.679541347278631e-12,9.472613198651478e-10,1.0923718994140978e-12,6.160977512695512e-10,3.4850903328051844e-12,1.965590947702124e-09
Xe124_KK_64.3,64.3,"baseline: k=0.50, NEST skew",0.1,564.0,1006.5073010667305,415.5346083432639,4.540636024622332,1.575774641146951e-12,8.887368976068804e-10,1.3712879542894807e-13,7.734064062192671e-11,4.094064031716163e-09,2.309052113887916e-06,6.290170268503581e-12,3.5476560314360195e-09,1.023189062597231e-12,5.770786313048383e-10,4.093678317884338e-09,2.3088345712867668e-06,2.8772381500306223e-09,1.622762316617271e-06,8.290335002026784e-09,4.675748941143106e-06
Xe124_KK_64.3,64.3,"baseline: k=0.50, NEST skew",0.2,564.0,894.6731565037604,427.8363642451907,4.48948350217495,4.218914275695768e-09,2.379467651492413e-06,5.735028228659627e-10,3.23455592096403e-07,2.193886326678104e-06,0.0012373518882464508,1.226176742418369e-08,6.915636827239601e-06,2.9447032420902816e-09,1.660812628538919e-06,2.192548464156679e-06,0.001236597333784367,1.656810995217271e-06,0.0009344414013025409,4.3101718648758425e-06,0.0024309369317899753
Xe124_KK_64.3,64.3,"baseline: k=0.50, NEST skew",0.3,564.0,782.8390119407903,440.1381201471174,4.431491555197264,2.441914064446492e-06,0.0013772395323478214,5.114477754435511e-07,0.00028845654535016285,0.00027132508859326103,0.15302734996659922,5.046792293102259e-06,0.002846390853309674,1.7988520335173961e-06,0.0010145525469038115,0.00027032969127794914,0.15246594588076332,0.00021653831118814972,0.12212760751011643,0.0005131765731194973,0.2894315872393965
Xe124_KK_64.3,64.3,Gaussian (s=0),0.0,564.0,1118.3414456297005,403.23285244133723,4.586393515183007,8.640450352436659e-10,4.873213998774276e-07,2.2352770107479774e-10,1.2606962340618591e-07,7.780965201057433e-08,4.388464373396392e-05,1.5452084299608275e-09,8.714975544979068e-07,6.381895536018153e-10,3.5993890823142384e-07,7.741448834588983e-08,4.366177142708186e-05,6.13304874344992e-08,3.459039491305755e-05,1.4599975938424534e-07,8.234386429271436e-05
Xe124_KK_64.3,64.3,Gaussian (s=0),0.1,564.0,1006.5073010667305,415.5346083432639,4.540636024622332,9.077101703610215e-08,5.119485360836161e-05,2.806952359449129e-08,1.583121130729309e-05,4.2481658039861894e-06,0.002395965513448211,1.3650563665600433e-07,7.698917907398644e-05,6.719354745448165e-08,3.789716076432765e-05,4.202103955198974e-06,0.0023699866307322214,3.3845560235918376e-06,0.0019088895973057964,7.838682794762648e-06,0.004421017096246134
Xe124_KK_64.3,64.3,Gaussian (s=0),0.2,564.0,894.6731565037604,427.8363642451907,4.48948350217495,5.052221005989989e-06,0.0028494526473783538,1.8617981211794168e-06,0.0010500541403451911,0.00012432591667954415,0.0701198170072629,6.277013308222488e-06,0.0035402355058374835,3.695929250604679e-06,0.002084504097341039,0.00012148604340339468,0.0685181284795146,9.863628419659883e-05,0.055630864286881736,0.00022452729239550343,0.12663339291106393
Xe124_KK_64.3,64.3,Gaussian (s=0),0.3,564.0,782.8390119407903,440.1381201471174,4.431491555197264,0.0001498827564551206,0.08453387464068803,6.55228667539362e-05,0.03695489684922002,0.0019733098180999553,1.1129467374083748,0.00015021748424955724,0.08472266111675028,0.00010623146424960476,0.059914545836777085,0.0018802233659930517,1.0604459784200813,0.0015204951649299319,0.8575592730204816,0.0034662490254861716,1.9549644503742007
Xe124_KK_64.3,64.3,mirrored skew (s=-1),0.0,564.0,1118.3414456297005,403.23285244133723,4.586393515183007,7.483186805056173e-07,0.00042205173580516815,3.4752832083183187e-07,0.00019600597294915317,9.524710019522693e-06,0.005371936451010799,7.023791543390488e-07,0.00039614184304722353,5.16201507565687e-07,0.00029113765026704747,9.044446800271943e-06,0.005101067995353376,7.287096560011346e-06,0.004109922459846399,1.6669705558876565e-05,0.009401713935206382
Xe124_KK_64.3,64.3,mirrored skew (s=-1),0.1,564.0,1006.5073010667305,415.5346083432639,4.540636024622332,1.145077501932686e-05,0.006458237110900349,5.768671119777758e-06,0.0032535305115546555,0.00010733138779571162,0.06053490271678135,9.48915972846624e-06,0.005351886086854959,7.649190078975686e-06,0.004314143204542287,9.962359912369039e-05,0.05618770990576138,7.971020265437289e-05,0.04495655429706631,0.00018501058599261025,0.10434597049983219
Xe124_KK_64.3,64.3,mirrored skew (s=-1),0.2,564.0,894.6731565037604,427.8363642451907,4.48948350217495,0.00012850459405807299,0.07247659104875316,7.00564018559409e-05,0.03951181064675067,0.0008940035752634109,0.5042180164485638,9.304903841033916e-05,0.05247965766343128,8.236051957408234e-05,0.04645133303978244,0.0008034050159583972,0.45312042900053606,0.000635638823047411,0.35850029619873985,0.0015131025280756298,0.8533898258346552
Xe124_KK_64.3,64.3,mirrored skew (s=-1),0.3,564.0,782.8390119407903,440.1381201471174,4.431491555197264,0.0010592456993653713,0.5974145744420694,0.0006230623780772443,0.3514071812355658,0.005527179967501992,3.1173295016711235,0.0006622079604337103,0.3734852896846126,0.0006443406625092932,0.3634081336552413,0.004746329452711614,2.6769298113293507,0.0036956426102909327,2.084342432204086,0.009153009214511674,5.162297196984584
Xe124_KK_64.3,64.3,k=0.75 NEST skew,0.0,564.0,1118.3414456297005,403.23285244133723,4.586393515183007,5.546570644084561e-08,3.128265843263693e-05,1.661013301271577e-08,9.368115019171695e-06,2.805037440693098e-06,0.0015820411165509073,8.588043159163532e-08,4.843656341768232e-05,4.1093203721450557e-08,2.3176566898898114e-05,2.7773961524919854e-06,0.0015664514300054797,2.2369560143790534e-06,0.0012616431921097862,5.1590300997272185e-06,0.0029096929762461514
Xe124_KK_64.3,64.3,k=0.75 NEST skew,0.1,564.0,1006.5073010667305,415.5346083432639,4.540636024622332,3.3320739204705595e-06,0.0018792896911453956,1.2092698822848068e-06,0.000682028213608631,8.38165683758566e-05,0.047272544563983124,4.199267796926552e-06,0.0023683870374665754,2.4433098195483138e-06,0.001378026738225249,8.195905680200172e-05,0.04622490803632897,6.660546675827567e-05,0.037565483251667475,0.00015081560164026647,0.08505999932511028
Xe124_KK_64.3,64.3,k=0.75 NEST skew,0.2,564.0,894.6731565037604,427.8363642451907,4.48948350217495,0.00010104631077555948,0.05699011927741555,4.412182762503484e-05,0.024884710780519653,0.0013047302467997627,0.7358678591950661,0.00010115755012093425,0.05705285826820691,7.169935077440334e-05,0.04043843383676349,0.0012419934589912587,0.7004843108710699,0.001004415582592769,0.5664903885823217,0.002281810530830342,1.2869411393883128
Xe124_KK_64.3,64.3,k=0.75 NEST skew,0.3,564.0,782.8390119407903,440.1381201471174,4.431491555197264,0.0015799059966920572,0.8910669821343202,0.00082041134887461,0.4627120007652801,0.0109788559503588,6.192074756002363,0.0012174865341022972,0.6866624052336956,0.0010518163876188035,0.5932244426170051,0.009893510655043519,5.579940009444544,0.007825029556936293,4.413316670112069,0.018506852340538872,10.437864720063924
Xe124_KK_64.3,64.3,"Gaussian, k=0.75",0.0,564.0,1118.3414456297005,403.23285244133723,4.586393515183007,2.0197330584124894e-05,0.01139129444944644,1.0819695204307939e-05,0.006102308095229677,0.00015196065179574927,0.08570580761280258,1.511517992712108e-05,0.008524961478896288,1.306456548449675e-05,0.007368414933256167,0.00013786980832214982,0.0777585718936925,0.00010947036277849643,0.06174128460707199,0.000257630708358194,0.1453037195140214
Xe124_KK_64.3,64.3,"Gaussian, k=0.75",0.1,564.0,1006.5073010667305,415.5346083432639,4.540636024622332,0.00018047631562091788,0.10178864201019769,0.00010385764389366962,0.058575711156029664,0.0010338405211434973,0.5830860539249325,0.00011809210225354002,0.06660394567099658,0.00011149945811383751,0.06288569437620435,0.0009025077886189157,0.5090143927810684,0.0007069787880193137,0.3987360364428929,0.001720498503051506,0.9703611557210494
Xe124_KK_64.3,64.3,"Gaussian, k=0.75",0.2,564.0,894.6731565037604,427.8363642451907,4.48948350217495,0.001208751805589406,0.681736018352425,0.0007450956381309106,0.4202339399058336,0.0053318065967412655,3.0071389205620735,0.0006838671738147982,0.3857010860315462,0.0007058728339552958,0.39811227835078683,0.004416010869180046,2.490630130217546,0.003397763407832293,1.9163385620174131,0.008680053498541512,4.895550173177413
Xe124_KK_64.3,64.3,"Gaussian, k=0.75",0.3,564.0,782.8390119407903,440.1381201471174,4.431491555197264,0.006078351835389248,3.4281904351595363,0.003999436937859037,2.255682432952497,0.020942255418165173,11.811432055845158,0.0029348388946098063,1.6552491365599307,0.0033158401353191656,1.8701338363200095,0.01615716965710775,9.11264368660877,0.012152702069515204,6.854123967206575,0.03322920524623783,18.74127175887814
Xe124_KK_64.3,64.3,k=1.0 literal Gaussian,0.0,564.0,1118.3414456297005,403.23285244133723,4.586393515183007,0.0008308307359486593,0.46858853507504383,0.0005610964072282006,0.3164583736767051,0.0027366043146999394,1.5434448334907658,0.00037750911390038716,0.21291514023981836,0.00043590143485450184,0.24584840925793905,0.002072945497219212,1.1691412604316356,0.0015564037033250037,0.8778116886753021,0.004312122211714628,2.4320369274070504
Xe124_KK_64.3,64.3,k=1.0 literal Gaussian,0.1,564.0,1006.5073010667305,415.5346083432639,4.540636024622332,0.002959413573887556,1.6691092556725817,0.0020689218905725814,1.166871946282936,0.008533245762897726,4.812750610274318,0.001215821304405798,0.68572321568487,0.001478971322062888,0.8341398256434689,0.00612076070701773,3.452109038758,0.004526068689647882,2.552702740961405,0.013229566186840153,7.461475329377846
Xe124_KK_64.3,64.3,k=1.0 literal Gaussian,0.2,564.0,894.6731565037604,427.8363642451907,4.48948350217495,0.008934666813421484,5.039152082769717,0.006455762331752668,3.641049955108505,0.02271371624293115,12.810535961013167,0.003302136649098488,1.862405070091547,0.004233077949589926,2.3874559635687183,0.015287684323383491,8.622253958388288,0.011115042394308888,6.268883910390213,0.03460092326143334,19.514920719448405
Xe124_KK_64.3,64.3,k=1.0 literal Gaussian,0.3,564.0,782.8390119407903,440.1381201471174,4.431491555197264,0.022866725417663755,12.896833135562359,0.01704816302490497,9.615163946046403,0.05165863845555496,29.135472088933,0.007562998889692372,4.265531373786498,0.010220420669755328,5.764317257742006,0.032300354073697295,18.217399697565273,0.02305096368068109,13.000743515904134,0.07723126972638933,43.558436125683585
Xe124_KK_64.3,64.3,k=1.0 literal NEST skew,0.0,564.0,1118.3414456297005,403.23285244133723,4.586393515183007,5.593229552766565e-05,0.03154581467760343,2.9323645675786228e-05,0.01653853616114343,0.0004326295869619272,0.24400308704652696,4.31679047945685e-05,0.024346698304136636,3.6715820220302915e-05,0.020707722604250845,0.00039407033263822626,0.22225566760795962,0.00031330958617860864,0.17670660660473528,0.0007336451473457221,0.41377586310298725
Xe124_KK_64.3,64.3,k=1.0 literal NEST skew,0.1,564.0,1006.5073010667305,415.5346083432639,4.540636024622332,0.0005155897477415689,0.2907926177262448,0.0002974074315860237,0.1677377914145174,0.0027991732940701596,1.57873373785557,0.00033378443562176246,0.18825442169067402,0.00031896796199028623,0.17989793056252143,0.0024232650928702145,1.366721512378801,0.0018910432057292431,1.066548368031293,0.0046311125474004155,2.6119474767338344
Xe124_KK_64.3,64.3,k=1.0 literal NEST skew,0.2,564.0,894.6731565037604,427.8363642451907,4.48948350217495,0.003268977192217962,1.8437031364109306,0.0020601100416914805,1.161902063513995,0.012810597893793473,7.225177212099519,0.0017474395603763362,0.9855559120522536,0.001874223947009281,1.0570623061132345,0.010300390769282148,5.809420393875132,0.0078357064119295,4.419338416328238,0.020581083786834778,11.607731255774814
Xe124_KK_64.3,64.3,k=1.0 literal NEST skew,0.3,564.0,782.8390119407903,440.1381201471174,4.431491555197264,0.014422462570478824,8.134268889750057,0.009844021027507775,5.552027859514385,0.04230861386502041,23.86205821987151,0.006270017504424699,3.5362898724955305,0.007529254486660634,4.246499530476598,0.030704091785945613,17.317107767273328,0.02262637446018283,12.761275195543117,0.06572411803133874,37.068402569675044
I125_K_67.3,67.3,"baseline: k=0.50, NEST skew",0.0,1000.0,1178.483832421111,421.17008622992466,4.609142723903527,6.008785130215714e-16,6.008785130215714e-13,4.144507350462218e-17,4.144507350462218e-14,3.067621178983222e-12,3.0676211789832222e-09,2.7094886528440838e-15,2.7094886528440837e-12,2.974831408107743e-16,2.974831408107743e-13,3.0674896651176935e-12,3.0674896651176935e-09,2.3857861538902016e-12,2.3857861538902018e-09,3.726951858380028e-12,3.726951858380028e-09
I125_K_67.3,67.3,"baseline: k=0.50, NEST skew",0.0,10000.0,1178.483832421111,421.17008622992466,4.609142723903527,6.008785130215714e-16,6.008785130215714e-12,4.144507350462218e-17,4.1445073504622176e-13,3.067621178983222e-12,3.0676211789832224e-08,2.7094886528440838e-15,2.7094886528440838e-11,2.974831408107743e-16,2.974831408107743e-12,3.0674896651176935e-12,3.0674896651176935e-08,2.3857861538902016e-12,2.3857861538902018e-08,3.726951858380028e-12,3.726951858380028e-08
I125_K_67.3,67.3,"baseline: k=0.50, NEST skew",0.1,1000.0,1060.6354491789998,434.1334083865569,4.563385233342852,4.428553180512963e-12,4.4285531805129625e-09,4.581785115733193e-13,4.5817851157331934e-10,5.540813176932991e-09,5.540813176932991e-06,1.5237903203469656e-11,1.5237903203469655e-08,2.441700097911945e-12,2.441700097911945e-09,5.539591822212983e-09,5.5395918222129835e-06,4.4852693428449315e-09,4.4852693428449315e-06,6.681259455373777e-09,6.681259455373777e-06
I125_K_67.3,67.3,"baseline: k=0.50, NEST skew",0.1,10000.0,1060.6354491789998,434.1334083865569,4.563385233342852,4.428553180512963e-12,4.428553180512963e-08,4.581785115733193e-13,4.581785115733193e-09,5.540813176932991e-09,5.5408131769329906e-05,1.5237903203469656e-11,1.5237903203469656e-07,2.441700097911945e-12,2.441700097911945e-08,5.539591822212983e-09,5.5395918222129835e-05,4.4852693428449315e-09,4.4852693428449315e-05,6.681259455373777e-09,6.681259455373777e-05
I125_K_67.3,67.3,"baseline: k=0.50, NEST skew",0.2,1000.0,942.7870659368888,447.09673054318915,4.5122327108954705,7.790262100839919e-09,7.79026210083992e-06,1.1990524776293794e-09,1.1990524776293793e-06,2.4652692100731204e-06,0.0024652692100731203,2.0162910849852125e-08,2.0162910849852124e-05,4.724486588206425e-09,4.724486588206425e-06,2.4625737640982283e-06,0.0024625737640982283,2.066874801101529e-06,0.002066874801101529,2.9447544494596924e-06,0.0029447544494596925
I125_K_67.3,67.3,"baseline: k=0.50, NEST skew",0.2,10000.0,942.7870659368888,447.09673054318915,4.5122327108954705,7.790262100839919e-09,7.790262100839919e-05,1.1990524776293794e-09,1.1990524776293794e-05,2.4652692100731204e-06,0.024652692100731205,2.0162910849852125e-08,0.00020162910849852125,4.724486588206425e-09,4.724486588206425e-05,2.4625737640982283e-06,0.024625737640982283,2.066874801101529e-06,0.020668748011015294,2.9447544494596924e-06,0.029447544494596925
I125_K_67.3,67.3,"baseline: k=0.50, NEST skew",0.3,1000.0,824.9386826947776,460.06005269982137,4.454240763917784,3.3479480890903547e-06,0.0033479480890903548,7.579276487751715e-07,0.0007579276487751715,0.0002812202225245895,0.2812202225245895,6.362775427242634e-06,0.006362775427242634,2.1887472718930336e-06,0.0021887472718930337,0.0002797760139207634,0.2797760139207634,0.00024063165147662194,0.24063165147662194,0.0003319627516964382,0.3319627516964382
I125_K_67.3,67.3,"baseline: k=0.50, NEST skew",0.3,10000.0,824.9386826947776,460.06005269982137,4.454240763917784,3.3479480890903547e-06,0.033479480890903544,7.579276487751715e-07,0.007579276487751715,0.0002812202225245895,2.8122022252458954,6.362775427242634e-06,0.06362775427242634,2.1887472718930336e-06,0.021887472718930337,0.0002797760139207634,2.7977601392076337,0.00024063165147662194,2.4063165147662193,0.0003319627516964382,3.319627516964382
I125_K_67.3,67.3,Gaussian (s=0),0.0,1000.0,1178.483832421111,421.17008622992466,4.609142723903527,8.280746931632996e-10,8.280746931632995e-07,2.147101543496602e-10,2.147101543496602e-07,6.638007532751057e-08,6.638007532751057e-05,1.4432309520839987e-09,1.4432309520839986e-06,5.44429671378058e-10,5.44429671378058e-07,6.599647082431036e-08,6.599647082431036e-05,5.638314092274845e-08,5.638314092274845e-05,7.8205118587487e-08,7.8205118587487e-05
I125_K_67.3,67.3,Gaussian (s=0),0.0,10000.0,1178.483832421111,421.17008622992466,4.609142723903527,8.280746931632996e-10,8.280746931632996e-06,2.147101543496602e-10,2.1471015434966022e-06,6.638007532751057e-08,0.0006638007532751057,1.4432309520839987e-09,1.4432309520839987e-05,5.44429671378058e-10,5.44429671378058e-06,6.599647082431036e-08,0.0006599647082431037,5.638314092274845e-08,0.0005638314092274845,7.8205118587487e-08,0.00078205118587487
I125_K_67.3,67.3,Gaussian (s=0),0.1,1000.0,1060.6354491789998,434.1334083865569,4.563385233342852,8.725470813067509e-08,8.725470813067508e-05,2.6855046886880152e-08,2.6855046886880154e-05,3.825886678525809e-06,0.0038258866785258086,1.2904999736343282e-07,0.0001290499973634328,5.829733065214766e-08,5.8297330652147665e-05,3.781291880945195e-06,0.0037812918809451953,3.244996566700783e-06,0.0032449965667007826,4.483915319520706e-06,0.004483915319520706
I125_K_67.3,67.3,Gaussian (s=0),0.1,10000.0,1060.6354491789998,434.1334083865569,4.563385233342852,8.725470813067509e-08,0.0008725470813067509,2.6855046886880152e-08,0.0002685504688688015,3.825886678525809e-06,0.03825886678525808,1.2904999736343282e-07,0.0012904999736343282,5.829733065214766e-08,0.0005829733065214766,3.781291880945195e-06,0.03781291880945195,3.244996566700783e-06,0.03244996566700783,4.483915319520706e-06,0.04483915319520706
