x_lo,x_hi,LZ_continuous_ERs,LZ_internal,"baseline: k=0.50, NEST skew",Gaussian (s=0),mirrored skew (s=-1),k=1.0 literal Gaussian,k=0.75 NEST skew,"Gaussian, k=0.75"
-8.0,-7.5,,,4.473495011006846e-16,1.4555615090995233e-09,5.3137689602359486e-06,0.022546938408795264,9.858552689887014e-07,0.00030644813586121346
-7.5,-7.0,,,6.219447254440022e-16,1.6952743372276715e-09,5.4555108313504655e-06,0.02145439434194913,1.0849611198929147e-06,0.00030714053002620106
-7.0,-6.5,,,9.73637958949207e-16,2.432083274027438e-09,7.060558409007104e-06,0.02513763947374618,1.39541436238414e-06,0.00038044357649349016
-6.5,-6.0,,,1.8386784333721662e-15,3.33056887743172e-09,8.397115356294024e-06,0.028169224852528485,1.937589632952421e-06,0.0004494645415547026
-6.0,-5.5,,,2.7077159785690593e-15,4.551907356622899e-09,1.0249077778554552e-05,0.030795313223245555,2.332127992304025e-06,0.0005197210303490432
-5.5,-5.0,,,4.323880843428053e-15,6.023385769590177e-09,1.1964504195903508e-05,0.03281123890203841,2.8911234906011605e-06,0.0005862928673003413
-5.0,-4.5,,,8.18720062946561e-15,9.139103108574241e-09,1.5710834827337078e-05,0.039880288581652434,4.1920665325191365e-06,0.0007559373335168063
-4.5,-4.0,,,1.3450709542627756e-14,1.194542827067312e-08,1.8036373471270055e-05,0.04132219308736385,5.103562245316226e-06,0.0008310995908211531
-4.0,-3.5,,,2.1679764900015086e-14,1.6925848864012725e-08,2.2432958601515774e-05,0.04614719297743567,6.498390120416091e-06,0.0009875396531068645
-3.5,-3.0,,,4.211045150492053e-14,2.4468008853330853e-08,2.785588630830447e-05,0.053067559328808356,9.18979310005432e-06,0.0012060199183789658
-3.0,-2.5,,,7.321327501247741e-14,3.5478417510831296e-08,3.5156543215402625e-05,0.05964926031454485,1.1982493195012892e-05,0.0014475795629984825
-2.5,-2.0,,,1.2010318579395035e-13,4.7224051185837235e-08,4.067302063695094e-05,0.06187004824036148,1.4684603574678432e-05,0.001601794395702162
-2.0,-1.5,,,2.5303098674825695e-13,7.710363163987438e-08,5.6552060493172513e-05,0.07867028838448036,2.2680512834437066e-05,0.0021743480383133004
-1.5,-1.0,,,4.324019866840104e-13,9.762273222065361e-08,6.161722755970668e-05,0.0773659331172733,2.7132165999251454e-05,0.002282514508136408
-1.0,-0.5,,,7.664294169214094e-13,1.5251774667711567e-07,8.378609731720509e-05,0.09120927863944255,3.6624156109708514e-05,0.002894378476205626
-0.5,0.0,,,1.6500387742260336e-12,2.2807523412987197e-07,0.00010534215053932564,0.10704878133123764,5.440596766854465e-05,0.0036186429454281295
0.0,0.5,,,3.0026454110199785e-12,3.4049814657098434e-07,0.00013530836314689463,0.11790386734505358,7.053346554019255e-05,0.004309467989694828
0.5,1.0,,,5.601160612402932e-12,4.795994473579215e-07,0.00016149495350717042,0.1274481544719875,9.34163110892812e-05,0.004991200065788769
1.0,1.5,0.00031434700466778334,,1.235805801260232e-11,7.976544890206439e-07,0.0002276395550462218,0.1582594006084694,0.00014164309345989832,0.006680745108979227
1.5,2.0,0.0007971763467548976,0.00013315342183435215,2.322076290354361e-11,1.082969128995589e-06,0.0002610941616965655,0.1626742763646633,0.00018018390318117066,0.007380940168070882
2.0,2.5,0.0007075236032164136,0.0002926316145878886,4.828199255806723e-11,1.80986425154185e-06,0.0003692714107706436,0.19756037603454207,0.00026264867328062926,0.009735184124530862
2.5,3.0,0.0001430343723245368,0.00029969806423446154,1.0251366520978257e-10,2.5956678188504528e-06,0.00044460856990651855,0.2169158901310293,0.00036434768834464696,0.011452745611485902
3.0,3.5,0.0002305124042851935,0.00032193783617504945,2.1334045189245265e-10,4.090173958274887e-06,0.0005905660166918419,0.24861691907787284,0.0005097564172535176,0.0142555087070774
3.5,4.0,0.0007246088382581969,0.00032193783617504945,4.561391575716977e-10,6.309099837825304e-06,0.0007653560099974388,0.2828159290261066,0.000717921644110587,0.017544156696378134
4.0,4.5,0.002120434542841504,0.0004496242650475462,1.0152087042438386e-09,1.0031786453527462e-05,0.0010175855410730437,0.3288526546784062,0.0010386127172468892,0.02212566321705683
4.5,5.0,0.0019274099350107125,0.0005065976984987223,1.3115183355578907e-09,1.2476083054226493e-05,0.0010620545044571078,0.2639445427490174,0.0009648048175219799,0.019975685295954487
5.0,5.5,0.00018596450216023535,0.00013001385550760663,1.697970807078433e-10,2.2779761872769118e-06,0.00016916554996571022,0.028949839266703175,0.00010853812401123728,0.0025309879312507
5.5,6.0,,,0.0,0.0,0.0,0.0,0.0,0.0
6.0,6.5,,,0.0,0.0,0.0,0.0,0.0,0.0
6.5,7.0,,,0.0,0.0,0.0,0.0,0.0,0.0
7.0,7.5,,,0.0,0.0,0.0,0.0,0.0,0.0
7.5,8.0,,,0.0,0.0,0.0,0.0,0.0,0.0
