panel,x_lo,x_hi,continuous_ERs,internal_gamma_IC_EC,total,MSSI,accidentals,NRs
S1c<250,-8.0,-7.5,,0.001139561028855787,0.02938225383971009,,0.025366194557577992,
S1c<250,-7.5,-7.0,,0.002225961920007719,0.03516408253879899,,0.030857568527160522,
S1c<250,-7.0,-6.5,,0.004874648020177973,0.04492439834714388,,0.0381557753995005,0.0018001933328915445
S1c<250,-6.5,-6.0,,0.007700604569575782,0.05646418314067567,,0.04492439834714388,0.003403414882518307
S1c<250,-6.0,-5.5,,0.012365127007954684,0.0721366596998221,,0.05464980950894399,0.004874648020177973
S1c<250,-5.5,-5.0,,0.01771034210321587,0.09066649113412795,,0.0664806160849507,0.006227679315078501
S1c<250,-5.0,-4.5,,0.030357744643550715,0.11773944540970321,,0.07956264635090637,0.007453159674382292
S1c<250,-4.5,-4.0,,0.05036486330526272,0.15289636592285033,,0.09367661856684065,0.008220412614574901
S1c<250,-4.0,-3.5,,0.07700604569575786,0.1985511196444583,,0.11211026782390898,0.00891978959117906
S1c<250,-3.5,-3.0,0.001771034210321587,0.12164839490258514,0.2663985857258773,,0.13417128354799115,0.00891978959117906
S1c<250,-3.0,-2.5,0.003403414882518307,0.19533503372283345,0.36331530050797944,,0.15289636592285033,0.008775308866117352
S1c<250,-2.5,-2.0,0.010331999991955092,0.31365621741294075,0.503648633052627,,0.17141252532913123,0.0090666491134128
S1c<250,-2.0,-1.5,0.03136562174129407,0.49549064693244516,0.7213665969982206,,0.18298325446794822,0.011395610288557869
S1c<250,-1.5,-1.0,0.1139561028855787,0.7575871926473298,1.0675022383376003,,0.18298325446794822,0.014798331982375294
S1c<250,-1.0,-0.5,0.38783989651456596,1.0850780866357186,1.6590449618912113,,0.16863602419185078,0.01859959750095305
S1c<250,-0.5,0.0,1.2985993384868597,1.4798331982375286,2.938225383971009,,0.14558631963371274,0.020514301665692167
S1c<250,0.0,0.5,4.208365728310204,2.018201566852864,6.3302146943593955,,0.12365127007954684,0.01859959750095305
S1c<250,0.5,1.0,11.967796184265058,2.5366194557577995,14.798331982375302,11.2110267823909,0.10675022383376004,0.013638034132877458
S1c<250,1.0,1.5,27.52430185576611,2.890632676818964,31.365621741294074,,0.09215926598430321,0.007453159674382292
S1c<250,1.5,2.0,51.194093601198446,2.986601679363865,59.29931073697142,,0.07827390868337492,0.0029866016793638653
S1c<250,2.0,2.5,79.56264635090629,2.7078469468321567,92.15926598430312,,0.0664806160849507,
S1c<250,2.5,3.0,103.31999991955088,2.225961920007719,117.73944540970322,,0.05646418314067567,
S1c<250,3.0,3.5,113.9561028855787,1.5041978532842923,129.85993384868598,,0.047956895791546085,
S1c<250,3.5,4.0,,0.7213665969982206,131.9980075832034,,0.04073137564447353,
S1c<250,4.0,4.5,,0.32940523472399763,131.9980075832034,,0.03459450271974589,
S1c<250,4.5,5.0,,0.15041978532842923,131.9980075832034,,0.02938225383971009,
S1c<250,5.0,5.5,,0.10502110796366669,134.17128354799115,,0.02415342501085948,
S1c<250,5.5,6.0,,0.4208365728310204,136.3803413287745,,0.019217104123021488,
S1c<250,6.0,6.5,,0.6540377817119525,136.3803413287745,,0.015541372208032167,
S1c<250,6.5,7.0,121.64839490258501,2.0514301665692165,138.62577005384486,,0.012775649214671149,
S1c<250,7.0,7.5,119.67796184265057,2.4955318701788807,138.62577005384486,119.67796184265057,0.010675022383376004,
S1c<250,7.5,8.0,,0.5646418314067567,131.9980075832034,,0.007213665969982214,
250<S1c<500,-8.0,-7.5,,,0.0002073321573485954,3.414548873833601e-05,0.00017444826989992541,
250<S1c<500,-7.5,-7.0,,,0.00019201419386388012,3.3496543915782794e-05,0.00015848931924611142,
250<S1c<500,-7.0,-6.5,,,0.0002073321573485954,3.1622776601683795e-05,0.00017444826989992541,
250<S1c<500,-6.5,-6.0,,,0.00018836490894898002,3.2859932476006544e-05,0.00015252229565390198,
250<S1c<500,-6.0,-5.5,,,0.00019201419386388012,3.480700588428413e-05,0.00015848931924611142,
250<S1c<500,-5.5,-5.0,,,0.00016788040181225607,3.3496543915782794e-05,0.00013593563908785255,
250<S1c<500,-5.0,-4.5,,,0.00019201419386388012,5.207948328595465e-05,0.00013856918628031274,
250<S1c<500,-4.5,-4.0,,,0.00021544346900318823,8.413951416451947e-05,0.0001308177474260194,
250<S1c<500,-4.0,-3.5,,,0.00021544346900318823,7.943282347242822e-05,0.0001333521432163324,
250<S1c<500,-3.5,-3.0,0.0001412537544622754,,0.00033496543915782756,6.683439175686149e-05,0.00011885022274370189,
250<S1c<500,-3.0,-2.5,0.00028729848333536626,,0.0005108969774506924,9.085175756516861e-05,0.0001122018454301963,2.073321573485954e-05
250<S1c<500,-2.5,-2.0,0.0001711328304161781,,0.00042169650342858224,0.00010592537251772886,9.809947127268784e-05,4.2986623470822724e-05
250<S1c<500,-2.0,-1.5,0.000779231798434194,,0.001039122303835169,7.79231798434194e-05,0.00010592537251772886,7.498942093324559e-05
250<S1c<500,-1.5,-1.0,0.0005308844442309885,,0.0008097171416105618,6.556418494179785e-05,9.623506263980887e-05,0.0001122018454301963
250<S1c<500,-1.0,-0.5,0.00016468978654828688,,0.00048231784822393094,9.085175756516861e-05,8.413951416451947e-05,0.00013856918628031274
250<S1c<500,-0.5,0.0,0.0019573417814876598,,0.0023263050671536263,9.261187281287937e-05,8.413951416451947e-05,0.00014399033208816327
250<S1c<500,0.0,0.5,0.003981071705534973,,0.0047315125896148025,6.944910713781214e-05,8.25404185268019e-05,0.00012115276586285876
250<S1c<500,0.5,1.0,0.008576958985908937,6.812920690579608e-05,0.01,5.732358369467707e-05,7.356422544596421e-05,8.743124580220732e-05
250<S1c<500,1.0,1.5,0.008743124580220741,0.00016468978654828688,0.010193734859388726,7.79231798434194e-05,7.498942093324559e-05,5.108969774506924e-05
250<S1c<500,1.5,2.0,0.01188502227437019,0.00022820929710674507,0.01412537544622754,9.085175756516861e-05,6.683439175686149e-05,2.417315480804106e-05
250<S1c<500,2.0,2.5,0.01646897865482869,0.0009440608762859235,0.019201419386388013,9.440608762859227e-05,7.079457843841373e-05,
250<S1c<500,2.5,3.0,0.03285993247600654,0.042169650342858224,0.07498942093324558,0.0001,6.309573444801929e-05,
250<S1c<500,3.0,3.5,0.039810717055349734,0.0630957344480193,0.10391223038351691,0.00011006941712522103,6.309573444801929e-05,
250<S1c<500,3.5,4.0,0.05623413251903491,0.07356422544596414,0.12833151855576513,0.00011659144011798311,5.843414133735175e-05,
250<S1c<500,4.0,4.5,0.08254041852680181,0.1883649089489802,0.27122725793320296,0.00011437558630495389,5.9566214352901096e-05,
250<S1c<500,4.5,5.0,0.12349991726875852,0.49166202627456407,0.618965818891261,0.00011437558630495389,5.411695265464637e-05,
250<S1c<500,5.0,5.5,0.1920141938638801,1.3856918628031274,1.6155980984398728,0.00014962356560944327,5.411695265464637e-05,
250<S1c<500,5.5,6.0,0.26101572156825387,2.2387211385683377,2.6101572156825386,0.00016468978654828688,4.2986623470822724e-05,
250<S1c<500,6.0,6.5,0.3480700588428413,6.18965818891261,7.356422544596406,0.0001122018454301963,2.985382618917957e-05,
250<S1c<500,6.5,7.0,0.3758374042884443,7.498942093324558,8.743124580220732,5.9566214352901096e-05,2.1544346900318823e-05,
250<S1c<500,7.0,7.5,0.19573417814876617,2.6101572156825386,3.043219887107722,1.778279410038923e-05,,
250<S1c<500,7.5,8.0,,,,,,
S1c>500,-8.0,-7.5,,,4.03847702563651e-05,6.908412134630416e-06,3.3366915550634796e-05,
S1c>500,-7.5,-7.0,,,4.550206307061907e-05,8.981892970588343e-06,3.584298290229587e-05,
S1c>500,-7.0,-6.5,,,4.235873727350291e-05,9.88140393436074e-06,3.258017163487981e-05,
S1c>500,-6.5,-6.0,,,4.772615822190869e-05,1.3800549306075056e-05,3.3366915550634796e-05,
