variant,N_in_ROI(<4.15)_500_600,log10_ratio_N_in_ROI(<4.15),N_gap_G(-1hw..ROI_top)_500_600,log10_ratio_N_gap_G(-1hw..ROI_top),N_below_NR_median_500_600,log10_ratio_N_below_NR_median,N_event_region_V(3.90-4.00)_500_600,log10_ratio_N_event_region_V(3.90-4.00),sigma_p_at_Nq5179,ER_halfwidth_540_model
"baseline: k=0.50, NEST skew",3.3643743016794188e-09,0.0,3.363398482872289e-09,0.0,3.392286998276947e-12,0.0,1.1787068715886942e-12,0.0,0.06825038523009812,0.12005278187919233
Gaussian (s=0),4.3015477492365384e-05,4.106720441123684,4.2671965754275486e-05,4.103364325860903,7.241047188968845e-07,5.329308789896337,4.3738795309900874e-07,5.569461001792973,0.06825038523009812,0.12043513527766114
skew x0.5,5.218794648974157e-06,3.1906659013985887,5.202115323671362e-06,3.189401651723297,4.051991006981497e-08,4.07717588497849,2.178632270463852e-08,4.266778116850883,0.06825038523009812,0.12033893889703418
skew x1.5,3.763489360898304e-14,-4.95131361436203,3.763433560641551e-14,-4.951194070511205,3.0364395131170665e-18,-6.0481279535799475,5.853879901073499e-19,-6.303962007225638,0.06825038523009812,0.12007087127409122
mirrored skew (s=-1),0.005744416224676778,6.232341593147615,0.005393272884115688,6.205074070948625,0.0005402715884176204,8.202119541803777,0.000329352925177304,8.446255709644413,0.06825038523009812,0.1199130796808987
k=0.35 NEST skew,3.471164212334077e-20,-10.986429147443411,3.4711638319637904e-20,-10.98630321196597,4.126955525054272e-26,-13.914862799191507,4.602327233315057e-27,-14.408428320866564,0.06825038523009812,0.09147254858208864
k=0.75 NEST skew,0.004659092106819456,6.141396989198948,0.004543436978818283,6.130606184462409,0.00020668525177942656,7.784816900407103,0.0001164596408341508,7.994769631018467,0.06825038523009812,0.1720670397792543
k=1.0 literal NEST skew,0.6535677349208701,8.28838629695539,0.5729838870653997,8.231364085353777,0.11286763379261923,10.522076832562538,0.06219344686448894,10.722338811429271,0.06825038523009812,0.22360659361991342
k=1.0 literal Gaussian,3.1122846730321556,8.966175006967498,2.332199909724531,8.840987450255378,0.9783428232783044,11.459998475715102,0.4734375224294057,11.603856859718073,0.06825038523009812,0.22562660493707254
alpha1 x0.5,3.549073757734891e-09,0.023210718041300822,3.5480398111131443e-09,0.023210160280219695,3.5913870885726647e-12,0.02476962914654944,1.252027660165477e-12,0.026208108167249923,0.06833021780300495,0.12009457094178799
alpha1 x1.5,3.268165991953506e-09,-0.012600200539316025,3.2672196634442733e-09,-0.01259998977488744,3.290956886457307e-12,-0.01317039502546059,1.1413896687154687e-12,-0.013971878159554418,0.06820671337577872,0.12003213684272529
alpha2 x0.5,4.318665340195868e-11,-1.891554755790506,4.3184107387852335e-11,-1.8914543767554282,1.116514127743736e-14,-2.482628365073383,3.2774623363318482e-15,-2.555868105773609,0.06309406278894647,0.11100891553369818
alpha2 x1.5,3.80605378006036e-09,0.05357061361859024,3.804884672310134e-09,0.053563173704931716,4.030194781138136e-12,0.0748334484627797,1.4052297640864881e-12,0.0763415246071908,0.06840315739030577,0.12053184086374724
"alpha1,alpha2 both x0.5",4.633793710825851e-11,-1.860967611235983,4.6335192710332693e-11,-1.860867350335856,1.2024028698745493e-14,-2.4504425836877597,3.546086023774674e-15,-2.521656548521734,0.0631738953618533,0.1110495941291223
alpha2 sign flipped,6.742966319778522e-109,-99.6980533165774,6.742966319778522e-109,-99.69792733350995,2.8306821942399504e-188,-176.0786014747518,3.1889598493585596e-193,-180.5677567640884,0.00022147063076631925,0.051573931948003526
"Gaussian, k=0.75",0.14298567356341407,7.6283882185324785,0.12749530633790176,7.578715872828528,0.02200338864714609,9.811996981961737,0.01249315142050631,10.025266188403133,0.06825038523009812,0.17300744995667117
"mirrored skew, k=0.35",2.0476662949505487e-06,2.784354874745557,2.037139769009837e-06,2.7822425031993467,2.34581052704005e-08,3.83980034305498,1.5119989611574205e-08,4.1081456774011365,0.06825038523009812,0.09130576598521989
