delta,edge,hellinger,KL_sun_vs_annual,N3_gauss
300,LZ,0.007653938056896869,0.00021454158770666275,21471.669472861806
300,EXT,0.00737305704405114,0.00019887158170067178,23151.189291424216
350,LZ,0.11134984241707234,0.043450667869327046,128.29575119700056
350,EXT,0.09738588429630342,0.03282371773490832,171.22866559606996
366,LZ,0.18762083376888045,0.12485771143917349,46.90243942354761
366,EXT,0.14280468534484525,0.06473906730514603,98.13614218044718
380,LZ,0.5327733304630842,0.9892067985136258,5.472979755259926
380,EXT,0.09879501897038097,0.02494643490424495,305.16179744726514
L10,LZ,0.0009791262665765144,3.611818790151545e-06,1246050.566297929
L10,EXT,0.001310240887643993,6.586783819583289e-06,683245.4982038916
