pair,edge,H,KL_ab,KL_ba,N3_gauss_rej_b_if_a,N3_gauss_rej_a_if_b,N3_toy_rej_b_if_a,N3_toy_rej_a_if_b,N3_simple
O6s vs O10s,LZ,0.24136836856363597,0.21271049335055764,0.2607205764344493,25.049682859042562,13.623343913273086,20.0,20.0,19.010159185553775
O6s vs O10s,EXT,0.2676757891315047,0.26559443528464316,0.31694012121305953,19.565324220484605,11.533891041576545,20.0,15.0,15.44972723010552
O9s vs O14s,LZ,0.0177061854810513,0.0012359190878292654,0.0012341277744813645,3634.655009618026,3650.5066697006177,,,3643.655566753442
O9s vs O14s,EXT,0.02150276913648012,0.001811631853244307,0.0017979486101149895,2464.443575388215,2521.1445643039615,,,2493.3645589449056
L10 vs O9q2,LZ,0.15542332238880632,0.11599209549245995,0.08022328531955673,26.149284419327444,78.05942976923143,40.0,60.0,45.86796388109051
L10 vs O9q2,EXT,0.17718860496144814,0.14219972206390996,0.11041567079663156,25.0315856585859,52.96321933769449,40.0,50.0,35.62728263739861
L10 vs O6s,LZ,0.1839033058033379,0.12413351079835955,0.14672051969018104,41.42774809328802,25.098458277067877,40.0,30.0,33.228229920620564
L10 vs O6s,EXT,0.16724925977234364,0.10330189710001951,0.1197437359087777,49.49198766126604,31.816185897773156,50.0,40.0,40.35048738051297
O6s vs O9s,LZ,0.30313030107335887,0.27220562847351176,0.5528867019326105,25.677843328758563,2.9618905549916423,20.0,8.0,10.907870147781003
O6s vs O9s,EXT,0.3132771917482268,0.3058836407994071,0.5746594647470794,23.060420935947334,3.742096351178986,20.0,8.0,10.220964701568336
O9s vs O10s,LZ,0.23328113879029597,0.21366035547216883,0.2246521354836769,21.465055551715693,18.52148097788902,25.0,20.0,20.53329573239708
O9s vs O10s,EXT,0.2241361228986028,0.19667752342563824,0.2073504711927974,23.55271074202518,20.16624573344962,25.0,25.0,22.275684160201838
O10s vs O14s,LZ,0.2330325031013309,0.22133722062921315,0.21653248117230023,19.460982079937555,20.722743752154322,25.0,25.0,20.554059719070732
O10s vs O14s,EXT,0.22427855097547686,0.20412025749375654,0.20095108842062198,21.388496145238655,22.35628101985798,25.0,25.0,22.218308183917713
O6s vs O15v,LZ,0.1475554918268435,0.09664982051024808,0.07680549669741836,36.51540714098222,72.48135481038693,50.0,60.0,51.88656159340969
O6s vs O15v,EXT,0.216162946771594,0.2182200357469397,0.16139102910626188,14.49590753665258,35.67176306213964,25.0,30.0,23.7084764730985
O6s vs O5v,LZ,0.1307903486929834,0.059747372031720446,0.07751216721782682,95.12891999541172,43.622001004732766,80.0,60.0,65.56921325254766
O6s vs O5v,EXT,0.13671494867866668,0.06730022166359757,0.08162883402033538,81.53376161505999,46.10745231430956,80.0,60.0,60.43145817764663
L10 vs inel366,LZ,0.5102806540845006,1.8514982148776156,0.6812756620503654,0.48807815076222844,9.973393447118479,2.0,7.0,3.5534163084926327
L10 vs inel366,EXT,0.5418619262820057,1.7439007520068637,0.9512283722925585,1.2305287355963739,6.852939841740793,2.0,5.0,3.339357628120872
L10 vs inel350,LZ,0.4455520866858414,1.3527133416066253,0.5168590739941994,0.8257685137797628,14.25325497019637,3.0,10.0,4.81393495373522
L10 vs inel350,EXT,0.4174725065245772,1.0764163108420455,0.49167793342044985,1.7465662735635172,15.483093493115588,3.0,10.0,5.7394509500497985
L10 vs inel380,LZ,0.5949215182240956,2.5619682931952164,0.9695605220800917,0.3230266704317187,6.108428433855242,1.0,6.0,2.548471347896502
L10 vs inel380,EXT,0.6626110265034625,2.7589715228848255,1.4137827184138132,0.43239113530608364,3.4577661336345376,2.0,4.0,2.1568488052627397
O6s vs inel366,LZ,0.6322856084330453,2.998946757799106,1.1187946767100216,0.23659650411431038,4.911728742132079,1.0,5.0,2.1856641907077106
